Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.59,2.18,0.76,2.39,0.0,0.0,0.68,0.32,1.03
12M 2009,1.41,0.73,0.75,2.38,0.0,0.0,0.72,0.32,1.1
12M 2010,1.76,0.96,0.5,1.92,0.0,0.0,0.48,0.26,0.74
12M 2011,1.9,1.01,0.41,1.83,0.0,0.0,0.36,0.22,0.69
12M 2012,2.41,1.32,0.28,1.57,0.0,0.0,0.24,0.18,0.47
12M 2013,2.33,1.22,0.29,1.57,0.0,0.0,0.24,0.18,0.48
12M 2014,2.33,1.06,0.32,1.62,0.0,0.0,0.26,0.2,0.54
12M 2015,3.57,2.13,0.12,1.43,0.0,0.0,-0.07,0.08,0.36
12M 2016,4.89,3.09,0.07,1.23,0.0,0.0,-0.09,0.06,0.19
12M 2017,4.52,2.65,0.07,1.24,0.0,0.0,-0.1,0.06,0.21
12M 2018,5.05,2.71,0.06,1.22,0.0,0.0,-0.11,0.05,0.18
12M 2019,6.92,4.31,0.03,1.17,0.0,0.0,-0.16,0.03,0.14
12M 2020,8.11,6.84,0.02,1.17,0.0,0.0,-0.36,0.02,0.14
12M 2021,7.76,5.73,0.03,1.17,0.0,0.0,-0.33,0.03,0.14
12M 2022,11.76,8.9,0.01,1.13,0.0,0.0,-0.35,0.01,0.1
12M 2023,14.21,11.08,0.0,1.12,0.0,0.0,-0.11,0.0,0.09
12M 2024,15.03,11.3,0.01,1.12,0.0,0.0,-0.07,0.01,0.09
