Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,8.95,,1.08
12M 2010,217.29,826.47,124.19,919.57,1.68,2.66,0.44,0.93,5.21,9.65,0.25,0.48,13.22,13.22,1.04
12M 2011,416.19,1659.09,218.35,1856.93,0.88,0.85,0.22,0.22,2.9,2.9,0.12,0.11,0.57,0.57,1.5
12M 2012,384.46,1804.7,151.54,2037.62,0.95,0.92,0.2,0.21,3.25,3.38,0.12,0.13,0.55,0.55,1.67
12M 2013,226.21,803.91,84.37,945.75,1.61,1.58,0.45,0.42,6.93,6.78,0.25,0.24,0.92,0.92,1.84
12M 2014,185.46,728.46,108.78,805.14,1.97,1.94,0.5,0.42,9.47,9.74,0.29,0.27,1.28,1.28,1.62
12M 2015,151.35,891.04,162.62,879.77,2.41,3.07,0.41,0.43,10.12,10.27,0.27,0.27,1.76,1.76,1.49
12M 2016,142.76,945.24,182.35,905.65,2.56,2.26,0.39,0.38,10.95,11.23,0.26,0.24,0.87,0.87,2.06
12M 2017,145.6,1753.84,218.0,1681.44,2.51,2.3,0.21,0.16,12.92,12.92,0.25,0.22,0.48,0.48,3.02
12M 2018,254.73,2851.61,383.33,2723.01,1.43,1.37,0.13,0.11,7.86,8.81,0.11,0.11,0.23,0.23,3.03
12M 2019,306.07,6378.86,883.64,5801.29,1.19,1.26,0.06,0.05,6.72,6.89,0.08,0.08,0.15,0.15,3.97
12M 2020,319.49,11909.66,1315.01,10914.14,1.14,1.19,0.03,0.03,3.74,3.83,0.04,0.04,0.09,0.09,2.09
12M 2021,71.68,6889.89,909.05,6052.52,5.09,3.25,0.05,0.06,9.45,9.95,0.06,0.06,0.36,0.36,1.49
12M 2022,80.06,7681.82,1200.63,6561.25,4.56,4.46,0.05,0.05,11.36,12.12,0.04,0.04,0.38,0.38,1.37
12M 2023,52.72,6991.2,1065.37,5978.55,6.92,6.63,0.05,0.05,12.9,13.57,0.04,0.04,0.4,0.4,1.34
12M 2024,5.07,699.17,117.81,586.43,71.92,67.08,0.52,0.52,101.47,105.24,0.37,0.33,1.76,1.76,1.91
