Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada:,Pemasok,Karyawan,Total Pembayaran Kepada:,Penerimaan Kembali (Restitusi) Pajak,Penghasilan Bunga,Beban Keuangan,Pajak Penghasilan,Penerimaan Dari Klaim Asuransi,Pembayaran Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Penambahan Aset Keuangan Lancar Lainnya,Penerimaan Aset Keuangan Lancar,Penerimaan Atas Pelepasan Entitas Anak,Penambahan Uang Muka Investasi Dari Entitas Anak,Penambahan Tanah Untuk Dikembangkan,Pelepasan Investasi Jangka Pendek,Penambahan Properti Investasi,Pelepasan Penyertaan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Aset Keuangan Lainnya,Tambahan Modal Disetor,Penerimaan Utang Bank Jangka Pendek,Agio Saham,Penerimaan (Pembayaran) Utang Bank Dan Lembaga Keuangan Lainnya,Penerimaan Utang Bank Dan Lembaga Keuangan Lainnya,Pembayaran Utang Bank Dan Lembaga Keuangan Lainnya,Total Penerimaan (Pembayaran) Utang Bank Dan Lembaga Keuangan Lainnya,Pembayaran Dividen,Penerimaan Aset Keuangan Lancar Lainnya,Pembayaran Utang Sewa Pembiayaan,Pemberian Piutang Kepada Pihak Berelasi,Penerimaan (Pembayaran) Piutang Kepada Pihak Yang Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan (Pembayaran) Utang Kepada Pihak Yang Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,20954853644.000000,128613111732.000000,,-76353028547.000000,-12964675361.000000,-89317703908.000000,,1397674911.000000,-8752172945.000000,-9961950621.000000,,-1024105525.000000,,20954853644.000000,-6677962132.000000,-11336298287.000000,86500000.000000,,,,,307934979.000000,4305335678.000000,-41434502.000000,,-6677962132.000000,-17033242308.000000,,,,,37418324387.000000,,,37418324387.000000,,,,-11683437696.000000,578578258.000000,-45521212534.000000,2174505277.000000,-17033242308.000000,-2756350796.000000,18829790635.000000,16073439839.000000
12M 2010,8101389707.000000,104668548826.000000,,-44908562547.000000,-19574957485.000000,-64483520032.000000,,637516381.000000,-12931437398.000000,-1837548245.000000,,-17952169825.000000,,8101389707.000000,-13411293042.000000,-7397476811.000000,862685838.000000,,,,,-10532168944.000000,10281000000.000000,-6625333125.000000,,-13411293042.000000,19516487654.000000,,,,,31200210859.000000,,,31200210859.000000,,,,-19037440847.000000,,-215357613.000000,7569075255.000000,19516487654.000000,14206584319.000000,16073439839.000000,30280024158.000000
12M 2011,-64508494192.000000,118489203821.000000,,-129542179918.000000,-19846699297.000000,-149388879215.000000,,9523131068.000000,-16423046701.000000,-7734723297.000000,,-18974179868.000000,,-64508494192.000000,-32699538625.000000,-3403302063.000000,,,,,,-29208630359.000000,,-87606203.000000,,-32699538625.000000,251676966847.000000,,85000000000.000000,,117365904715.000000,66945417928.000000,,,66945417928.000000,,,,-4887039853.000000,,-12775215943.000000,27900000.000000,251676966847.000000,154468934030.000000,30280024157.000000,184748958187.000000
12M 2012,-9972867682.000000,103218568694.000000,,-71191113852.000000,-20100138238.000000,-91291252090.000000,,5338925243.000000,-11166374075.000000,-1492652733.000000,,-14580082721.000000,,-9972867682.000000,-2950020494.000000,-753429375.000000,65535715.000000,,,,,-2211338312.000000,,-50788522.000000,,-2950020494.000000,-55419121600.000000,,,,,-62865881654.000000,,,-62865881654.000000,,,,-8849965847.000000,5434317000.000000,-4581695375.000000,15444104276.000000,-55419121600.000000,-68342009776.000000,184748958187.000000,116406948411.000000
12M 2013,75194293493.000000,274638281378.000000,,-142420678243.000000,-23977664099.000000,-166398342342.000000,,5880697625.000000,-15440862613.000000,-11371603923.000000,,-12113876632.000000,,75194293493.000000,-11522054510.000000,-4974579150.000000,290500000.000000,,,,,-6837975360.000000,,,,-11522054510.000000,-100685987316.000000,-20000000000.000000,,,,-77964421914.000000,,,-77964421914.000000,,,,-28140524687.000000,22282435902.000000,-21748649333.000000,24885172716.000000,-100685987316.000000,-37013748333.000000,116406948414.000000,79393200081.000000
12M 2014,83983094030.000000,376471333667.000000,,-214977958305.000000,-34931702624.000000,-249909660929.000000,,5095081228.000000,-13677239905.000000,-35311910047.000000,,1315490016.000000,,83983094030.000000,-153443138535.000000,-1695976227.000000,163403231.000000,,,,,-16360913120.000000,,-135549652419.000000,,-153443138535.000000,138828284794.000000,20000000000.000000,,,,139414895540.000000,,,139414895540.000000,,,,-35923541695.000000,43897079131.000000,-88545062849.000000,59984914667.000000,138828284794.000000,69368240289.000000,79393200081.000000,148761440370.000000
12M 2015,101122686777.000000,346252998897.000000,,-164860485613.000000,-39315319083.000000,-204175804696.000000,,-19042436981.000000,3840295797.000000,-29700388312.000000,,3948022072.000000,,101122686777.000000,-91395808095.000000,-2336854709.000000,5540000.000000,,,,,-15220934115.000000,,-73843559271.000000,,-91395808095.000000,-31433841986.000000,,,,,,79173971665.000000,-81798816000.000000,-2624844335.000000,-3350000000.000000,,-429739012.000000,-122952421562.000000,108107355173.000000,-35653904890.000000,25469712640.000000,-31433841986.000000,-21706963304.000000,148761440369.000000,127054477065.000000
12M 2016,-96403627594.000000,247125334997.000000,,-254029521727.000000,-44218851034.000000,-298248372761.000000,,-18713990288.000000,4972276086.000000,-37085279333.000000,,5546403705.000000,,-96403627594.000000,-30507420252.000000,-2601294454.000000,155500000.000000,-13050000000.000000,,52500000000.000000,,-67177566811.000000,,-334058987.000000,,-30507420252.000000,155305160760.000000,,,41745000000.000000,,,327608333338.000000,-203961267008.000000,123647066330.000000,-6700000000.000000,,-1306034993.000000,-120317602796.000000,118277840429.000000,-24535695998.000000,24494587788.000000,155305160760.000000,28394112914.000000,127054477065.000000,155448589979.000000
12M 2017,-190702680530.000000,361838567895.000000,,-421795285883.000000,-89858072286.000000,-511653358169.000000,,-19763438468.000000,5389635028.000000,-27282783449.000000,,768696633.000000,,-190702680530.000000,-195266797457.000000,-8385769836.000000,75784070.000000,-16950000000.000000,,,-10000000000.000000,-146840573692.000000,,-13166237999.000000,,-195266797457.000000,415265266117.000000,,,,,,501990000000.000000,-75894659775.000000,426095340225.000000,-6700000000.000000,,-1360224858.000000,-3142807549.000000,372958299.000000,,,415265266117.000000,29295788130.000000,155448589979.000000,184744378109.000000
12M 2018,-199100240113.000000,256956155805.000000,,-317166506327.000000,-91700099468.000000,-408866605795.000000,,-28432145761.000000,1018607695.000000,-23333179484.000000,,3556927427.000000,,-199100240113.000000,-50691607237.000000,-1259676298.000000,250462800.000000,20000000000.000000,,,-8500000000.000000,-7551026644.000000,,-53631367095.000000,,-50691607237.000000,124107672058.000000,,,,,,241911467864.000000,-185891011693.000000,56020456171.000000,,,-148348185.000000,-3217903367.000000,35375717865.000000,,36077749574.000000,124107672058.000000,-125684175292.000000,184744378109.000000,59060202817.000000
