Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pendapatan Keuangan,Pembayaran Pajak Penghasilan - Neto,Pembayaran Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Investasi Pada Entitas Anak,Investasi Pada Entitas Asosiasi,Penambahan Investasi Pada Entitas Anak Dan Pembayaran Pengurangan Setoran Modal Entitas Anak Kepada Nonpengendali Entitas Anak,Perolehan Aset Tetap,Pencairan (Penempatan) Investasi Jangka Pendek,Hasil Dari Investasi Jangka Pendek,"Perolehan Entitas Anak, Neto Dari Kas",Pembayaran Untuk Perolehan Entitas Anak,Penyertaan Saham,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Sewa Jangka Panjang,Penerimaan Dari Penjualan Investasi Pada Perusahaan Asosiasi,Penerimaan Dari Pelepasan Kepemilikan Pada Entitas Anak,Penarikan (Penempatan) Pada Benefit Plan Aset - Bersih,Biaya Akuisisi,Penurunan (Kenaikan) Aset Lain-Lain,Penempatan Dana Investasi,Uang Muka Penyertaan Saham,Penambahan Properti Investasi,Penempatan Pada Investasi Jangka Panjang,Penerimaan Dari Investasi Jangka Panjang,Perolehan Penjualan Investasi Saham,Perolehan Perangkat Lunak,Hasil Dari Aset Non-Keuangan,Penerimaan Dari Kepentingan Nonpengendali,Pemberian Pinjaman Kepada Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Ketiga,Penerimaan Pengembalian Piutang Pihak Berelasi,Penerimaan Pelunasan Pinjaman,Penjualan Kepemilikan Saham Dengan Hilangnya Pengendalian,Penjualan Atas Kepemilikan Dari Entitas Asosiasi,Pemberian Pinjaman Kepada Entitas Asosiasi,Penerimaan Dividen Kas,Pemberian Piutang Lain-Lain,Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Pembayaran Dividen Kas Kepada Pemegang Saham Dan Non-Pengendali Oleh Entitas Anak,Penerimaan Atas Penerbitan Saham Baru - Neto,Pembayaran Utang Obligasi Konversi,Penerimaan Dari Penerbitan Obligasi Konversi,Penerimaan Utang Kepada Pihak Hubungan Istimewa,Pengambilalihan Piutang,Pembayaran Pinjaman,Tambahan Modal Disetor,Pembayaran Bunga Dan Biaya Keuangan,Pembayaran Utang Obligasi,Pembayaran Saham Yang Diperoleh Kembali,Biaya Emisi Saham,Pembayaran Utang Sewa Pembiayaan,Penerimaan Pinjaman Bank,Penjualan Kepemilikan Saham Tanpa Hilangnya Pengendalian,Penerimaan Dari Kepentingan Non Pengendali,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Penambahan Setoran Modal Dari Non Pengendali Entitas Anak,Penerimaan Setoran Modal Dari Nonpengendali Entitas Asosiasi,Penerimaan Uang Muka Setoran Modal Dari Nonpengendali Entitas Anak,Pembelian Kembali Saham Perusahaan,Penjualan Saham Treasuri,Pembelian Kembali Saham Oleh Entitas Anak,Penerimaan Dari Pelaksanaan Opsi Pemilikan Saham Karyawan (Opsk) Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kas Neto Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode Dari Operasi Yang Dihentikan,Kas Dan Setara Kas Dari Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Dari Entitas Yang Tidak Dikonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2008,455056247000.000000,2942316814000.000000,,-2110841215000.000000,-275685415000.000000,52555495000.000000,-126880787000.000000,-26408645000.000000,455056247000.000000,-202950361000.000000,1417696000.000000,,,,-161685776000.000000,29817058000.000000,,,,15318017000.000000,-16492241000.000000,-20664749000.000000,,,-10677856000.000000,,,,,-280325000.000000,,,,,,,,,,,,,,,,-39702185000.000000,-202950361000.000000,-528175587000.000000,46506017000.000000,-15858869000.000000,,,,,,-577825578000.000000,617950900000.000000,-173798117000.000000,-425000000000.000000,-838217000.000000,,-1078848000.000000,,,,,,,,,,,,1767125000.000000,-528175587000.000000,-276069701000.000000,,,,,969579078000.000000,693509377000.000000
12M 2009,490455364000.000000,2993642300000.000000,,-1872701121000.000000,-313313659000.000000,47654262000.000000,-196161265000.000000,-168665153000.000000,490455364000.000000,-129233698000.000000,5578831000.000000,,,,-82880460000.000000,,,,,,-13429436000.000000,-7521655000.000000,,,12612212000.000000,,,,,-33704588000.000000,,,,,,,,,,,,,,,,-9888602000.000000,-129233698000.000000,-264583177000.000000,24116428000.000000,-35282595000.000000,,,,,,-182104405000.000000,,-73815620000.000000,,,,-36955000.000000,,,,,,,,,,,,2539970000.000000,-264583177000.000000,96638489000.000000,,,,,693509377000.000000,790147866000.000000
12M 2010,855898122000.000000,3320874934000.000000,-2235554757000.000000,,,55130102000.000000,-183967245000.000000,-100584912000.000000,855898122000.000000,-73207922000.000000,5057501000.000000,-433887000.000000,,,-81772738000.000000,4478730000.000000,,,,,-6083256000.000000,,1195728000.000000,,,,,,,,,,,,,4350000000.000000,,,,,,,,,,,-73207922000.000000,-115714639000.000000,,-183484688000.000000,180200173000.000000,,,,-2000000000.000000,-45173503000.000000,,-66457759000.000000,,,,-1443275000.000000,,,,,,,,,,,,2644413000.000000,-115714639000.000000,666975561000.000000,,,,,790147866000.000000,1457123427000.000000
12M 2011,1093062012000.000000,4086207697000.000000,-2489448554000.000000,,,71880271000.000000,-338288390000.000000,-237289012000.000000,1093062012000.000000,-1825571021000.000000,8757271000.000000,-1545060260000.000000,,,-293106100000.000000,-2452390000.000000,,,,,-3043049000.000000,,,,,,,,,,,646907000.000000,,,,8686600000.000000,,,,,,,,,,,-1825571021000.000000,616966853000.000000,,-132538096000.000000,822407667000.000000,,76800000000.000000,,,-13117279000.000000,,-136737301000.000000,,,,-3061547000.000000,,,,,,,,,,,,3213409000.000000,616966853000.000000,-115542156000.000000,,,,,1457123427000.000000,1341581271000.000000
12M 2012,1124165423000.000000,4616426748000.000000,-2949851215000.000000,,,99322475000.000000,-328251628000.000000,-313480957000.000000,1124165423000.000000,2570021967000.000000,6807366000.000000,,,,-272518051000.000000,-9041516000.000000,,,,,-3897584000.000000,,,,,,,,,,,,2886108980000.000000,-46529008000.000000,,9091780000.000000,,,,,,,,,,,2570021967000.000000,-954812007000.000000,1250467202000.000000,-621245619000.000000,,-1000000000.000000,,,,-905478644000.000000,,-103669460000.000000,-575000000000.000000,,,-2783070000.000000,,,,,,,,,,,,3897584000.000000,-954812007000.000000,2739375383000.000000,,,,,1341581271000.000000,4080956654000.000000
12M 2013,1607139928000.000000,5788661217000.000000,-3514433546000.000000,,,189748356000.000000,-469934883000.000000,-386901216000.000000,1607139928000.000000,-1123720374000.000000,6146848000.000000,-389290337000.000000,,,-542615798000.000000,-88770823000.000000,,,,,-26670684000.000000,,,,,,,,,,,,,-27020580000.000000,,1000000.000000,-55500000000.000000,,,,,,,,,,-1123720374000.000000,-25590556000.000000,928549539000.000000,-969013214000.000000,,-1794000000.000000,18750000000.000000,,,-133220750000.000000,,-110547591000.000000,,-2616000.000000,,-61746479000.000000,,303434555000.000000,,,,,,,,,,,-25590556000.000000,457828998000.000000,351015768000.000000,,,,4080956654000.000000,4889801420000.000000
12M 2014,1447465605000.000000,6130967209000.000000,-4512737504000.000000,,,435889644000.000000,-606653744000.000000,,1447465605000.000000,-791307853000.000000,4698137000.000000,-121222082000.000000,,,-550980579000.000000,-32467112000.000000,,,,,-94890942000.000000,,,,,,,,,,,,,-58247381000.000000,,6302106000.000000,,,,55500000000.000000,,,,,,,-791307853000.000000,5064089551000.000000,256559871000.000000,-753523869000.000000,,-7206000000.000000,,,,-339707021000.000000,,-169747974000.000000,,,,-31972438000.000000,,6109686982000.000000,,,,,,,,,,,5064089551000.000000,5720247303000.000000,26396325000.000000,,,,4889801420000.000000,10636445048000.000000
12M 2015,1709404813000.000000,6427348025000.000000,-4618903549000.000000,,,368946870000.000000,-467986533000.000000,,1709404813000.000000,-1046231631000.000000,2766855000.000000,-923967135000.000000,,,-378461185000.000000,96750252000.000000,,,,,-18863186000.000000,,,,,,,,,,,,,-99127699000.000000,,2894300000.000000,,,,,269354671000.000000,,,2421496000.000000,,,-1046231631000.000000,-3995157863000.000000,59539580000.000000,-2898867813000.000000,,28985500000.000000,,,,-1136568856000.000000,,-46544554000.000000,,,,-1701720000.000000,,,,,,,,,,,,,-3995157863000.000000,-3331984681000.000000,445782636000.000000,-50602819000.000000,,,10636445048000.000000,7699640184000.000000
12M 2016,1208233335000.000000,7121069872000.000000,-5631148777000.000000,,,232019014000.000000,-513706774000.000000,,1208233335000.000000,-5347664160000.000000,3913563000.000000,-196083853000.000000,-1190389589000.000000,,-241555941000.000000,-3128596970000.000000,,,,,-52369341000.000000,,,,,,,,,,,95734192000.000000,,-649240680000.000000,,,-4150000000.000000,,,5500000000.000000,,,,9574459000.000000,,,-5347664160000.000000,-605147576000.000000,13370992000.000000,-860932215000.000000,,-27170000000.000000,,,,-346649641000.000000,,-28332927000.000000,,,,-1857390000.000000,,598134705000.000000,48288900000.000000,,,,,,,,,,-605147576000.000000,-4744578401000.000000,-39630065000.000000,,,,7699640184000.000000,2915431718000.000000
12M 2017,1052040672000.000000,7566823464000.000000,-6107982481000.000000,,,159162513000.000000,-565962824000.000000,,1052040672000.000000,1500699570000.000000,9526826000.000000,-450533161000.000000,-573831562000.000000,,-281798225000.000000,3138126439000.000000,,,,,-45799499000.000000,,,,,,,,,,,562151515000.000000,,-862981867000.000000,,,1772816000.000000,,,,,,,4066288000.000000,,,1500699570000.000000,1659455783000.000000,60702969000.000000,-560264858000.000000,,-21368000000.000000,,,,-66000000000.000000,,-16058220000.000000,,,,-1319953000.000000,,,2263763845000.000000,,,,,,,,,,1659455783000.000000,4212196025000.000000,12601862000.000000,,,,2915431718000.000000,7140229605000.000000
