Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Pra Akuisisi,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3123122255000.000000,-2069771708000.000000,1053350547000.000000,-553144902000.000000,-40603872000.000000,-513736381000.000000,453335000.000000,742016000.000000,,-553144902000.000000,500205645000.000000,-197973205000.000000,45837036000.000000,-125720337000.000000,,-118089904000.000000,-197973205000.000000,302232440000.000000,-163988857000.000000,-152078848000.000000,-11910009000.000000,-163988857000.000000,138243583000.000000,-35184723000.000000,668716000.000000,,103727576000.000000,,,,,103727576000.000000,138243583000.000000,-35184723000.000000,668716000.000000,103727576000.000000,,,,
12M 2009,2828636049000.000000,-1795403601000.000000,1033232448000.000000,-571044968000.000000,-30045117000.000000,-510823101000.000000,2294376000.000000,-32471126000.000000,,-571044968000.000000,462187480000.000000,-123827313000.000000,47654264000.000000,-70789098000.000000,,-100692479000.000000,-123827313000.000000,338360167000.000000,-136414869000.000000,-147073479000.000000,10658610000.000000,-136414869000.000000,201945298000.000000,-40185253000.000000,,,161760045000.000000,,,,,161760045000.000000,201945298000.000000,-40185253000.000000,,161760045000.000000,,,,
12M 2010,3353538263000.000000,-2021909925000.000000,1331628338000.000000,-547714403000.000000,-24901522000.000000,-507286446000.000000,-2948543000.000000,-12577892000.000000,,-547714403000.000000,783913935000.000000,-79725224000.000000,59290669000.000000,-65965792000.000000,,-73050101000.000000,-79725224000.000000,704188711000.000000,-200516376000.000000,-208788953000.000000,8272577000.000000,-200516376000.000000,503672335000.000000,-74484799000.000000,,,429187536000.000000,,,,,429187536000.000000,503672335000.000000,-74484799000.000000,,429187536000.000000,,,,
12M 2011,4136532904000.000000,-2106039041000.000000,2030493863000.000000,-833434622000.000000,-18988951000.000000,-758289455000.000000,-12720241000.000000,-3677730000.000000,-39758245000.000000,-833434622000.000000,1197059241000.000000,-72096719000.000000,68895771000.000000,-139048746000.000000,,-1943744000.000000,-72096719000.000000,1124962522000.000000,-386924954000.000000,-330633531000.000000,-56291423000.000000,-386924954000.000000,738037568000.000000,,,,738037568000.000000,,,,738037568000.000000,738037568000.000000,607607976000.000000,130429592000.000000,,738037568000.000000,738037568000.000000,607607976000.000000,130429592000.000000,738037568000.000000
12M 2012,4681029525000.000000,-2297526189000.000000,2383503336000.000000,-1020364884000.000000,-45338245000.000000,-1002506643000.000000,-1805446000.000000,13311060000.000000,15974390000.000000,-1020364884000.000000,1363138452000.000000,2479464344000.000000,118730363000.000000,-78434894000.000000,,2439168875000.000000,2479464344000.000000,3842602796000.000000,-373934016000.000000,,,-373934016000.000000,3468668780000.000000,,,,3468668780000.000000,,,,3468668780000.000000,3468668780000.000000,3232143557000.000000,236525223000.000000,,3468668780000.000000,3468668780000.000000,3232143557000.000000,236525223000.000000,3468668780000.000000
12M 2013,5792494662000.000000,-2974525885000.000000,2817968777000.000000,-976296194000.000000,-65320750000.000000,-1317938382000.000000,604659000.000000,395741206000.000000,10617073000.000000,-976296194000.000000,1841672583000.000000,47242519000.000000,183035872000.000000,-109252987000.000000,-11702766000.000000,-14837600000.000000,47242519000.000000,1888915102000.000000,-524370560000.000000,,,-524370560000.000000,1364544542000.000000,,,,1364544542000.000000,108987347000.000000,108987347000.000000,108987347000.000000,1473531889000.000000,1364544542000.000000,1029135491000.000000,335409051000.000000,,1364544542000.000000,1473531889000.000000,1061061389000.000000,412470500000.000000,1473531889000.000000
12M 2014,6522251321000.000000,-3555465227000.000000,2966786094000.000000,-1306506361000.000000,-106611861000.000000,-1193643461000.000000,-9329845000.000000,3249550000.000000,-170744000.000000,-1306506361000.000000,1660279733000.000000,317516280000.000000,439777598000.000000,-168758279000.000000,-10966632000.000000,57463593000.000000,317516280000.000000,1977796013000.000000,-490601327000.000000,,,-490601327000.000000,1487194686000.000000,,,,1487194686000.000000,46725024000.000000,46725024000.000000,46725024000.000000,1533919710000.000000,1487194686000.000000,1091756461000.000000,395438225000.000000,,1487194686000.000000,1533919710000.000000,1130184338000.000000,403735372000.000000,1533919710000.000000
12M 2015,6429109329000.000000,-3488179027000.000000,2940930302000.000000,-910542289000.000000,-89824456000.000000,-1275881968000.000000,-8701328000.000000,477329390000.000000,-13463927000.000000,-910542289000.000000,2030388013000.000000,363777647000.000000,360932550000.000000,-47535055000.000000,-127900245000.000000,178280397000.000000,363777647000.000000,2394165660000.000000,-554295303000.000000,,,-554295303000.000000,1839870357000.000000,,,887390000.000000,1840757747000.000000,633550658000.000000,633550658000.000000,633550658000.000000,2474308405000.000000,1840757747000.000000,1331510718000.000000,509247029000.000000,,1840757747000.000000,2474308405000.000000,1957485821000.000000,516822584000.000000,2474308405000.000000
12M 2016,7368822314000.000000,-4168676393000.000000,3200145921000.000000,-1949770409000.000000,-167478850000.000000,-1618695398000.000000,-3268069000.000000,-164538288000.000000,4210196000.000000,-1949770409000.000000,1250375512000.000000,105112150000.000000,227133811000.000000,-28250751000.000000,-291688784000.000000,197917874000.000000,105112150000.000000,1355487662000.000000,-462601782000.000000,,,-462601782000.000000,892885880000.000000,,,,892885880000.000000,-200971153000.000000,-200971153000.000000,-200971153000.000000,691914727000.000000,892885880000.000000,385122132000.000000,507763748000.000000,,892885880000.000000,691914727000.000000,189525623000.000000,502389104000.000000,691914727000.000000
12M 2017,7592963086000.000000,-4755152213000.000000,2837810873000.000000,-2232900539000.000000,-238086237000.000000,-2117749403000.000000,335874000.000000,115418749000.000000,7180478000.000000,-2232900539000.000000,604910334000.000000,263091823000.000000,159989721000.000000,-57309471000.000000,-263142566000.000000,423554139000.000000,263091823000.000000,868002157000.000000,-420057786000.000000,,,-420057786000.000000,447944371000.000000,,,,447944371000.000000,-109801703000.000000,,-109801703000.000000,338142668000.000000,447944371000.000000,43779977000.000000,404164394000.000000,,447944371000.000000,338142668000.000000,-59972903000.000000,398115571000.000000,338142668000.000000
