Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,14.40 B,5.14,15.37,0.61,,0.59%,2.00%,10.41%,0.93
12M 2009,14.40 B,-120.30,-1.50,1.80,,-16.90%,-99.49%,0.32%,0.02
12M 2010,40.58 B,-1.56,-79.49,4.03,,-0.54%,-1.08%,2.62%,0.64
12M 2011,40.58 B,1.69,105.33,3.40,,0.40%,1.14%,7.19%,2.07
12M 2012,40.58 B,3.64,22.53,0.53,,0.74%,2.30%,13.76%,2.14
12M 2013,44.64 B,46.52,1.50,0.32,,7.34%,19.76%,18.94%,2.80
12M 2014,44.64 B,10.32,9.69,0.44,,1.68%,4.12%,13.93%,2.75
12M 2015,49.11 B,-59.60,-0.84,0.29,,-13.99%,-49.23%,1.04%,0.19
12M 2016,49.11 B,-93.82,-0.53,0.35,,-32.29%,-396.93%,12.26%,1.10
12M 2017,6.14 B,53.32,1.67,0.13,,3.19%,21.64%,40.95%,2.23
12M 2018,10.34 B,-17.52,-2.85,0.13,"2,074.52 B",-1.71%,-6.53%,26.78%,1.58
12M 2019,10.34 B,38.30,1.31,0.11,"2,817.46 B",4.19%,13.23%,53.07%,4.79
12M 2020,10.34 B,75.63,1.71,0.28,"3,400.34 B",6.57%,17.52%,30.42%,3.67
12M 2021,24.82 B,23.22,4.39,0.44,"3,905.92 B",3.79%,7.73%,21.61%,7.03
12M 2022,24.82 B,40.01,7.35,1.09,"4,387.88 B",5.33%,10.83%,20.49%,8.43
12M 2023,24.82 B,42.06,5.23,0.85,"3,875.72 B",4.94%,10.31%,12.89%,5.45
12M 2024,24.82 B,48.14,4.78,0.77,"4,186.80 B",4.67%,10.13%,11.55%,3.25
