Period,Aset,Aset Lancar,Kas Dan Setara Kas,Efek Tersedia Untuk Dijual,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Investasi Jangka Panjang,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pihak Berelasi,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,347731566277.000000,,791917709676.000000,43871161917.000000,748046547759.000000,791917709676.000000,53224148343.000000,,,53224148343.000000,922278487892.000000,52687676471.000000,2167839588659.000000,,10436323527.000000,18911286967.000000,290486615629.000000,24457933132.000000,,,1207901195.000000,345500060450.000000,2513339649109.000000,,,1137380077017.000000,41565345804.000000,,828382101672.000000,153526100065.000000,981908201737.000000,40110130951.000000,,,40110130951.000000,,15766880949.000000,58029517576.000000,,,,,,1137380077017.000000,38302841762.000000,8964751122.000000,27932150.000000,,,,,29310158490.000000,38302841762.000000,1175682918779.000000,,114000000000.000000,,1223043436570.000000,11641185186.000000,1211402251384.000000,1223043436570.000000,613293760.000000,,1337656730330.000000,2513339649109.000000,2280000000.000000
12M 2009,,,270222290977.000000,,1049381520275.000000,60029369852.000000,989352150423.000000,1049381520275.000000,99737089024.000000,,,99737089024.000000,1084742961432.000000,75892432742.000000,2579976294450.000000,,13965730322.000000,20160194051.000000,346714220658.000000,18999535637.000000,,,6366441421.000000,406206122089.000000,2986182416539.000000,,,1333083717436.000000,57154273990.000000,,894148075438.000000,216146409001.000000,1110294484439.000000,28710375809.000000,,,28710375809.000000,,13722925647.000000,123201657551.000000,,,,,,1333083717436.000000,49197608665.000000,15561390516.000000,,,,,,33636218149.000000,49197608665.000000,1382281326101.000000,,114000000000.000000,,1489411049430.000000,14310133424.000000,1475100916006.000000,1489411049430.000000,490041008.000000,,1603901090438.000000,2986182416539.000000,2280000000.000000
12M 2010,,,244983786586.000000,,1157416584747.000000,40237080712.000000,1117179504035.000000,1157416584747.000000,90978217043.000000,26162707678.000000,64815509365.000000,90978217043.000000,1132817271706.000000,108396271729.000000,2734592131811.000000,,,23028367185.000000,456255331549.000000,13864435277.000000,,,27030014470.000000,520178148481.000000,3254770280292.000000,,,1419238896623.000000,24290351153.000000,,990601017428.000000,274000573770.000000,1264601591198.000000,,36663727044.000000,37503093655.000000,74166820699.000000,,17597498359.000000,38582635214.000000,,,,,,1419238896623.000000,36939434946.000000,,,,,,,36939434946.000000,36939434946.000000,1456178331569.000000,,114000000000.000000,,1684126068426.000000,17600809553.000000,1666525258873.000000,1684126068426.000000,465880297.000000,,1798591948723.000000,3254770280292.000000,2280000000.000000
12M 2011,,,760663326177.000000,40979296826.000000,1400949823237.000000,46505256084.000000,1354444567153.000000,1400949823237.000000,89011974268.000000,1777786185.000000,87234188083.000000,89011974268.000000,1384350135025.000000,78336610629.000000,3754291166162.000000,,,25200511203.000000,537282804006.000000,8744828178.000000,,,45227936997.000000,616456080384.000000,4370747246546.000000,,,1896112184680.000000,28838950409.000000,,1155048957945.000000,557195792485.000000,1712244750430.000000,,5879849259.000000,94534146923.000000,100413996182.000000,,13491961692.000000,41122525967.000000,,,,,,1896112184680.000000,39436955532.000000,,159575794.000000,,,,,39277379738.000000,39436955532.000000,1935549140212.000000,,135432000000.000000,276480262616.000000,2021844437960.000000,20174959743.000000,2001669478217.000000,2021844437960.000000,462108932.000000,979296826.000000,2435198106334.000000,4370747246546.000000,2708640000.000000
12M 2012,,,825604450198.000000,,1615874585266.000000,49040794637.000000,1566833790629.000000,1615874585266.000000,111635567524.000000,1554014692.000000,110081552832.000000,111635567524.000000,1614614119598.000000,46361497472.000000,4214090220058.000000,,,28340527889.000000,631786219554.000000,11351341476.000000,,,66119263403.000000,737597352322.000000,4951687572380.000000,,,2323507638695.000000,87709158442.000000,,1621294770723.000000,453640109007.000000,2074934879730.000000,,6353119606.000000,74432396779.000000,80785516385.000000,,24557121989.000000,53880566148.000000,,,,,1640396001.000000,2323507638695.000000,48510318109.000000,,398894784.000000,,,,,48111423325.000000,48510318109.000000,2372017956804.000000,,135432000000.000000,276480262616.000000,2167277028350.000000,23685393421.000000,2143591634929.000000,2167277028350.000000,480324610.000000,,2579669615576.000000,4951687572380.000000,2708640000.000000
12M 2013,,,405182386103.000000,,1871053542362.000000,49083876327.000000,1821969666035.000000,1871053542362.000000,121564094758.000000,11037438090.000000,110526656668.000000,121564094758.000000,2016743300010.000000,148547035607.000000,4563090358840.000000,,,34007558676.000000,820922223706.000000,13259007216.000000,,,96788549592.000000,964977339190.000000,5528067698030.000000,,,2433483833011.000000,120462075100.000000,,1540346311592.000000,537512450527.000000,2077858762119.000000,,47724858064.000000,132147055282.000000,179871913346.000000,,15441371074.000000,38321630437.000000,,,,,1528080935.000000,2433483833011.000000,55732001086.000000,,670655292.000000,,,,,55061345794.000000,55732001086.000000,2489215834097.000000,,135432000000.000000,276480262616.000000,2626175010463.000000,27712927325.000000,2598462083138.000000,2626175010463.000000,537043485.000000,227547369.000000,3038851863933.000000,5528067698030.000000,2708640000.000000
12M 2014,,,717097068613.000000,,2135452796990.000000,140315582391.000000,1995137214599.000000,2135452796990.000000,105650962237.000000,2084376787.000000,103566585450.000000,105650962237.000000,1966542444839.000000,192247952342.000000,5116991225021.000000,,,39456444071.000000,953995679687.000000,10034070146.000000,,,70140188008.000000,1073626381912.000000,6190617606933.000000,,,2581810454377.000000,113743346312.000000,,1769175498005.000000,468114469034.000000,2237289967039.000000,,26483357561.000000,137471305902.000000,163954663463.000000,,17243534702.000000,48427707966.000000,,,,,1151234895.000000,2581810454377.000000,58924799531.000000,,518113951.000000,,,,,58406685580.000000,58924799531.000000,2640735253908.000000,,135432000000.000000,276480262616.000000,3136784393521.000000,32356079946.000000,3104428313575.000000,3136784393521.000000,591889245.000000,593807643.000000,3549882353025.000000,6190617606933.000000,2708640000.000000
12M 2015,,,1129100700448.000000,,2147038365367.000000,161543492287.000000,1985494873080.000000,2147038365367.000000,62257626536.000000,1514417240.000000,60743209296.000000,62257626536.000000,2035351777139.000000,247517409955.000000,5621265879445.000000,,,51549410927.000000,1024336787403.000000,7019794739.000000,,,43764682732.000000,1126670675801.000000,6747936555246.000000,,,2586077277033.000000,144291638456.000000,,1741026826111.000000,486889946351.000000,2227916772462.000000,,341280000.000000,150799153674.000000,151140433674.000000,,12686643682.000000,48240635000.000000,,,,,1801153759.000000,2586077277033.000000,91613591072.000000,,160558136.000000,,,,,91453032936.000000,91613591072.000000,2677690868105.000000,,135432000000.000000,276480262616.000000,3667034358560.000000,32819021156.000000,3634215337404.000000,3667034358560.000000,640937969.000000,-9341872004.000000,4070245687141.000000,6747936555246.000000,2708640000.000000
12M 2016,,,1217204290777.000000,,2270412193380.000000,101406588003.000000,2169005605377.000000,2270412193380.000000,67862249523.000000,971179008.000000,66891070515.000000,67862249523.000000,2118544503261.000000,264696516271.000000,5938719753212.000000,,,57700124725.000000,1017625048185.000000,3542925019.000000,50000000.000000,,69631960862.000000,1148550058791.000000,7087269812003.000000,,,2361224504999.000000,41676863221.000000,,1713740802998.000000,463860620485.000000,2177601423483.000000,,14979202464.000000,96931919903.000000,111911122367.000000,,15671212143.000000,12598852257.000000,,,,,1765031528.000000,2361224504999.000000,106064079338.000000,,,,,,,106064079338.000000,106064079338.000000,2467288584337.000000,,135432000000.000000,276480262616.000000,4209517078381.000000,38290263445.000000,4171226814936.000000,4209517078381.000000,734926181.000000,-2183039512.000000,4619981227666.000000,7087269812003.000000,2708640000.000000
12M 2017,,,811493126579.000000,,2520367826211.000000,106677600320.000000,2413690225891.000000,2520367826211.000000,77057924462.000000,8461099576.000000,68596824886.000000,77057924462.000000,2331734744402.000000,378552169502.000000,6119205791156.000000,,,61136497087.000000,1195707318399.000000,5260567178.000000,50000000.000000,,44440084018.000000,1306594466682.000000,7425800257838.000000,,,2184784157262.000000,,,1661761738527.000000,361274924341.000000,2023036662868.000000,,5058911039.000000,115754045775.000000,120812956814.000000,,20462477008.000000,17745012464.000000,,,,,2727048108.000000,2184784157262.000000,110246682604.000000,,,,,,,110246682604.000000,110246682604.000000,2295030839866.000000,,135432000000.000000,276480262616.000000,4713644791218.000000,43850522643.000000,4669794268575.000000,4713644791218.000000,900012893.000000,4312351245.000000,5130769417972.000000,7425800257838.000000,2708640000.000000
