Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,428522.93,0.00,428329.47,105 B,,105 B,67 B,783 B
12M 2010,0.00,2006174.40,0.00,2005632.71,181 B,0 B,181 B,122 B,904 B
12M 2011,1.35,738.67,1.76,567.76,457 B,2 B,459 B,388 B,"1,449 B"
12M 2012,3.33,887.20,4.52,652.25,622 B,8 B,630 B,379 B,"1,570 B"
12M 2013,1.06,947.37,1.40,713.51,"1,165 B",7 B,"1,173 B","1,092 B","1,579 B"
12M 2014,1.07,1020.91,1.40,780.91,"1,443 B",127 B,"1,571 B","1,401 B","1,405 B"
12M 2015,0.50,1082.16,0.65,843.97,"1,462 B",138 B,"1,600 B","1,473 B","1,066 B"
12M 2016,0.52,1154.66,0.65,918.35,902 B,4 B,906 B,291 B,"1,233 B"
12M 2017,0.59,1250.80,0.73,1008.36,"1,748 B",5 B,"1,754 B","1,388 B","1,636 B"
12M 2018,1.50,1471.09,1.76,1247.31,"4,286 B",2 B,"4,287 B","4,015 B","2,313 B"
12M 2019,1.19,1511.54,1.39,1289.00,"2,705 B",1 B,"2,705 B","2,134 B","2,329 B"
12M 2020,1.30,1695.55,1.50,1467.79,"1,879 B",,"1,879 B",(123 B),"2,404 B"
12M 2021,1.56,384.89,1.78,336.75,"1,431 B",214 B,"1,645 B","1,125 B","2,345 B"
12M 2022,0.93,422.72,1.07,367.92,"3,777 B",182 B,"3,959 B","2,915 B","2,196 B"
12M 2023,0.93,459.15,1.04,407.66,"4,447 B",659 B,"5,106 B","3,340 B","2,634 B"
12M 2024,0.79,509.98,0.88,458.21,"4,418 B",423 B,"4,841 B","3,075 B","2,432 B"
