Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,-0.05,-1217.64,-0.05,-1225.92,120 B,141 B,261 B,260 B,(99 B)
12M 2011,-0.30,-669.42,-0.30,-677.34,90 B,129 B,219 B,217 B,(1 B)
12M 2012,0.56,592.59,0.57,585.06,74 B,160 B,234 B,233 B,7 B
12M 2013,0.36,789.90,0.36,778.87,133 B,197 B,330 B,327 B,2 B
12M 2014,0.65,982.66,0.65,972.86,179 B,160 B,339 B,335 B,1 B
12M 2015,0.62,1469.85,0.63,1457.20,237 B,172 B,409 B,362 B,76 B
12M 2016,0.79,208.87,0.80,207.20,184 B,173 B,358 B,(47 B),61 B
12M 2017,0.63,188.24,0.63,186.65,287 B,147 B,434 B,411 B,14 B
12M 2018,0.58,214.01,0.58,212.22,338 B,148 B,485 B,473 B,4 B
12M 2019,0.66,211.36,0.67,209.51,357 B,194 B,551 B,512 B,38 B
12M 2020,0.60,199.99,0.61,197.82,337 B,174 B,511 B,463 B,10 B
12M 2021,0.97,220.99,0.98,218.87,399 B,194 B,593 B,536 B,44 B
12M 2022,1.65,284.90,1.66,282.76,442 B,212 B,654 B,637 B,106 B
12M 2023,0.78,300.87,0.79,299.01,390 B,234 B,624 B,571 B,150 B
12M 2024,0.30,337.26,0.30,335.68,446 B,,654 B,591 B,136 B
