Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Gaji Dan Upah,Pembayaran Kas Untuk Biaya Operasional,Penerimaan/ (Pembayaran) Pajak Penghasilan,Penerimaan Dari Pendapatan Bunga,Pembayaran Bunga,Penerimaan/ (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Aset Tetap,Penjualan Aset Tetap,Investasi Jangka Panjang,Penerimaan Dari Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Pendek Dan Pinjaman Jangka Panjang,Pinjaman Jangka Pendek,Pinjaman Jangka Panjang,Total Penerimaan Dari Pinjaman Bank Jangka Pendek Dan Pinjaman Jangka Panjang,Pembayaran Pinjaman Bank Jangka Pendek Dan Jangka Panjang,Pinjaman Jangka Pendek,Pinjaman Jangka Panjang,Total Pembayaran Pinjaman Bank Jangka Pendek Dan Jangka Panjang,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen,Penerimaan Atas Utang Kepada Pihak-Pihak Yang Berelasi,Pembayaran Utang Kepada Pihak-Pihak Yang Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Penurunan Bersih Kas Dan Setara Kas Dari Operasi Yang Dihentikan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,-33906943000.000000,232149910000.000000,-150655458000.000000,-70044915000.000000,-37156997000.000000,44832000.000000,103482000.000000,-7705113000.000000,-642684000.000000,-33906943000.000000,-4827269000.000000,-4864769000.000000,,,37500000.000000,-4827269000.000000,38537563000.000000,33675202000.000000,,,33675202000.000000,,,,,,,,4862361000.000000,,38537563000.000000,-196649000.000000,-205429000.000000,2530192000.000000,-5772634000.000000,-3644520000.000000
12M 2012,-5185784000.000000,442378937000.000000,-289036003000.000000,-130796329000.000000,-24513029000.000000,-1352050000.000000,13182000.000000,-2806103000.000000,925611000.000000,-5185784000.000000,-22322528000.000000,-22607578000.000000,,,285050000.000000,-22322528000.000000,21724420000.000000,22172745000.000000,,,22172745000.000000,,,,,,,,-448325000.000000,,21724420000.000000,-5783892000.000000,,1602158000.000000,-3644519000.000000,-7826253000.000000
12M 2013,310191.000000,59398865.000000,-42394349.000000,-14025597.000000,-1905837.000000,-6796.000000,1108.000000,-850513.000000,93310.000000,310191.000000,-2374367.000000,-2380783.000000,,,6416.000000,-2374367.000000,2827413.000000,23511002.000000,,,23511002.000000,-20033589.000000,,,-20033589.000000,,,,7700000.000000,-8350000.000000,2827413.000000,763237.000000,,,-809334.000000,-46097.000000
12M 2014,-1665194.000000,50849092.000000,-36471773.000000,-13573238.000000,-1447008.000000,-245473.000000,1274.000000,-885916.000000,107848.000000,-1665194.000000,-151605.000000,-151605.000000,,,,-151605.000000,1459677.000000,23865835.000000,,,23865835.000000,-22406158.000000,,,-22406158.000000,,,,,,1459677.000000,-357122.000000,,,46097.000000,-311025.000000
12M 2015,2266373.000000,67528431.000000,-45487075.000000,-17250993.000000,-1400358.000000,-379255.000000,1830.000000,-831999.000000,85792.000000,2266373.000000,-532313.000000,-532313.000000,,,,-532313.000000,1414067.000000,33915398.000000,,,33915398.000000,-26101331.000000,,,-26101331.000000,,,,,-6400000.000000,1414067.000000,3148127.000000,,,311025.000000,3459152.000000
12M 2016,7415245.000000,74691640.000000,-40149872.000000,-23148533.000000,-1989435.000000,-982440.000000,2444.000000,-1088876.000000,80317.000000,7415245.000000,-3678014.000000,-3839274.000000,,,161260.000000,-3678014.000000,-3698139.000000,,25533920.000000,248210.000000,25782130.000000,,-27793191.000000,-1687078.000000,-29480269.000000,,,,,,-3698139.000000,39092.000000,,,3459153.000000,3498245.000000
12M 2017,-7165215.000000,69284633.000000,-44104477.000000,-27382940.000000,-2072609.000000,-1796004.000000,1676.000000,-1106987.000000,11493.000000,-7165215.000000,-773580.000000,-773580.000000,,,,-773580.000000,6085604.000000,,-36986371.000000,,-36986371.000000,,44816727.000000,-1744752.000000,43071975.000000,,,,,,6085604.000000,-1853191.000000,,,3498245.000000,1645054.000000
12M 2018,2744227.000000,75807317.000000,-47505929.000000,-21790590.000000,-2096673.000000,-543937.000000,1359.000000,-1244272.000000,116952.000000,2744227.000000,-4340245.000000,-4340245.000000,,,,-4340245.000000,814393.000000,,-60749637.000000,,-60749637.000000,,62928593.000000,-1364563.000000,61564030.000000,,,,,,814393.000000,-781625.000000,,,1645054.000000,863429.000000
12M 2019,-716995.000000,83832554.000000,-52961516.000000,-27657918.000000,-3388302.000000,742913.000000,2317.000000,-1383338.000000,96295.000000,-716995.000000,-3428843.000000,-3428843.000000,,,,-3428843.000000,6103715.000000,,109796181.000000,5000000.000000,114796181.000000,,-107351758.000000,-1340708.000000,-108692466.000000,,,,,,6103715.000000,1957877.000000,,,863429.000000,2821306.000000
12M 2020,4384031.000000,75904787.000000,-46301443.000000,-22615519.000000,-1452670.000000,-134523.000000,19517.000000,-1125352.000000,89234.000000,4384031.000000,-1674908.000000,-1688844.000000,,,13936.000000,-1674908.000000,-2108391.000000,,73251086.000000,,73251086.000000,,-74079477.000000,-1280000.000000,-75359477.000000,,,,,,-2108391.000000,600732.000000,,,2821306.000000,3422038.000000
12M 2021,-1053723.000000,94541251.000000,-65979828.000000,-25337697.000000,-2727061.000000,-143352.000000,4571.000000,-1484601.000000,72994.000000,-1053723.000000,-2252663.000000,-2252663.000000,,,,-2252663.000000,3870776.000000,,100784840.000000,,100784840.000000,,-96594064.000000,-320000.000000,-96914064.000000,,,,,,3870776.000000,564390.000000,,,3422037.000000,3986427.000000
12M 2022,-1139482.000000,104534148.000000,-72974354.000000,-27108732.000000,-2550783.000000,-1274510.000000,4947.000000,-1849862.000000,79664.000000,-1139482.000000,-1893473.000000,-2067066.000000,,,173593.000000,-1893473.000000,175899.000000,,95265656.000000,,95265656.000000,,-94847331.000000,,-94847331.000000,10670.000000,-3786.000000,-249310.000000,,,175899.000000,-2857056.000000,,,3986427.000000,1129371.000000
12M 2023,7832302.000000,118083261.000000,-72471461.000000,-30234680.000000,-3149977.000000,-2158218.000000,7595.000000,-2436636.000000,192418.000000,7832302.000000,-2958992.000000,-2972286.000000,,,13294.000000,-2958992.000000,-2534037.000000,,63277244.000000,3000000.000000,66277244.000000,,-66957084.000000,-250000.000000,-67207084.000000,,-6884.000000,-997313.000000,,-600000.000000,-2534037.000000,2339273.000000,,,1129371.000000,3468644.000000
12M 2024,957780.000000,109215876.000000,-69106865.000000,-31588192.000000,-3470686.000000,-1633858.000000,7220.000000,-2634706.000000,168991.000000,957780.000000,-2331417.000000,-2376498.000000,,,45081.000000,-2331417.000000,1774977.000000,,54754330.000000,,54754330.000000,,-52476857.000000,-600000.000000,-53076857.000000,119010.000000,-21506.000000,,,,1774977.000000,401340.000000,,,3468645.000000,3869985.000000
