Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(34 B),,(34 B),-231.74
12M 2012,(5 B),,(5 B),-35.44
12M 2013,4 B,,4 B,23.53
12M 2014,(21 B),,(21 B),-128.82
12M 2015,31 B,,31 B,194.41
12M 2016,100 B,,100 B,77.44
12M 2017,(97 B),,(97 B),-75.45
12M 2018,40 B,,40 B,30.89
12M 2019,(10 B),,(10 B),-7.75
12M 2020,62 B,,62 B,48.06
12M 2021,(15 B),,(15 B),-11.69
12M 2022,(18 B),,(18 B),-13.81
12M 2023,121 B,,121 B,93.99
12M 2024,15 B,,15 B,12.03
