Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2006,"2,861 B","(4,027 B)","(1,167 B)",-164.58
12M 2007,"3,986 B","(6,868 B)","(2,882 B)",-406.53
12M 2008,"4,710 B","(11,382 B)","(6,672 B)",-941.07
12M 2009,"7,718 B","(5,283 B)","2,436 B",343.52
12M 2010,"8,795 B","(5,176 B)","3,619 B",425.40
12M 2011,"8,433 B","(6,522 B)","1,911 B",224.39
12M 2012,"8,985 B","(10,176 B)","(1,191 B)",-139.63
12M 2013,"7,167 B","(7,907 B)",(740 B),-86.71
12M 2014,"8,540 B","(7,095 B)","1,445 B",169.37
12M 2015,"7,506 B","(4,146 B)","3,361 B",393.45
12M 2016,"7,312 B","(5,584 B)","1,728 B",161.64
12M 2017,"9,612 B","(6,697 B)","2,915 B",272.74
12M 2018,"9,358 B","(6,274 B)","3,084 B",288.55
12M 2019,"12,357 B","(9,096 B)","3,261 B",305.10
12M 2020,"13,949 B","(7,766 B)","6,183 B",577.55
12M 2021,"11,963 B","(7,293 B)","4,671 B",435.51
12M 2022,"14,104 B","(8,831 B)","5,273 B",401.68
12M 2023,"16,096 B","(10,425 B)","5,671 B",431.96
12M 2024,"17,834 B","(9,497 B)","8,337 B",635.01
