Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Uang Muka Lain,Penerimaan Bunga,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan Badan,Pembayaran Bunga Sewa Pembiayaan,Pembayaran Bunga Liabilitas Sewa,Pembayaran Bunga Pembiayaan Konsumen,Pembayaran Bunga Pinjaman Bank Jangka Pendek,Pembayaran Pajak,Pembayaran Bunga Utang Obligasi,Pembayaran Sewa Jangka Panjang Dibayar Dimuka,Penerimaan Dari Pendapatan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Tunai Dari Entitas Asosiasi,Penyelesaian Uang Jaminan,Penerimaan Pengembalian Bangunan Dalam Penyelesaian,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Investasi Dibayar Dimuka,Penambahan Biaya Renovasi,Penambahan Beban Ditangguhkan,Perolehan Aset Tetap,Penambahan (Penurunan) Aset Tidak Lancar Lainnya,Investasi Pada Properti,Pembayaran Investasi Pada Entitas Asosiasi,Uang Muka Investasi Asosiasi,Pembelian Kembali Saham,Penambahan Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Tunai,Pembayaran Kewajiban Sewa Pembiayaan,Penambahan Kewajiban Sewa Pembiayaan,Penerimaan Dari Penerbitan Obligasi,Pembayaran Utang Obligasi,Penerimaan Utang Dari Pemegang Saham Kepentingan Non-Pengendali,Penerimaan Uang Muka Dari Pemegang Saham,Penarikan Pinjaman Bank,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Pembayaran Biaya-Biaya Penerbitan Obligasi,Pembayaran Cadangan Layanan Utang Bank,Pembayaran Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Penambahan Utang Jangka Panjang,Pembayaran Utang Jangka Panjang,Pembelian Kembali Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Neto Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dari Entitas Anak Baru,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,225582844000.000000,2022633479000.000000,,8447610000.000000,-782997269000.000000,-697429838000.000000,-278545561000.000000,-46083580000.000000,,,,-441997000.000000,,,,,225582844000.000000,-170284688000.000000,,,,202993000.000000,,-47073305000.000000,-68193088000.000000,-52924553000.000000,,,,,,-2296735000.000000,-170284688000.000000,-17851315000.000000,-20081250000.000000,-2209824000.000000,,,,,,,4514828000.000000,,,,,,,-75069000.000000,,-17851315000.000000,37446841000.000000,-787299000.000000,,174835763000.000000,211495305000.000000
12M 2009,367684651000.000000,2454359779000.000000,,13083420000.000000,-970789241000.000000,-757843507000.000000,-321632078000.000000,-48889976000.000000,,,,-603746000.000000,,,,,367684651000.000000,-174735094000.000000,,,,39500000.000000,,-64772789000.000000,-71436655000.000000,-36428544000.000000,,,,,,-2136606000.000000,-174735094000.000000,-28180499000.000000,-25218766000.000000,-2047982000.000000,,,,,,,,-913751000.000000,,,,,,,,-28180499000.000000,164769058000.000000,-1832110000.000000,,211495305000.000000,374432253000.000000
12M 2010,293572632000.000000,2913604568000.000000,,13314514000.000000,-1301360122000.000000,-898380192000.000000,-364581297000.000000,-68773192000.000000,,,,-251647000.000000,,,,,293572632000.000000,-251808727000.000000,,,,9650000.000000,,-104920905000.000000,-82777614000.000000,-61454747000.000000,,,,,,-2665111000.000000,-251808727000.000000,-41574774000.000000,-37038750000.000000,-2014776000.000000,,,,,,,,-2521248000.000000,,,,,,,,-41574774000.000000,189131000.000000,374432253000.000000,,-414283000.000000,374207101000.000000
12M 2011,481023422000.000000,3316799653000.000000,,20344146000.000000,-1414614216000.000000,-917730430000.000000,-460894144000.000000,-58256040000.000000,,,,-4625547000.000000,,,,,481023422000.000000,-287560130000.000000,,309952000.000000,,2060262000.000000,,-133555780000.000000,-96058915000.000000,-59170337000.000000,,,,,,-1145312000.000000,-287560130000.000000,-9018131000.000000,-200000000000.000000,-3115290000.000000,,200000000000.000000,,,,,200000000000.000000,-201079829000.000000,-4823012000.000000,,,,,,,-9018131000.000000,184445161000.000000,73349000.000000,,374207101000.000000,558725611000.000000
12M 2012,426809150000.000000,3765647657000.000000,,19204456000.000000,-1691415357000.000000,-1067748010000.000000,-519635589000.000000,-59534690000.000000,-709317000.000000,,,,,-19000000000.000000,,,426809150000.000000,-369789868000.000000,,662077000.000000,,741580000.000000,,-130912089000.000000,-118071672000.000000,-117810967000.000000,,,,,,-4398797000.000000,-369789868000.000000,-49657072000.000000,-46041660000.000000,-3615412000.000000,,,,,,,,,,,,,,,,-49657072000.000000,7362210000.000000,1471100000.000000,,558725611000.000000,567558921000.000000
12M 2013,405256237000.000000,4149404587000.000000,,21912467000.000000,-1786047454000.000000,-1186433686000.000000,-645111514000.000000,-37137968000.000000,-768682000.000000,,,,,-19000000000.000000,-91561513000.000000,,405256237000.000000,-283975538000.000000,,491264000.000000,,622832000.000000,,-148895057000.000000,-51738639000.000000,-82038146000.000000,,,,,,-2417792000.000000,-283975538000.000000,-50753865000.000000,-46041660000.000000,-4712205000.000000,,,,,,,,,,,,,,,,-50753865000.000000,70526834000.000000,2495413000.000000,,567558921000.000000,640581168000.000000
12M 2014,308151195000.000000,4339410679000.000000,,32071776000.000000,-1804248452000.000000,-1363391049000.000000,-754535049000.000000,-40693843000.000000,-786508000.000000,,,,,-19000000000.000000,-80676359000.000000,,308151195000.000000,-236858591000.000000,,1276206000.000000,,1887445000.000000,,-118237597000.000000,-38201504000.000000,-76562777000.000000,,,,,,-7020364000.000000,-236858591000.000000,-66691957000.000000,-59854157000.000000,-6837800000.000000,,,,,,,,,,,,,,,,-66691957000.000000,4600647000.000000,389479000.000000,,640581168000.000000,645571294000.000000
12M 2015,321899632000.000000,4633077510000.000000,,30936940000.000000,-1890327895000.000000,-1462881520000.000000,-840453733000.000000,-32767231000.000000,-1182872000.000000,,,,,-19000000000.000000,-95501567000.000000,,321899632000.000000,-247888602000.000000,,344423000.000000,,1445400000.000000,,-101744518000.000000,-60204963000.000000,-82207068000.000000,,,,,,-5521876000.000000,-247888602000.000000,-68601558000.000000,-59854157000.000000,-8747401000.000000,,,,,,,,,,,,,,,,-68601558000.000000,5409472000.000000,2572946000.000000,,645571294000.000000,653553712000.000000
12M 2016,421122090000.000000,5017996906000.000000,,27489601000.000000,-1997737986000.000000,-1536292815000.000000,-932246132000.000000,-39199635000.000000,-387833000.000000,,-705247000.000000,,,-19000000000.000000,-98794769000.000000,,421122090000.000000,-231117083000.000000,,3790140000.000000,,463123000.000000,,-82836885000.000000,-49073653000.000000,-99672560000.000000,,,,,,-3787248000.000000,-231117083000.000000,-51109309000.000000,-35825123000.000000,-5458166000.000000,,200000000000.000000,-200000000000.000000,,,,,,-2868514000.000000,,-6957506000.000000,,,,,-51109309000.000000,138895698000.000000,-870876000.000000,,653553712000.000000,791578534000.000000
12M 2017,320003322000.000000,5458694052000.000000,,28191150000.000000,-2093551375000.000000,-1805531587000.000000,-1089642874000.000000,-71740141000.000000,-106963000.000000,,-822496000.000000,,,-17000000000.000000,-88486444000.000000,,320003322000.000000,-242471729000.000000,,1616060000.000000,,137706000.000000,,-96760798000.000000,-37452665000.000000,-101976339000.000000,,,,,,-8035693000.000000,-242471729000.000000,-73877127000.000000,-60072586000.000000,-1924079000.000000,,,,,,,,,,,-11880462000.000000,,,,,-73877127000.000000,3654466000.000000,275654000.000000,,791578534000.000000,795508654000.000000
