Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,226 B,(168 B),57 B,128.61
12M 2009,368 B,(173 B),195 B,437.08
12M 2010,294 B,(249 B),44 B,99.54
12M 2011,481 B,(289 B),192 B,417.53
12M 2012,427 B,(367 B),60 B,130.35
12M 2013,405 B,(283 B),123 B,61.44
12M 2014,308 B,(233 B),75 B,37.67
12M 2015,322 B,(244 B),78 B,38.97
12M 2016,421 B,(232 B),190 B,95.00
12M 2017,320 B,(236 B),84 B,42.01
12M 2018,574 B,(287 B),286 B,143.42
12M 2019,491 B,(432 B),59 B,29.41
12M 2020,203 B,(307 B),(104 B),-25.97
12M 2021,(18 B),(402 B),(420 B),-105.25
12M 2022,268 B,(345 B),(78 B),-19.54
12M 2023,383 B,(722 B),(339 B),-84.86
12M 2024,149 B,(304 B),(155 B),-38.85
