Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.08,1.16,1.4,2.84,0.0,0.0,1.27,0.49,1.84
12M 2009,2.31,1.47,0.92,2.32,0.0,0.0,0.81,0.4,1.32
12M 2010,0.84,0.49,1.1,2.48,0.0,0.0,1.01,0.44,1.48
12M 2011,1.32,0.55,1.24,2.74,0.0,0.0,1.22,0.45,1.74
12M 2012,0.58,0.36,1.41,3.09,0.0,0.0,1.37,0.46,2.09
12M 2013,1.42,0.92,1.97,3.65,0.0,0.0,1.92,0.54,2.65
12M 2014,0.98,0.53,1.33,3.39,0.0,0.0,1.3,0.39,2.39
12M 2015,1.07,0.51,1.43,2.86,0.0,0.0,1.4,0.5,1.86
12M 2016,1.08,0.69,1.27,2.72,0.0,0.0,1.2,0.47,1.72
12M 2017,0.74,0.45,1.27,2.85,0.0,0.0,1.19,0.45,1.85
12M 2018,1.17,0.8,0.98,2.56,0.0,0.0,0.9,0.38,1.56
12M 2019,0.7,0.41,0.91,2.29,0.0,0.0,0.88,0.4,1.29
12M 2020,0.81,0.49,1.17,2.51,0.0,0.0,1.14,0.46,1.51
12M 2021,0.83,0.49,1.24,2.6,0.0,0.0,1.21,0.48,1.6
12M 2022,0.66,0.32,1.21,2.57,0.0,0.0,1.19,0.47,1.57
12M 2023,0.47,0.25,1.46,2.88,0.0,0.0,1.44,0.51,1.88
12M 2024,0.42,0.24,2.22,3.81,0.0,0.0,2.19,0.58,2.81
