Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Jangka Panjang,Goodwill,Tanah Untuk Dikembangkan,Persediaan,Investasi Pada Entitas Asosiasi,Properti Investasi,Properti Pertambangan,Aset Eksplorasi Dan Evaluasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pajak,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Surat Berharga Yang Diterbitkan,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Keuangan Lainnya,Utang Jangka Panjang Dari Pihak Berelasi,Surat Berharga Jangka Menengah,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,2844917029.000000,3853477800.000000,7400856100.000000,,,7400856100.000000,,191468884.000000,,191468884.000000,191468884.000000,16293881345.000000,61151131167.000000,91735732325.000000,,,,,,238565416505.000000,,21846501943.000000,,,77831721104.000000,,,338243639552.000000,429979371877.000000,,,78396465061.000000,18314491601.000000,,4086013646.000000,,4086013646.000000,,9531099064.000000,4025549454.000000,13556648518.000000,558825082.000000,,19768705927.000000,,,149036509.000000,19917742436.000000,358500111.000000,,21604243667.000000,78396465061.000000,68185121296.000000,,,,,,66550212959.000000,,,,,410210514.000000,66960423473.000000,,,,1224697823.000000,68185121296.000000,146581586357.000000,,272100000000.000000,-3064909509.000000,-42085478043.000000,,,-42085478043.000000,14592260701.000000,41855912371.000000,283397785520.000000,429979371877.000000,2721000000.000000
12M 2014,,,1832370888.000000,932951000.000000,2002650065.000000,,,2002650065.000000,,143992197.000000,,143992197.000000,143992197.000000,72544641000.000000,89181204341.000000,166637809491.000000,,,,,,194657832842.000000,,21568182932.000000,,,76582340909.000000,,,292808356683.000000,459446166174.000000,,,125029837717.000000,46978863172.000000,,2218261900.000000,,2218261900.000000,,3685410338.000000,,3685410338.000000,1251794757.000000,,24213704467.000000,,,197597583.000000,24411302050.000000,962362080.000000,,45521843420.000000,125029837717.000000,48594868020.000000,,,,,,46437136317.000000,,,,,300050477.000000,46737186794.000000,,,,1857681226.000000,48594868020.000000,173624705737.000000,,272100000000.000000,-3064909509.000000,-39564306152.000000,,,-39564306152.000000,14494763727.000000,41855912371.000000,285821460437.000000,459446166174.000000,2721000000.000000
12M 2015,,,5723110918.000000,352781000.000000,8143637065.000000,8143637065.000000,,8143637065.000000,,127250550.000000,,127250550.000000,127250550.000000,98842536424.000000,211574748279.000000,324764064236.000000,,,,,,184064279386.000000,,,,,75172192534.000000,,,259236471920.000000,584000536156.000000,,,105801761071.000000,46528720672.000000,,5010869759.000000,,5010869759.000000,,2441975156.000000,,2441975156.000000,3110819195.000000,,15721105068.000000,,206801027.000000,,15927906095.000000,390757315.000000,,32390712879.000000,105801761071.000000,32928455048.000000,,,,,,30337084555.000000,,,,,93249450.000000,30430334005.000000,,,,2498121043.000000,32928455048.000000,138730216119.000000,,272100000000.000000,-3064909509.000000,42741875767.000000,,,42741875767.000000,91766815165.000000,41726538613.000000,445270320036.000000,584000536155.000000,2721000000.000000
12M 2016,,,3155270149.000000,75376000.000000,808718386.000000,808718386.000000,,808718386.000000,,8989963145.000000,125000000.000000,8864963145.000000,8989963145.000000,133829477744.000000,231313849306.000000,378172654730.000000,,,,,,136248891634.000000,,21558652723.000000,,,350912346.000000,,235216500000.000000,393374956703.000000,771547611433.000000,,,96092215801.000000,36072440480.000000,,1603683142.000000,556284034.000000,2159967176.000000,,78595813.000000,22484116365.000000,22562712178.000000,,,3941666676.000000,,93249450.000000,,4034916126.000000,,205772158.000000,31056407683.000000,96092215801.000000,2745941653.000000,,,,,,,,,,,,,,,,2745941653.000000,2745941653.000000,98838157454.000000,,272100000000.000000,-2964909509.000000,293496828209.000000,3000000000.000000,290496828209.000000,293496828209.000000,67895548788.000000,42181986491.000000,672709453979.000000,771547611433.000000,2721000000.000000
12M 2017,,,2783733226.000000,,209842750.000000,209842750.000000,,209842750.000000,,14928017.000000,,14928017.000000,14928017.000000,180390276836.000000,100623643519.000000,284022424348.000000,,,,136067616.000000,,280678620957.000000,,,,,414962606.000000,,236227876000.000000,517457527179.000000,801479951527.000000,,,80118701639.000000,37958007495.000000,,939847292.000000,1346806419.000000,2286653711.000000,,359418452.000000,,359418452.000000,1667587471.000000,,8437500000.000000,,,,8437500000.000000,,406497488.000000,29003037022.000000,80118701639.000000,39469502027.000000,,,,,,36562500000.000000,,,,,,36562500000.000000,,,,2907002027.000000,39469502027.000000,119588203666.000000,,272100000000.000000,-2964909509.000000,343725645113.000000,3000000000.000000,340725645113.000000,343725645113.000000,67767468767.000000,1263543490.000000,681891747861.000000,801479951527.000000,2721000000.000000
12M 2018,,,43373347816.000000,,112942750.000000,112942750.000000,,112942750.000000,,,,,,209999429948.000000,130325782441.000000,383811502955.000000,,,,136067616.000000,,314634427877.000000,,,,,237016895.000000,,242136376000.000000,557143888388.000000,940955391343.000000,,,118630021417.000000,56588336205.000000,,297778276.000000,1771000.000000,299549276.000000,,595294554.000000,41107246.000000,636401800.000000,1875062736.000000,,9530505593.000000,,,,9530505593.000000,,1003675765.000000,48696490042.000000,118630021417.000000,146832593365.000000,,,,,,29386270184.000000,,,,,,29386270184.000000,,,114750000000.000000,2696323181.000000,146832593365.000000,265462614782.000000,,272100000000.000000,-2964909509.000000,349641180750.000000,3000000000.000000,346641180750.000000,349641180750.000000,52516973954.000000,4199531366.000000,675492776561.000000,940955391343.000000,2721000000.000000
12M 2019,,,45803772595.000000,,67342750.000000,67342750.000000,,67342750.000000,,,,,,183166663401.000000,45745367125.000000,274783145871.000000,,,,136067616.000000,,321620376028.000000,,,,,152607850.000000,,295174788901.000000,617083840395.000000,891866986266.000000,,,94605074884.000000,30593669737.000000,,804546176.000000,4343018259.000000,5147564435.000000,,411974429.000000,172449862.000000,584424291.000000,6204704700.000000,,5878489074.000000,,,,5878489074.000000,,916046738.000000,45280175909.000000,94605074884.000000,169794632882.000000,,,,,,51660076279.000000,,,,,,51660076279.000000,,,114750000000.000000,3384556603.000000,169794632882.000000,264399707766.000000,,272100000000.000000,-2964909509.000000,352359777332.000000,3000000000.000000,349359777332.000000,352359777332.000000,290215594.000000,5682195083.000000,627467278500.000000,891866986266.000000,2721000000.000000
12M 2020,,,2017445915.000000,,52846500.000000,52846500.000000,,52846500.000000,,,,,,208089696184.000000,57036936111.000000,267196924710.000000,,,30651794902.000000,136067616.000000,,277219421260.000000,,,,,342796806.000000,,295160447776.000000,603510528360.000000,870707453070.000000,,,81634525401.000000,24993382169.000000,,894265981.000000,1771000.000000,896036981.000000,,349176909.000000,288679989.000000,637856898.000000,3409359673.000000,,6558740989.000000,,,,6558740989.000000,,1162774950.000000,43976373741.000000,81634525401.000000,163890124493.000000,,,,,,45101335290.000000,,,,,,45101335290.000000,,,114750000000.000000,4038789203.000000,163890124493.000000,245524649894.000000,,272100000000.000000,-2964909509.000000,350879003726.000000,3000000000.000000,347879003726.000000,350879003726.000000,282547371.000000,4886161588.000000,625182803176.000000,870707453070.000000,2721000000.000000
12M 2021,,,7980382862.000000,,2013997008.000000,2013997008.000000,,2013997008.000000,,1273707.000000,215023.000000,1058684.000000,1273707.000000,195884549061.000000,42189045176.000000,248069247814.000000,,,30681007468.000000,136067616.000000,,278492431170.000000,,,,,217699095.000000,,311434221462.000000,620961426811.000000,869030674625.000000,,,193806868880.000000,24494171660.000000,,633086510.000000,1387619645.000000,2020706155.000000,,299176909.000000,600000000.000000,899176909.000000,3494497606.000000,,7317710863.000000,,,,7317710863.000000,,402821880.000000,155177783807.000000,193806868880.000000,39525438687.000000,,,,,,37783624427.000000,,,,,,37783624427.000000,,,,1741814260.000000,39525438687.000000,233332307567.000000,,272100000000.000000,-2964909509.000000,359437331557.000000,3000000000.000000,356437331557.000000,359437331557.000000,286536653.000000,6839408357.000000,635698367058.000000,869030674625.000000,2721000000.000000
12M 2022,,,1963934760.000000,,1826270648.000000,1826270648.000000,,1826270648.000000,,,,,,148995990308.000000,41692290972.000000,194478486688.000000,,,,136067616.000000,,246162516051.000000,,,,,145057332.000000,,311943715385.000000,558387356384.000000,752865843072.000000,,,68336742190.000000,22485823191.000000,,40298287.000000,1692745536.000000,1733043823.000000,,329503692.000000,,329503692.000000,1118573477.000000,,7449469620.000000,,383055301.000000,,7832524921.000000,,1097631477.000000,33739641609.000000,68336742190.000000,32531216495.000000,,,,,,30334154807.000000,,,,,,30334154807.000000,,,,2197061688.000000,32531216495.000000,100867958685.000000,,272100000000.000000,-2964909509.000000,376731928180.000000,3000000000.000000,373731928180.000000,376731928180.000000,285599660.000000,5845266056.000000,651997884387.000000,752865843072.000000,2721000000.000000
