Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Beban Pajak,Pembayaran Bunga,Penerimanaan Penghasilan Bunga,Penerimanaan Penghasilan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Pembelian Tanah,Penerimaan Kembali Uang Muka Pembelian,Penjualan (Penambahan) Aktiva Tetap,Perolehan Aset Tetap,Penerimaan Dividen,Uang Muka Pembelian,Penyertaan Saham,Uang Muka Penyertaan,Uang Muka Lain-Lain,Investasi Rdpt,Uang Muka Dividen,Perolehan Dari Penjualan Investasi Entitas Anak,Real Estate,Penjualan Aset Tetap,Investasi Saham,Penjualan (Penambahan) Tanah Yang Sedang Dikembangkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Hutang Bank Jangka Pendek,Pembayaran Hutang Bank Jangka Panjang,Pembayaran Hutang Lain-Lain,Pembayaran Hutang Pihak Berelasi,Pembayaran Piutang Lain-Lain,Utang Lain-Lain,Liabilitas Sewa,Utang Jangka Pendek,Utang Rdpt,Pembayaran Dividen,Penambahan Hutang Bank,Penambahan Hutang Lain-Lain,Penambahan Modal Disetor Lainnya,Pembayaran Bunga,Pembayaran Hutang Pihak Yang Mempunyai Hubungan Istimewa,Penambahan Hutang Surat Berharga Yang Diterbitkan,Penambahan Hutang Bank Jangka Pendek,Penambahan Hutang Bank Jangka Panjang,Penambahan Hutang Pihak Berelasi,Penambahan Piutang Pihak Berelasi,Penambahan Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Pelepasan Entitas Anak,Rekening Yang Dibatasi Penggunaannya,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,6236342338.000000,64982447326.000000,-53169895820.000000,-2824881876.000000,-3149031962.000000,73704670.000000,324000000.000000,6236342338.000000,-573916473.000000,,,,-668900000.000000,,,,,,,,,,94983527.000000,,,-573916473.000000,-5443315548.000000,-5967000000.000000,-1366795798.000000,-84357892.000000,-115670874017.000000,,,,,,,,,,,,,21790091601.000000,74325000000.000000,21063870546.000000,,466750012.000000,-5443315548.000000,219110317.000000,2625806712.000000,,,,2844917029.000000
12M 2014,7041553503.000000,76721798801.000000,-67063833895.000000,-3729198974.000000,-4842641337.000000,33235332.000000,5922193576.000000,7041553503.000000,-169000000.000000,,,,-169000000.000000,,,,,,,,,,,,,-169000000.000000,-7885099644.000000,4444998540.000000,-31061632613.000000,-5907287688.000000,-4025549454.000000,,,,,,,,,,,,,28664371571.000000,,,,,-7885099644.000000,-1012546141.000000,2844917029.000000,,,,1832370888.000000
12M 2015,64231764463.000000,222850974729.000000,-132991534634.000000,-11945369371.000000,-14313759067.000000,25994978.000000,605457828.000000,64231764463.000000,-35100633187.000000,-45674186643.000000,,,,,,,,,,,,10573553456.000000,,,,-35100633187.000000,-25240391245.000000,,-26576741943.000000,,-1713704402.000000,,,,,,,3050055100.000000,,,,,,,,,,,-25240391245.000000,3890740031.000000,1832370888.000000,,,,5723110919.000000
12M 2016,96951659627.000000,401522043682.000000,-274888925620.000000,-20043524906.000000,-10607009079.000000,104934806.000000,864140744.000000,96951659627.000000,-60361300000.000000,,,,,174855200000.000000,,,,,,,,,,-235216500000.000000,,-60361300000.000000,-39158200396.000000,,-42323323973.000000,,22484116365.000000,,,,,,,-10456280193.000000,,,,,,,,,,-8862712595.000000,-39158200396.000000,-2567840769.000000,5723110918.000000,,,,3155270149.000000
12M 2017,12182400866.000000,37634530690.000000,-22593901011.000000,-1201936259.000000,-1913032023.000000,27067390.000000,229672079.000000,12182400866.000000,-51769684142.000000,,,,,,,,-144000000.000000,,,,,-40690684142.000000,,-10935000000.000000,,-51769684142.000000,39215746353.000000,,45000000000.000000,,-12484939665.000000,,,,,,,-2149349111.000000,,,,,,,,,,8850035129.000000,39215746353.000000,-371536923.000000,3155270149.000000,,,,2783733226.000000
12M 2018,32020108672.000000,63022766657.000000,-18891215055.000000,-1282933788.000000,-11832706755.000000,969265880.000000,34931733.000000,32020108672.000000,-104152598570.000000,-23445412261.000000,,,,,,,-698400000.000000,-40499474203.000000,,,,-33475812106.000000,,-6033500000.000000,,-104152598570.000000,112722104488.000000,,-6083224222.000000,,,,,,,,-14575000000.000000,18630328710.000000,,,,,114750000000.000000,,,,,,112722104488.000000,40589614590.000000,2783733226.000000,,,,43373347816.000000
12M 2019,14587104665.000000,80879233375.000000,-47995611965.000000,-2122307029.000000,-18533617029.000000,2158869662.000000,200537651.000000,14587104665.000000,87681061178.000000,69854297823.000000,,,,,,,-5873600000.000000,11393111352.000000,,,600000000.000000,11707252003.000000,,,,87681061178.000000,-99728862746.000000,-25994666468.000000,,,-92599070729.000000,,,,,,,,243084875.000000,,,,,,18621789576.000000,,,,-99728862746.000000,2539303097.000000,43373347816.000000,-108878321.000000,,,45803772592.000000
12M 2020,-11426596611.000000,50031492998.000000,-37916337598.000000,-1313019971.000000,-25269078509.000000,2740325388.000000,300021081.000000,-11426596611.000000,-20934386032.000000,-3842717883.000000,,,-286360000.000000,,,,-8016500000.000000,8451920391.000000,-30000000000.000000,,,12759271460.000000,,,,-20934386032.000000,-11425344037.000000,-5600287569.000000,-5878489075.000000,-62797520.000000,,,,,,,,,,,,,,,,116230127.000000,,,-11425344037.000000,-43786326680.000000,45803772595.000000,,,,2017445915.000000
12M 2021,15366535222.000000,47189251440.000000,-18758741445.000000,-1359419402.000000,-16351875000.000000,3647549852.000000,999769777.000000,15366535222.000000,-2945646777.000000,-156632757.000000,,,,,,,,-1234724251.000000,,,,-1554289769.000000,,,,-2945646777.000000,-6457951498.000000,-499210509.000000,-6558740989.000000,,,,,,,,,,,,,,,,,600000000.000000,,,-6457951498.000000,5962936947.000000,2017445915.000000,,,,7980382862.000000
12M 2022,9172971165.000000,45872264301.000000,-26012356829.000000,-1327680636.000000,-10976161259.000000,958219690.000000,658685898.000000,9172971165.000000,45203742827.000000,-307085943.000000,,,-1700000.000000,,,,,-129867224.000000,30681007468.000000,,,14961388526.000000,,,,45203742827.000000,-60393162094.000000,-2008348469.000000,-7317710863.000000,-50479414653.000000,,,,,,,,,,,,,,,,-600000000.000000,1273708.000000,11038183.000000,-60393162094.000000,-6016448102.000000,7980382862.000000,,,,1963934760.000000
