Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,,,0.29
12M 2011,49.18,,50.3,,7.42,,,,,,0.06,,-0.19,,0.26
12M 2012,80.46,,37.23,,4.54,3.02,,,,,0.07,0.07,0.28,0.28,2.39
12M 2013,121.96,,52.81,,2.99,3.04,,,12.57,12.57,0.1,0.1,0.55,0.55,1.89
12M 2014,98.06,,92.53,,3.72,3.8,,,6.4,5.6,0.12,0.11,0.55,0.55,2.03
12M 2015,89.2,,83.3,,4.09,4.38,,,2.91,2.24,0.09,0.09,0.47,0.47,2.17
12M 2016,205.71,,87.23,,1.77,1.29,,,1.04,1.06,0.04,0.04,0.19,0.19,2.35
12M 2017,200.98,,63.05,,1.82,1.8,,,1.34,1.36,0.05,0.05,0.18,0.18,3.14
12M 2018,116.63,,130.72,,3.13,6.72,,,1.6,1.61,0.06,0.06,0.21,0.21,3.68
12M 2019,54.12,,216.99,,6.74,6.11,,,1.55,1.56,0.05,0.05,0.19,0.19,3.49
12M 2020,131.62,,525.2,,2.77,3.11,,,0.86,0.86,0.03,0.03,0.12,0.12,2.44
12M 2021,213.81,,1101.08,,1.71,1.56,,,0.54,0.54,0.02,0.02,0.08,0.08,2.5
