Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1244519327000.000000,-1149962296000.000000,,94557031000.000000,-51154556000.000000,-26339794000.000000,-24818524000.000000,3762000.000000,-51154556000.000000,43402475000.000000,-36791589000.000000,-34312396000.000000,1434806000.000000,1045120000.000000,-4959119000.000000,,,-36791589000.000000,6610886000.000000,-5798833000.000000,812053000.000000,,,812053000.000000,812053000.000000,,812053000.000000,,,,
12M 2009,1292819431000.000000,-1100244222000.000000,,192575209000.000000,-63620584000.000000,-31219757000.000000,-33237958000.000000,837131000.000000,-63620584000.000000,128954625000.000000,40363972000.000000,55548232000.000000,68067000.000000,611536000.000000,-15863863000.000000,,,40363972000.000000,169318597000.000000,-48232848000.000000,121085749000.000000,,,121085749000.000000,121085749000.000000,,121085749000.000000,,,,
12M 2010,193371346.000000,-174150448.000000,,19220898.000000,-9512041.000000,-5270052.000000,-4242913.000000,924.000000,-9512041.000000,9708857.000000,-1088430.000000,-12504.000000,89487.000000,92795.000000,-1258208.000000,,,-1088430.000000,8620427.000000,-1204559.000000,7415868.000000,,,7415868.000000,7415868.000000,,7415868.000000,,,,
12M 2011,207310260.000000,-193290214.000000,,14020046.000000,-10142085.000000,-5614530.000000,-4763305.000000,235750.000000,-10142085.000000,3877961.000000,-747837.000000,,,109032.000000,-856869.000000,,,-747837.000000,3130124.000000,-973660.000000,2156464.000000,,2156464.000000,2156464.000000,2156464.000000,,2156464.000000,2156464.000000,2156464.000000,,2156464.000000
12M 2012,203402375.000000,-180408287.000000,,22994088.000000,-12977112.000000,-6036026.000000,-6354786.000000,-586300.000000,-12977112.000000,10016976.000000,-916517.000000,,,92936.000000,-1009453.000000,,,-916517.000000,9100459.000000,-2426462.000000,6673997.000000,,6673997.000000,6673997.000000,6673997.000000,,6673997.000000,6673997.000000,6673997.000000,,6673997.000000
12M 2013,184379700.000000,-159627355.000000,,24752345.000000,-16909182.000000,-7689108.000000,-5849079.000000,-3370995.000000,-16909182.000000,7843163.000000,-1199620.000000,,,82649.000000,-861458.000000,,-420811.000000,-1199620.000000,6643543.000000,-2009152.000000,4634391.000000,,4634391.000000,4634391.000000,4634391.000000,,4634391.000000,4634391.000000,4634391.000000,,4634391.000000
12M 2014,160765072.000000,-139978690.000000,,20786382.000000,-15336589.000000,-8343333.000000,-6955575.000000,-37681.000000,-15336589.000000,5449793.000000,-747076.000000,,,44563.000000,-791639.000000,,,-747076.000000,4702717.000000,-1960961.000000,2741756.000000,,2741756.000000,2741756.000000,2741756.000000,,2741756.000000,2741756.000000,2741756.000000,,2741756.000000
12M 2015,154399432.000000,-138262715.000000,,16136717.000000,-13689737.000000,-5988888.000000,-7347071.000000,-353778.000000,-13689737.000000,2446980.000000,-939663.000000,,,62311.000000,-1001974.000000,,,-939663.000000,1507317.000000,-1618295.000000,-110978.000000,-79574.000000,-190552.000000,-110978.000000,-110978.000000,,-110978.000000,-190552.000000,-190552.000000,,-190552.000000
12M 2016,154505164.000000,-137271604.000000,,17233560.000000,-13835324.000000,-6792703.000000,-6582757.000000,-459864.000000,-13835324.000000,3398236.000000,-831211.000000,,,27037.000000,-858248.000000,,,-831211.000000,2567025.000000,-910900.000000,1656125.000000,-890924.000000,765201.000000,1656125.000000,1656125.000000,,1656125.000000,765201.000000,765201.000000,,765201.000000
12M 2017,161261509.000000,-146072236.000000,,15189273.000000,-14806746.000000,-7776281.000000,-6740925.000000,-289540.000000,-14806746.000000,382527.000000,-648458.000000,,,11157.000000,-659615.000000,,,-648458.000000,-265931.000000,-628283.000000,-894214.000000,-1393814.000000,-2288028.000000,-894214.000000,-894214.000000,,-894214.000000,-2288028.000000,-2288028.000000,,-2288028.000000
12M 2018,159928209.000000,-145814787.000000,,14113422.000000,-12055726.000000,-6630803.000000,-6995660.000000,1570737.000000,-12055726.000000,2057696.000000,-1029546.000000,,,,-1029546.000000,,,-1029546.000000,1028150.000000,-522844.000000,505306.000000,305369.000000,810675.000000,505306.000000,505306.000000,,505306.000000,810675.000000,810675.000000,,810675.000000
12M 2019,139315838.000000,-122136543.000000,,17179295.000000,-15108050.000000,-7280614.000000,-6414512.000000,-1412924.000000,-15108050.000000,2071245.000000,-2069061.000000,,,,-2069061.000000,,,-2069061.000000,2184.000000,-266762.000000,-264578.000000,-839568.000000,-1104146.000000,-264578.000000,-264578.000000,,-264578.000000,-1104146.000000,-1104146.000000,,-1104146.000000
12M 2020,108268268.000000,-98024017.000000,,10244251.000000,-10942290.000000,-3951586.000000,-6177293.000000,-813411.000000,-10942290.000000,-698039.000000,-2232729.000000,,,4416.000000,-2237145.000000,,,-2232729.000000,-2930768.000000,-4180504.000000,-7111272.000000,-168088.000000,-7279360.000000,-7111272.000000,-7111272.000000,,-7111272.000000,-7279360.000000,-7279360.000000,,-7279360.000000
12M 2021,150216504.000000,-136222337.000000,,13994167.000000,-10898534.000000,-4105851.000000,-7069813.000000,277130.000000,-10898534.000000,3095633.000000,-632490.000000,,,6790.000000,-639280.000000,,,-632490.000000,2463143.000000,-29120.000000,2434023.000000,844231.000000,3278254.000000,2434023.000000,2434023.000000,,2434023.000000,3278254.000000,3278254.000000,,3278254.000000
