Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Beban Bunga,Pendapatan Komisi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,446889819996.000000,-363074985839.000000,,83814834157.000000,-57431573759.000000,-24034954793.000000,-33396618966.000000,,-57431573759.000000,26383260398.000000,-24512736453.000000,,,-14900295193.000000,-8493820197.000000,,,,-1118621063.000000,-24512736453.000000,1870523945.000000,-7617662266.000000,-4400266300.000000,-2295770400.000000,-921625566.000000,-7617662266.000000,-5747138321.000000,-23186149.000000,-5770324470.000000,,-5770324470.000000,-5770324470.000000,-5747138321.000000,-23186149.000000,,-5770324470.000000,,,,
12M 2009,381641832749.000000,-295922985275.000000,,85718847474.000000,-49349626560.000000,-19662054801.000000,-29687571759.000000,,-49349626560.000000,36369220914.000000,-22519402677.000000,,,-14410503466.000000,1140230106.000000,,,,-9249129317.000000,-22519402677.000000,13849818237.000000,-8037124316.000000,-5403603665.000000,-1762017972.000000,-871502679.000000,-8037124316.000000,5812693921.000000,-25208364.000000,5787485557.000000,,5787485557.000000,5787485557.000000,5812693921.000000,-25208364.000000,,5787485557.000000,,,,
12M 2010,448318183872.000000,-332809197682.000000,,115508986190.000000,-61604842282.000000,-26659639341.000000,-34945202941.000000,,-61604842282.000000,53904143908.000000,-14876146937.000000,,,-10066766255.000000,774686962.000000,,,,-5584067644.000000,-14876146937.000000,39027996971.000000,-12883286178.000000,-8698806160.000000,-2704183250.000000,-1480296768.000000,-12883286178.000000,26144710793.000000,-155877363.000000,25988833430.000000,,25988833430.000000,25988833430.000000,26144710793.000000,-155877363.000000,,25988833430.000000,,,,
12M 2011,518236803981.000000,-388957499205.000000,,129279304776.000000,-76258502511.000000,-34027296950.000000,-42231205561.000000,,-76258502511.000000,53020802265.000000,-12876249298.000000,860047839.000000,,-7846044233.000000,-1188076426.000000,,,,-4702176478.000000,-12876249298.000000,40144552967.000000,-12479441075.000000,-7669104600.000000,-4266131500.000000,-544204975.000000,-12479441075.000000,27665111892.000000,,27665111892.000000,,27665111892.000000,27665111892.000000,27638383558.000000,26728334.000000,,27665111892.000000,27665111892.000000,27638383558.000000,26728334.000000,27665111892.000000
12M 2012,598109147815.000000,-444141757568.000000,,153967390247.000000,-95071579815.000000,-42988941561.000000,-52082638254.000000,,-95071579815.000000,58895810432.000000,-14504980462.000000,177865750.000000,,-7907625282.000000,-2190473621.000000,,,,-4584747309.000000,-14504980462.000000,44390829970.000000,-15647534520.000000,-11191211561.000000,-4669383500.000000,213060541.000000,-15647534520.000000,28743295450.000000,,28743295450.000000,,28743295450.000000,28743295450.000000,28649460217.000000,93835233.000000,,28743295450.000000,28743295450.000000,28649460217.000000,93835233.000000,28743295450.000000
12M 2013,657525519639.000000,-501653987062.000000,,155871532577.000000,-111039380015.000000,-50207657274.000000,-60831722741.000000,,-111039380015.000000,44832152562.000000,-11438407552.000000,623018335.000000,,-7172621570.000000,-4713991988.000000,,754296892.000000,,-929109221.000000,-11438407552.000000,33393745010.000000,-14850839686.000000,-10431751132.000000,-5283593250.000000,864504696.000000,-14850839686.000000,18542905324.000000,,18542905324.000000,,18542905324.000000,18542905324.000000,18498663542.000000,44241782.000000,,18542905324.000000,18542905324.000000,18498663542.000000,44241782.000000,18542905324.000000
12M 2014,631523900384.000000,-470916431964.000000,,160607468420.000000,-113896085625.000000,-51883323477.000000,-62012762148.000000,,-113896085625.000000,46711382795.000000,-14507446578.000000,,2523753170.000000,-12686879165.000000,,-8454752143.000000,,,4110431560.000000,-14507446578.000000,32203936217.000000,-14144390062.000000,-7948827936.000000,-6791929750.000000,596367624.000000,-14144390062.000000,18059546155.000000,,18059546155.000000,,18059546155.000000,18059546155.000000,18021725654.000000,37820501.000000,,18059546155.000000,18059546155.000000,18021725654.000000,37820501.000000,18059546155.000000
12M 2015,837433083193.000000,-652296366105.000000,,185136717088.000000,-123079663241.000000,-58656589835.000000,-64423073406.000000,,-123079663241.000000,62057053847.000000,-16890916506.000000,,112393536.000000,-12567694137.000000,,,,,-4435615905.000000,-16890916506.000000,45166137341.000000,-20244070747.000000,-14507826186.000000,-6598330000.000000,862085439.000000,-20244070747.000000,24922066594.000000,,24922066594.000000,1689170153.000000,26611236747.000000,24922066594.000000,24855868418.000000,66198176.000000,,24922066594.000000,26611236747.000000,26559229334.000000,52007413.000000,26611236747.000000
12M 2016,942776150083.000000,-736346426676.000000,,206429723407.000000,-139511016905.000000,-65922571764.000000,-73588445141.000000,,-139511016905.000000,66918706502.000000,-13972615182.000000,,140545024.000000,-13004606053.000000,,,,,-1108554153.000000,-13972615182.000000,52946091320.000000,-22219469270.000000,-17588378212.000000,-5324923750.000000,693832692.000000,-22219469270.000000,30726622050.000000,,30726622050.000000,180672548599.000000,211399170649.000000,30726622050.000000,30716189960.000000,10432090.000000,,30726622050.000000,211399170649.000000,211367931429.000000,31239220.000000,211399170649.000000
12M 2017,884588704411.000000,-677966511966.000000,,206622192445.000000,-151398320006.000000,-74209305477.000000,-77189014529.000000,,-151398320006.000000,55223872439.000000,-13094339773.000000,,148054239.000000,-19590199419.000000,,,,,6347805407.000000,-13094339773.000000,42129532666.000000,-18223582196.000000,-15090838804.000000,-3119176000.000000,-13567392.000000,-18223582196.000000,23905950470.000000,,23905950470.000000,-2251022015.000000,21654928455.000000,23905950470.000000,23890332913.000000,15617557.000000,,23905950470.000000,21654928455.000000,21646151093.000000,8777362.000000,21654928455.000000
12M 2018,1176679314139.000000,-947170542507.000000,,229508771632.000000,-174558313184.000000,-71543613482.000000,-83320967011.000000,-19693732691.000000,-174558313184.000000,54950458448.000000,-23126952375.000000,,138663156.000000,-25974020819.000000,,,,,2708405288.000000,-23126952375.000000,31823506073.000000,-10204993370.000000,,-7970143000.000000,-2234850370.000000,-10204993370.000000,21618512703.000000,,21618512703.000000,6656218488.000000,28274731191.000000,21618512703.000000,21623861964.000000,-5349261.000000,,21618512703.000000,28274731191.000000,28270378575.000000,4352616.000000,28274731191.000000
12M 2019,1187269670295.000000,-891846999972.000000,,295422670323.000000,-224703877674.000000,-102004300872.000000,-105116481079.000000,-17583095723.000000,-224703877674.000000,70718792649.000000,-29334868035.000000,,1995018217.000000,-39287052761.000000,,,,,7957166509.000000,-29334868035.000000,41383924614.000000,-9250909950.000000,,-10351823000.000000,1100913050.000000,-9250909950.000000,32133014664.000000,,32133014664.000000,-3885331181.000000,28247683483.000000,32133014664.000000,25845671411.000000,6287343253.000000,,32133014664.000000,28247683483.000000,22190112935.000000,6057570548.000000,28247683483.000000
12M 2020,984347363283.000000,-745766889459.000000,,238580473824.000000,-199519075943.000000,-89502036723.000000,-95964998695.000000,-14052040525.000000,-199519075943.000000,39061397881.000000,-28158692470.000000,,1421260848.000000,-33007072160.000000,,,,,3427118842.000000,-28158692470.000000,10902705411.000000,-9302921992.000000,,-6663182900.000000,-2639739092.000000,-9302921992.000000,1599783419.000000,,1599783419.000000,3852438701.000000,5452222120.000000,1599783419.000000,1260751968.000000,339031451.000000,,1599783419.000000,5452222120.000000,5115309916.000000,336912204.000000,5452222120.000000
12M 2021,1110431789918.000000,-837066396674.000000,,273365393244.000000,-223632767004.000000,-102626920384.000000,-100723154064.000000,-20282692556.000000,-223632767004.000000,49732626240.000000,-32732145452.000000,,914922865.000000,-35819100907.000000,,,,,2172032590.000000,-32732145452.000000,17000480788.000000,-3860445204.000000,,-6552435120.000000,2691989916.000000,-3860445204.000000,13140035584.000000,,13140035584.000000,6596529429.000000,19736565013.000000,13140035584.000000,12850510336.000000,289525248.000000,,13140035584.000000,19736565013.000000,19432115915.000000,304449098.000000,19736565013.000000
12M 2022,1109283319347.000000,-822703315299.000000,,286580004048.000000,-236606007619.000000,-120755006275.000000,-102958319990.000000,-12892681354.000000,-236606007619.000000,49973996429.000000,-37743524770.000000,,560186241.000000,-38333450469.000000,,,,,29739458.000000,-37743524770.000000,12230471659.000000,-11532388436.000000,,-10927351820.000000,-605036616.000000,-11532388436.000000,698083223.000000,,698083223.000000,484096890.000000,1182180113.000000,698083223.000000,207729560.000000,490353663.000000,,698083223.000000,1182180113.000000,688796239.000000,493383874.000000,1182180113.000000
12M 2023,1267990712443.000000,-952862253069.000000,,315128459374.000000,-259807062485.000000,-129230791944.000000,-115511436006.000000,-15064834535.000000,-259807062485.000000,55321396889.000000,-26140398633.000000,,352387848.000000,-35241506847.000000,,,,,8748720366.000000,-26140398633.000000,29180998256.000000,-14747655430.000000,,-15249560700.000000,501905270.000000,-14747655430.000000,14433342826.000000,,14433342826.000000,-4087582243.000000,10345760583.000000,14433342826.000000,13637436328.000000,795906498.000000,,14433342826.000000,10345760583.000000,9620657980.000000,725102603.000000,10345760583.000000
12M 2024,1434109952734.000000,-1060233556331.000000,,373876396403.000000,-294905818984.000000,-157146375530.000000,-121063251254.000000,-16696192200.000000,-294905818984.000000,78970577419.000000,-44313977558.000000,,627083527.000000,-41660507748.000000,,,,,-3280553337.000000,-44313977558.000000,34656599861.000000,-15567129952.000000,,-15377524360.000000,-189605592.000000,-15567129952.000000,19089469909.000000,,19089469909.000000,14282035600.000000,33371505509.000000,19089469909.000000,18330954245.000000,758515664.000000,,19089469909.000000,33371505509.000000,32545969695.000000,825535814.000000,33371505509.000000
