Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,107.20,0.00,107.20,58 B,299 B,357 B,106 B,305 B
12M 2011,5.65,481.94,5.65,481.94,21 B,1 B,22 B,"(1,857 B)","2,022 B"
12M 2012,4.82,492.28,4.84,490.80,,0 B,0 B,(951 B),"1,290 B"
12M 2013,4.32,503.56,4.33,502.08,58 B,,58 B,(723 B),846 B
12M 2014,3.83,522.26,3.84,520.78,62 B,,62 B,(724 B),961 B
12M 2015,2.42,579.03,2.42,577.40,59 B,667 B,726 B,127 B,"1,734 B"
12M 2016,4.48,603.20,4.61,585.26,30 B,637 B,667 B,(109 B),"2,009 B"
12M 2017,4.10,669.95,4.22,651.93,342 B,539 B,880 B,"(1,491 B)","2,279 B"
12M 2018,3.29,774.48,3.57,714.43,669 B,"1,081 B","1,750 B",610 B,"1,149 B"
12M 2019,3.03,841.11,3.25,783.47,697 B,"1,195 B","1,892 B",23 B,"1,248 B"
12M 2020,3.07,830.93,3.30,772.19,"1,074 B","1,031 B","2,105 B",(755 B),"1,089 B"
12M 2021,10.40,764.66,11.27,705.28,861 B,771 B,"1,633 B","(1,131 B)",128 B
12M 2022,4.82,1462.11,5.05,1397.34,"1,047 B","1,027 B","2,074 B","(3,065 B)","3,915 B"
12M 2023,3.38,1715.85,3.51,1651.79,"3,901 B",7 B,"3,908 B","(1,009 B)","3,498 B"
12M 2024,5.93,1791.28,6.09,1743.97,"4,076 B",490 B,"4,566 B",(716 B),"2,981 B"
