Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,352400.74,0.00,352400.74,"2,355 B","3,383 B","5,738 B","4,015 B","(2,135 B)"
12M 2010,0.00,189.53,0.00,189.53,"1,143 B","3,360 B","4,503 B","3,326 B","(1,344 B)"
12M 2011,1.43,332.68,1.43,331.15,"1,229 B","2,933 B","4,162 B",379 B,917 B
12M 2012,1.39,475.40,1.40,472.32,"1,643 B","4,284 B","5,927 B","2,777 B","(1,138 B)"
12M 2013,1.10,453.63,1.11,450.86,"4,618 B","6,322 B","10,940 B","5,143 B","(2,010 B)"
12M 2014,1.28,434.73,1.29,431.82,"5,688 B","8,863 B","14,551 B","9,148 B","(5,087 B)"
12M 2015,0.62,497.81,0.62,495.34,"6,626 B","12,071 B","18,697 B","11,524 B","(2,593 B)"
12M 2016,0.66,515.65,0.66,513.06,"10,507 B","12,254 B","22,761 B","14,986 B","(5,353 B)"
12M 2017,0.64,468.29,0.64,466.50,"14,815 B","8,426 B","23,241 B","19,083 B","(12,669 B)"
12M 2018,0.62,482.98,0.62,482.15,"15,740 B","9,079 B","24,819 B","21,173 B","(15,844 B)"
12M 2019,1.33,373.21,1.34,372.81,"23,328 B",23 B,"23,351 B","19,190 B","(29,525 B)"
12M 2020,-0.38,-1045.99,-0.38,-1046.13,"40,251 B","66,882 B","107,133 B","104,298 B","(53,010 B)"
12M 2021,-0.07,-3349.26,-0.07,-3349.28,"45,150 B","64,086 B","109,236 B","108,459 B","(78,038 B)"
12M 2022,-0.80,-255.32,-0.80,-255.32,"3,225 B","58,687 B","61,913 B","53,779 B","(13,719 B)"
12M 2023,-0.33,-210.52,-0.33,-210.52,"4,079 B","56,056 B",,"55,660 B","(7,895 B)"
12M 2024,-0.24,-233.04,-0.24,-233.04,"4,973 B","56,127 B","61,100 B","57,559 B","(10,007 B)"
