Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Beban Karyawan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Klaim Reasuransi,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,17860373610109.000000,17860373610109.000000,17860373610109.000000,-16942084694513.000000,-8096690036626.000000,-1636436355985.000000,-1246874786509.000000,-1609914343125.000000,-260620060208.000000,-4091549112060.000000,-16942084694513.000000,918288915596.000000,-42189731998.000000,12873226475.000000,93090129609.000000,-262568572945.000000,,462549658770.000000,,-348134173907.000000,-42189731998.000000,876099183598.000000,23354881159.000000,899454064757.000000,-4340420312.000000,895113644445.000000,123502291000.000000,1018615935445.000000,895113644445.000000,899454064757.000000,-4340420312.000000,895113644445.000000,,,,
12M 2010,19534331480504.000000,19534331480504.000000,19534331480504.000000,-19601490832208.000000,-9978232688415.000000,-1753244759714.000000,-1370474991002.000000,-1647951805359.000000,-310065847259.000000,-4541520740459.000000,-19601490832208.000000,-67159351704.000000,143004620085.000000,16886008365.000000,58233652511.000000,-165247491059.000000,,133200734169.000000,,99931716099.000000,143004620085.000000,75845268381.000000,217261752889.000000,293107021270.000000,-2629322200.000000,290477699070.000000,225044156621.000000,515521855691.000000,290477699070.000000,293107021270.000000,-2629322200.000000,290477699070.000000,,,,
12M 2011,27164569877846.000000,27164569877846.000000,27164569877846.000000,-26152842428266.000000,-15848635480137.000000,-2329671267574.000000,-1739100703860.000000,,,-6235434976695.000000,-26152842428266.000000,1011727449580.000000,-9070340618.000000,14564921236.000000,198743287876.000000,-173489677444.000000,,48967691140.000000,,-97856563426.000000,-9070340618.000000,1002657108962.000000,-193991788747.000000,808665320215.000000,,808665320215.000000,50130034242.000000,858795354457.000000,808665320215.000000,805529821141.000000,3135499074.000000,808665320215.000000,858795354457.000000,855413207673.000000,3382146784.000000,858795354457.000000
12M 2012,3472468962.000000,3472468962.000000,3472468962.000000,-3304396858.000000,-1908975113.000000,-317443935.000000,-213737827.000000,,,-864239983.000000,-3304396858.000000,168072104.000000,-16541550.000000,1927546.000000,6755823.000000,-25224919.000000,,,,,-16541550.000000,151530554.000000,-40687981.000000,110842573.000000,,110842573.000000,34566735.000000,145409308.000000,110842573.000000,110598370.000000,244203.000000,110842573.000000,145409307.000000,144523946.000000,885361.000000,145409307.000000
12M 2013,3716076586.000000,3716076586.000000,3716076586.000000,-3709750230.000000,-2244840144.000000,-335842135.000000,-218772364.000000,,,-910295587.000000,-3709750230.000000,6326356.000000,2489247.000000,1860416.000000,10347000.000000,-59840088.000000,,47928641.000000,,2193278.000000,2489247.000000,8815603.000000,2384777.000000,11200380.000000,,11200380.000000,-10634860.000000,565520.000000,11200380.000000,11038843.000000,161537.000000,11200380.000000,565520.000000,966308.000000,-400788.000000,565520.000000
12M 2014,3933530272.000000,3933530272.000000,3933530272.000000,-4294599041.000000,-2562248361.000000,-354841560.000000,-246049326.000000,,,-1131459794.000000,-4294599041.000000,-361068769.000000,-99469220.000000,4193.000000,12091904.000000,-73321080.000000,,7065398.000000,,-45309635.000000,-99469220.000000,-460537989.000000,88563047.000000,-371974942.000000,,-371974942.000000,38002244.000000,-333972698.000000,-371974942.000000,-373041305.000000,1066363.000000,-371974942.000000,-333972698.000000,-329576750.000000,-4395948.000000,-333972698.000000
12M 2015,3814989745.000000,3814989745.000000,3814989745.000000,-3731785485.000000,-2190607282.000000,-309608281.000000,-224907111.000000,,,-1006662811.000000,-3731785485.000000,83204260.000000,23455887.000000,-98259.000000,6597482.000000,-68584517.000000,,15213543.000000,,70327638.000000,23455887.000000,106660147.000000,-28685986.000000,77974161.000000,,77974161.000000,-6718567.000000,71255594.000000,77974161.000000,76480236.000000,1493925.000000,77974161.000000,71255594.000000,70022788.000000,1232806.000000,71255594.000000
12M 2016,3863921565.000000,3863921565.000000,3863921565.000000,-3795927643.000000,-2187316263.000000,-310187732.000000,-226797925.000000,,,-1071625723.000000,-3795927643.000000,67993922.000000,-50203222.000000,-215172.000000,7180597.000000,-88278664.000000,,-19170712.000000,,50280729.000000,-50203222.000000,17790700.000000,-8425842.000000,9364858.000000,,9364858.000000,49809176.000000,59174034.000000,9364858.000000,8069365.000000,1295493.000000,9364858.000000,59174034.000000,59285192.000000,-111158.000000,59174034.000000
12M 2017,4177325781.000000,4177325781.000000,4177325781.000000,-4237773332.000000,-2478025975.000000,-323723174.000000,-265808770.000000,,,-1170215413.000000,-4237773332.000000,-60447551.000000,-97733086.000000,192617.000000,6196164.000000,-88388240.000000,,14777069.000000,,-30510696.000000,-97733086.000000,-158180637.000000,-55209041.000000,-213389678.000000,,-213389678.000000,58020948.000000,-155368730.000000,-213389678.000000,-216582416.000000,3192738.000000,-213389678.000000,-155368730.000000,-153621663.000000,-1747067.000000,-155368730.000000
12M 2018,4373177070.000000,4373177070.000000,4373177070.000000,-4579259674.000000,-2735868147.000000,-324376515.000000,-221343549.000000,,,-1297671463.000000,-4579259674.000000,-206082604.000000,225092212.000000,204241.000000,3695161.000000,-85691120.000000,,28073775.000000,,278810155.000000,225092212.000000,19009608.000000,-13991300.000000,5018308.000000,,5018308.000000,-31228291.000000,-26209983.000000,5018308.000000,809846.000000,4208462.000000,5018308.000000,-26209983.000000,-31396473.000000,5186490.000000,-26209983.000000
