Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Komisi,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Operasi Lain-Lain,Penerimaan Bunga,Pembayaran Bunga,Penerimaan Dari Restitusi Pajak,Pembayaran Pajak Penghasilan Badan,Penerimaan (Pembayaran) Kas Untuk Operasi Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,"Perolehan Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Perolehan Aset Tetap,Hasil Penjualan Aset Lain-Lain,Peneriman Dari Penjualan Aset Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Saham,Penerimanan Dari Penerbitan Saham Baru,Tambahan Modal Disetor - Net,Pembayaran Untuk Bunga Pinjaman Bank,Biaya Transaksi Penerbitan Saham,Penerimaan Dari (Pembayaran) Deviden,Pembayaran Utang Pembiayaan Konsumen,Penerimaan (Pembayaran) Pinjaman Bank,Pengurangan (Penambahan) Piutang Pihak Berelasi,Penambahan (Pengurangan) Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,-475633908694.000000,1855247060397.000000,18433619429.000000,-2148454094540.000000,-51716848822.000000,-98261699662.000000,456431102.000000,,,-3013770456.000000,-48324606142.000000,,-475633908694.000000,-12183970465.000000,-28049273732.000000,14156599219.000000,,1708704048.000000,,,-12183970465.000000,552490095136.000000,,98750000000.000000,,-31316782988.000000,,,,485056878124.000000,,,552490095136.000000,,64672215977.000000,40556344.000000,3949433893.000000,68662206214.000000
12M 2012,-42870092282.000000,2968608346224.000000,36160803933.000000,-2830388837411.000000,-67226426552.000000,-106556197271.000000,184260944.000000,,,-50665955986.000000,7013913837.000000,,-42870092282.000000,-19006276155.000000,-21949615982.000000,,,2943339827.000000,,,-19006276155.000000,67366133978.000000,,127778800000.000000,,-46281486615.000000,-4702259840.000000,,,-9428919567.000000,,,67366133978.000000,,5489765541.000000,104446398.000000,68662206214.000000,74256418153.000000
12M 2013,113211566474.000000,3814922888224.000000,37330009092.000000,-3493385596652.000000,-74323900051.000000,-125140849257.000000,266374487.000000,,,-47648839696.000000,1191480327.000000,,113211566474.000000,-18447464382.000000,-23380530219.000000,,,4933065837.000000,,,-18447464382.000000,-107754742136.000000,,,,-45127043321.000000,,-56666712000.000000,,-5960986815.000000,,,-107754742136.000000,,-12990640044.000000,135814278.000000,74256418153.000000,61401592387.000000
12M 2014,-6660856706.000000,3764494063933.000000,33231919767.000000,-3547505436703.000000,-77692672447.000000,-119498378022.000000,400530933.000000,,,-59251589629.000000,-839294538.000000,,-6660856706.000000,-8533576084.000000,-8996987727.000000,,,463411643.000000,,,-8533576084.000000,-26835098509.000000,,,,-51086372583.000000,,,,24251274074.000000,,,-26835098509.000000,,-42029531299.000000,32183471.000000,61401592387.000000,19404244559.000000
12M 2015,-14895345257.000000,2904613083749.000000,,-2687804631736.000000,-43016155138.000000,-116913449108.000000,160916694.000000,-56860644131.000000,,-15074465587.000000,,,-14895345257.000000,-4246949231.000000,,,-4246949231.000000,,,,-4246949231.000000,1073094425.000000,,,,,,,,1073094425.000000,,,1073094425.000000,,-18069200063.000000,,19404244558.000000,1335044495.000000
12M 2016,2013632132.000000,570522902922.000000,,-443281231448.000000,-12915942942.000000,-80465337752.000000,35527488.000000,-39795287051.000000,,7913000915.000000,,,2013632132.000000,-1515828930.000000,,,-1674478930.000000,,158650000.000000,,-1515828930.000000,,,,,,,,,,,,,,497803202.000000,,1335044495.000000,1832847697.000000
12M 2017,2814672049.000000,628731661524.000000,,-588749701665.000000,-10007091517.000000,13277457045.000000,55541129.000000,-25488441144.000000,,-15004753323.000000,,,2814672049.000000,-2059274135.000000,,,-2386284906.000000,,327010771.000000,,-2059274135.000000,,,,,,,,,,,,,,755397914.000000,,1832847697.000000,2588245611.000000
12M 2018,1055330103.000000,512056719401.000000,,-462262886456.000000,-4867827718.000000,-8573994381.000000,24916877.000000,-25160554504.000000,,-10161043116.000000,,,1055330103.000000,-509451251.000000,,,-780732186.000000,,271280935.000000,,-509451251.000000,-596751629.000000,,,,,,,,-750000000.000000,,153248371.000000,-596751629.000000,,-50872777.000000,2676311.000000,2588245611.000000,2540049145.000000
12M 2019,-4330874364.000000,241441536960.000000,,-250737953830.000000,-4407783032.000000,9379968891.000000,9523007.000000,,,-16166360.000000,,,-4330874364.000000,-104834968.000000,,,-116789968.000000,,11955000.000000,,-104834968.000000,2552773327.000000,,,,,,,,-700000000.000000,,3252773327.000000,2552773327.000000,,-1882936005.000000,3222580.000000,2540049145.000000,660335720.000000
12M 2020,8184382198.000000,31577856550.000000,,-29387035647.000000,-1925744868.000000,,68351598.000000,,6514431114.000000,,1336523451.000000,,8184382198.000000,-18198191.000000,,,-28233191.000000,,10035000.000000,,-18198191.000000,-1775000000.000000,,,,,,,,-1775000000.000000,,,-1775000000.000000,,6391184007.000000,-1108944.000000,660335720.000000,7050410783.000000
