Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(476 B),(28 B),(504 B),-453.31
12M 2012,(43 B),(22 B),(65 B),-58.34
12M 2013,113 B,(23 B),90 B,80.85
12M 2014,(7 B),(9 B),(16 B),-14.09
12M 2015,(15 B),(4 B),(19 B),-17.23
12M 2016,2 B,(2 B),0 B,0.31
12M 2017,3 B,(2 B),0 B,0.39
12M 2018,1 B,(1 B),0 B,0.25
12M 2019,(4 B),(0 B),(4 B),-4.00
12M 2020,8 B,(0 B),8 B,7.34
12M 2021,1 B,,1 B,1.35
12M 2022,1 B,,1 B,0.58
12M 2023,4 B,(0 B),4 B,3.35
12M 2024,12 B,(0 B),12 B,11.07
