Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,1.11 B,69.89,0.00,0.00,,8.69%,43.25%,143.74%,4.15
12M 2012,1.11 B,101.88,11.48,0.44,,10.99%,27.22%,66.01%,4.12
12M 2013,1.11 B,103.53,12.07,0.36,,7.73%,24.26%,44.72%,4.24
12M 2014,1.11 B,82.91,12.06,0.28,,4.98%,16.26%,33.69%,3.30
12M 2015,1.11 B,-1016.89,-0.48,0.21,,-911.60%,200.95%,-10891.78%,-18.58
12M 2016,1.11 B,-106.33,-4.29,0.90,,-158.37%,17.37%,21.67%,-2.02
12M 2017,1.11 B,-13.20,-34.55,0.82,,-24.12%,2.14%,-6.95%,0.50
12M 2018,1.11 B,-19.25,-16.83,0.70,6.32 B,-57.52%,3.03%,-2.00%,0.16
12M 2019,1.11 B,-35.75,-10.69,1.78,9.43 B,-479.87%,5.33%,-3.07%,0.17
12M 2020,1.11 B,-45.55,-2.39,3.95,2.26 B,-476.70%,6.36%,-0.48%,0.03
12M 2021,1.11 B,-52.86,-4.05,5.14,2.02 B,-437.55%,6.88%,-0.27%,0.02
12M 2022,1.11 B,-62.54,-1.79,1.91,0.06 B,-759.21%,7.53%,-0.01%,
12M 2023,1.11 B,-73.83,-1.48,1.07,0.20 B,-949.82%,8.16%,-0.03%,
12M 2024,1.11 B,-81.30,-0.80,0.39,1.69 B,-993.00%,8.24%,-0.17%,0.02
