Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.16,914.36,0.16,913.75,32 B,,32 B,30 B,(46 B)
12M 2009,0.14,1029.18,0.14,1028.83,25 B,,25 B,16 B,(34 B)
12M 2010,0.13,1262.73,0.13,1262.51,11 B,,11 B,(29 B),(13 B)
12M 2011,0.39,1708.14,0.39,1708.06,,,,(88 B),(24 B)
12M 2012,0.29,2304.12,0.29,2304.12,,,,(284 B),131 B
12M 2013,2.63,3160.46,2.63,3160.46,,148 B,148 B,104 B,11 B
12M 2014,1.41,4327.80,1.41,4327.80,,0 B,0 B,(22 B),555 B
12M 2015,1.37,5458.62,1.37,5458.62,35 B,0 B,35 B,17 B,33 B
12M 2016,1.10,6290.84,1.10,6290.84,70 B,0 B,70 B,57 B,72 B
12M 2017,1.47,6931.76,1.47,6931.76,70 B,0 B,70 B,58 B,81 B
12M 2018,1.99,7524.98,1.99,7524.98,70 B,0 B,70 B,53 B,129 B
12M 2019,2.35,6797.15,2.35,6797.15,70 B,0 B,70 B,53 B,178 B
12M 2020,3.12,5760.79,3.12,5760.79,70 B,0 B,70 B,52 B,131 B
12M 2021,3.05,5486.35,3.05,5486.01,25 B,0 B,25 B,(6 B),203 B
12M 2022,2.60,5578.57,2.60,5577.63,42 B,0 B,42 B,25 B,131 B
12M 2023,34.82,685.74,34.82,685.67,,0 B,0 B,(13 B),266 B
12M 2024,5.72,818.30,5.72,818.26,,0 B,0 B,(78 B),489 B
