Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha Dan Karyawan,Penerimaan Dari (Pembayaran Untuk) :,Penghasilan Bunga,Pembayaran Bunga,Pajak Final,Pajak Penghasilan,Jasa Giro,Total Penerimaan Dari (Pembayaran Untuk) :,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Hak Guna,Pembayaran Sewa Lahan,Perlohehan Aset Keuangan Yang Tersedia Untuk Dijual,Penghasilan Dividen,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Penjualan Saham,Hasil Penjualan Aset Tetap,Penyertaan Saham,Perolehan Entitas Anak,Penjualan Saham,Entitas Anak,Entitas Asosiasi,Total Penjualan Saham,Investasi Pada Entitas Anak,Penambahan Properti Investasi,Penjualan Merk,Penambahan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Hutang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa Aset Hak Guna,Penerimaan Dari Penerbitan Saham Baru,Pembayaran Biaya Terkait Penerbitan Saham Baru,Setoran Modal Saham Entitas Anak Oleh Pihak Nonpengendali,Penambahan Setoran Modal Saham Melalui Penawaran Umum Perdana,Penambahan Modal Disetor,Pembayaran Atas Beban Bunga,Pembayaran Pinjaman Kepada Pihak Berelasi,Penerimaan Hutang Jaminan,Penambahan Utang Pihak Berelasi,Pembayaran Biaya Pinjaman Jangka Panjang,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Biaya Emisi Saham,Tambahan Modal Disetor Dari Aset Pengampunan Pajak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Saat Akuisisi,Kas Dan Setara Kas Entitas Anak Saat Dekonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,10155887264.000000,75938878189.000000,-38781797667.000000,-25620093414.000000,,779329346.000000,,,-2160429190.000000,,-1381099844.000000,,10155887264.000000,-1524263275.000000,-2303817818.000000,,,,,,620000000.000000,159554543.000000,,,,,,,,,,,-1524263275.000000,-115432740.000000,-115432740.000000,,,,,,,,,,,,,,,,-115432740.000000,8516191249.000000,,,9354735748.000000,17870926997.000000
12M 2010,6257575614.000000,93915660125.000000,-59244992388.000000,-27556962845.000000,,1147060618.000000,,,-2003189896.000000,,-856129278.000000,,6257575614.000000,-10196005696.000000,-9687047363.000000,,,,,,,,,,,,,,,,,-508958333.000000,-10196005696.000000,29009124318.000000,-185777775.000000,,,,,29194902093.000000,,,,,,,,,,,29009124318.000000,25070694236.000000,,,17870926997.000000,42941621233.000000
12M 2011,14624216421.000000,104622683221.000000,-61983928764.000000,-27202145776.000000,,2133200509.000000,,,-2945592769.000000,,-812392260.000000,,14624216421.000000,-1077363302.000000,-1077363302.000000,,,,,,,,,,,,,,,,,,-1077363302.000000,-202666670.000000,-202666670.000000,,,,,,,,,,,,,,,,-202666670.000000,13344186449.000000,,,42941621233.000000,56285807682.000000
12M 2012,8293365989.000000,109573539113.000000,-69625301720.000000,-31854387242.000000,,2102290520.000000,-35872932.000000,,-1866901750.000000,,199515838.000000,,8293365989.000000,-1191859022.000000,-690859022.000000,,,-501000000.000000,,,,,,,,,,,,,,,-1191859022.000000,-202666667.000000,-202666667.000000,,,,,,,,,,,,,,,,-202666667.000000,6898840300.000000,,,56285807682.000000,63184647982.000000
12M 2013,11525734831.000000,110961574452.000000,-67607917978.000000,-31486741662.000000,,1893426333.000000,-6770738.000000,,-2227835576.000000,,-341179981.000000,,11525734831.000000,-13537086719.000000,-354626719.000000,,,-198625000.000000,16165000.000000,-13000000000.000000,,,,,,,,,,,,,-13537086719.000000,-16888890.000000,-16888890.000000,,,,,,,,,,,,,,,,-16888890.000000,-2028240778.000000,,,63184647982.000000,61156407204.000000
12M 2014,208832091.000000,129938014002.000000,-97891384434.000000,-32926930480.000000,,2949524311.000000,,,-1860391308.000000,,1089133003.000000,,208832091.000000,12862182864.000000,-155384636.000000,,,,17567500.000000,13000000000.000000,,,,,,,,,,,,,12862182864.000000,275000000.000000,,,,,275000000.000000,,,,,,,,,,,,275000000.000000,13346014955.000000,,,61156407204.000000,74502422159.000000
12M 2015,237260402.000000,147291120238.000000,-108623999706.000000,-41396332289.000000,,4413077776.000000,,-898833836.000000,-547771781.000000,,2966472159.000000,,237260402.000000,-190299433.000000,-265255342.000000,,,,15865000.000000,,,59090909.000000,,,,,,,,,,,-190299433.000000,,,,,,,,,,,,,,,,,,,46960969.000000,,,74502422159.000000,74549383128.000000
12M 2016,-10317056940.000000,35540053262.000000,-28479583761.000000,-18828839110.000000,,1789356209.000000,,,-338043540.000000,,1451312669.000000,,-10317056940.000000,-147472918591.000000,-7765475692.000000,,,537887500.000000,37000000.000000,,,15399821498.000000,,,,2700000000.000000,1500000000.000000,4200000000.000000,-140000000000.000000,-19882151897.000000,,,-147472918591.000000,70301000000.000000,,,,,2860000000.000000,,12441000000.000000,,,,55000000000.000000,,,,,,70301000000.000000,-87488975531.000000,32812671720.000000,-2623404370.000000,74549383128.000000,17249674947.000000
12M 2017,-5481048895.000000,25555502838.000000,-27880808155.000000,,,294468505.000000,,-3450212083.000000,,,-3155743578.000000,,-5481048895.000000,-37407168480.000000,-28131650.000000,,,,,,,3284008.000000,,,,,,,,-37382320838.000000,,,-37407168480.000000,31321111345.000000,,,,,,,,,,,,,32353433402.000000,-1058682057.000000,,26360000.000000,31321111345.000000,-11567106030.000000,,,17249674947.000000,5682568917.000000
12M 2018,17759969297.000000,36070450768.000000,-18208684881.000000,,,94661661.000000,,-196458251.000000,,,-101796590.000000,,17759969297.000000,-40534071399.000000,-40541935035.000000,,,,,,,7863636.000000,,,,,,,,,,,-40534071399.000000,19729561286.000000,,,,,,,,,,,10000000000.000000,,17648691000.000000,-7919129714.000000,,,19729561286.000000,-3044540816.000000,,,5682568917.000000,2638028101.000000
