Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,2.06,165.24,2.06,165.24,207 B,192 B,400 B,297 B,575 B
12M 2009,0.80,175.00,0.80,175.00,146 B,172 B,318 B,297 B,560 B
12M 2010,0.73,184.96,0.73,184.96,82 B,89 B,171 B,149 B,524 B
12M 2011,0.80,195.59,0.80,195.59,7 B,199 B,206 B,159 B,691 B
12M 2012,0.63,158.19,0.63,158.19,59 B,204 B,263 B,217 B,696 B
12M 2013,0.84,179.13,0.84,179.13,57 B,237 B,294 B,249 B,825 B
12M 2014,1.51,198.06,1.51,198.06,48 B,240 B,289 B,219 B,740 B
12M 2015,0.92,215.29,0.92,215.29,177 B,169 B,346 B,272 B,925 B
12M 2016,0.83,219.85,0.83,219.85,110 B,210 B,320 B,204 B,"1,066 B"
12M 2017,0.46,223.95,0.46,223.95,102 B,174 B,276 B,222 B,979 B
12M 2018,0.47,232.14,0.47,232.14,82 B,201 B,282 B,216 B,"1,110 B"
12M 2019,0.31,242.61,0.31,242.61,122 B,219 B,341 B,300 B,"1,184 B"
12M 2020,0.32,230.89,0.32,230.89,89 B,235 B,324 B,286 B,"1,045 B"
12M 2021,0.36,243.71,0.36,243.71,106 B,167 B,273 B,209 B,915 B
12M 2022,0.38,260.34,0.38,260.34,103 B,99 B,202 B,138 B,936 B
12M 2023,0.34,280.20,0.34,280.20,33 B,229 B,262 B,127 B,"1,107 B"
12M 2024,0.28,303.50,0.28,303.50,44 B,220 B,263 B,165 B,"1,167 B"
