Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Adjusment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,290790810001.000000,-174605064426.000000,116185745575.000000,-17837159151.000000,-17837159151.000000,,,-17837159151.000000,-17837159151.000000,98348586424.000000,-34468541843.000000,,15069181433.000000,-36081731514.000000,-13713940424.000000,,257948662.000000,-34468541843.000000,63880044581.000000,-10637118045.000000,-3158642200.000000,,,-3158642200.000000,-7478475845.000000,-10637118045.000000,53242926536.000000,1507127733.000000,54750054269.000000,,,,,54750054269.000000,53242926536.000000,1507127733.000000,,54750054269.000000,,,,,
12M 2009,407905583636.000000,-260959228929.000000,146946354707.000000,-25464051809.000000,-25464051809.000000,,,-25464051809.000000,-25464051809.000000,121482302898.000000,81582851082.000000,58597608772.000000,13110201592.000000,34851848351.000000,-23137855739.000000,,-1838951894.000000,81582851082.000000,203065153980.000000,-30766095651.000000,-37135995745.000000,,,-37135995745.000000,6369900094.000000,-30766095651.000000,172299058329.000000,4125531747.000000,176424590076.000000,27960903378.000000,27960903378.000000,27960903378.000000,,176424590076.000000,172299058329.000000,4125531747.000000,,176424590076.000000,,,,,
12M 2010,454523171818.000000,-262058750314.000000,192464421504.000000,-41493572081.000000,-41493572081.000000,,,-41493572081.000000,-41493572081.000000,150970849423.000000,39113511192.000000,97829982527.000000,16787423990.000000,538482059.000000,-71246594773.000000,,-4795782611.000000,39113511192.000000,190084360615.000000,-28452263958.000000,-37096408426.000000,,,-37096408426.000000,8644144468.000000,-28452263958.000000,161632096657.000000,-834893373.000000,160797203284.000000,,,,,160797203284.000000,161632096657.000000,-834893373.000000,,160797203284.000000,,,,,
12M 2011,492947020000.000000,-336973945569.000000,155973074431.000000,-51537579004.000000,,-9065557443.000000,-42472021561.000000,-51537579004.000000,-51537579004.000000,104435495427.000000,82301432801.000000,,,,-67032815309.000000,,149334248110.000000,82301432801.000000,186736928228.000000,-18738186922.000000,-27062512085.000000,,,-27062512085.000000,8324325163.000000,-18738186922.000000,,,167998741306.000000,,,,167998741306.000000,167998741306.000000,167140625654.000000,858115652.000000,,167998741306.000000,167998741306.000000,167140625654.000000,858115652.000000,,167998741306.000000
12M 2012,405328300045.000000,-248032623567.000000,157295676478.000000,-53895906531.000000,,-11413586984.000000,-42482319547.000000,-53895906531.000000,-53895906531.000000,103399769947.000000,11809514307.000000,,,,-79442606567.000000,,91252120874.000000,11809514307.000000,115209284254.000000,-16788165829.000000,-29156177965.000000,,,-29156177965.000000,12368012136.000000,-16788165829.000000,,,98421118425.000000,,,,98421118425.000000,98421118425.000000,97032550385.000000,1388568040.000000,,98421118425.000000,98421118425.000000,97032550385.000000,1388568040.000000,,98421118425.000000
12M 2013,427623000000.000000,-340139000000.000000,87484000000.000000,-78198000000.000000,,-14293000000.000000,-63905000000.000000,-78198000000.000000,-78198000000.000000,9286000000.000000,-97826000000.000000,,,,-125666000000.000000,,27840000000.000000,-97826000000.000000,-88540000000.000000,-7305000000.000000,-18320000000.000000,,,-18320000000.000000,11015000000.000000,-7305000000.000000,,,-95845000000.000000,,,,-95845000000.000000,-95845000000.000000,-92050000000.000000,-3795000000.000000,,-95845000000.000000,-95845000000.000000,-92050000000.000000,-3795000000.000000,,-95845000000.000000
12M 2014,462840000000.000000,-324962000000.000000,137878000000.000000,-76176000000.000000,,-18100000000.000000,-58076000000.000000,-76176000000.000000,-76176000000.000000,61702000000.000000,-13764000000.000000,,,,-153169000000.000000,,139405000000.000000,-13764000000.000000,47938000000.000000,3069000000.000000,,-24350000000.000000,-83000000.000000,-24433000000.000000,27502000000.000000,3069000000.000000,,,51007000000.000000,,,,51007000000.000000,51007000000.000000,52720000000.000000,-1713000000.000000,,51007000000.000000,51007000000.000000,52720000000.000000,-1713000000.000000,,51007000000.000000
12M 2015,491605000000.000000,-381189000000.000000,110416000000.000000,-97988000000.000000,,-25790000000.000000,-72198000000.000000,-97988000000.000000,-97988000000.000000,12428000000.000000,-67544000000.000000,,,,-172045000000.000000,,104501000000.000000,-67544000000.000000,-55116000000.000000,23300000000.000000,,-7562000000.000000,,-7562000000.000000,30862000000.000000,23300000000.000000,,,-31816000000.000000,1152324000000.000000,1152324000000.000000,1152324000000.000000,1120508000000.000000,-31816000000.000000,-30710000000.000000,-1106000000.000000,,-31816000000.000000,1120508000000.000000,35405000000.000000,1085103000000.000000,,1120508000000.000000
12M 2016,544884000000.000000,-687781000000.000000,-142897000000.000000,-81270000000.000000,,-19802000000.000000,-61468000000.000000,-81270000000.000000,-81270000000.000000,-224167000000.000000,-1369378000000.000000,,,,-192986000000.000000,,-1176392000000.000000,-1369378000000.000000,-1593545000000.000000,45941000000.000000,,-4120000000.000000,,-4120000000.000000,50061000000.000000,45941000000.000000,,,-1547604000000.000000,-1033000000.000000,-1033000000.000000,-1033000000.000000,-1548637000000.000000,-1547604000000.000000,-1535959000000.000000,-11645000000.000000,,-1547604000000.000000,-1548637000000.000000,-1536933000000.000000,-11704000000.000000,,-1548637000000.000000
12M 2017,646945000000.000000,-603345000000.000000,43600000000.000000,-79075000000.000000,,-21152000000.000000,-57923000000.000000,-79075000000.000000,-79075000000.000000,-35475000000.000000,-174216000000.000000,,,,-154486000000.000000,,-19730000000.000000,-174216000000.000000,-209691000000.000000,41173000000.000000,,-5225000000.000000,,-5225000000.000000,46398000000.000000,41173000000.000000,,,-168518000000.000000,471885000000.000000,471885000000.000000,471885000000.000000,303367000000.000000,-168518000000.000000,-166384000000.000000,-2134000000.000000,,-168518000000.000000,303367000000.000000,299525000000.000000,3842000000.000000,,303367000000.000000
