Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Deposito Pada Lembaga Kliring Dan Penjaminan,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Portofolio Efek,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,50158718357.000000,660987378.000000,3051763312.000000,,,,,4202509700.000000,92040351845.000000,26470364054.000000,,,26470364054.000000,91740.000000,85939788261.000000,262524574647.000000,,,1076187238.000000,28291120972.000000,998732000.000000,30366040210.000000,292890614857.000000,,,122071788957.000000,30807266003.000000,4339474000.000000,7753351414.000000,683003652.000000,,683003652.000000,569475188.000000,,,,77919218700.000000,122071788957.000000,5942428157.000000,,,,,,5942428157.000000,5942428157.000000,128014217114.000000,,212000000000.000000,4034611114.000000,-50881524487.000000,,,-50881524487.000000,,509937584.000000,-786626468.000000,164876397743.000000,292890614857.000000,2120000000.000000
12M 2016,,,688049616.000000,,,,,,,,,25000081508.000000,,,25000081508.000000,,65018696053.000000,90706827177.000000,,,,4000000000.000000,564288050.000000,4564288050.000000,95271115227.000000,,,240098541.000000,,,,240098541.000000,,240098541.000000,,,,,,240098541.000000,539863600.000000,,,,,,539863600.000000,539863600.000000,779962141.000000,,212000000000.000000,4172656525.000000,-120745157967.000000,,,-120745157967.000000,-138045411.000000,,-798300061.000000,94491153086.000000,95271115227.000000,2120000000.000000
12M 2017,,,577490749.000000,,,295254800.000000,,,295254800.000000,,,550987972.000000,,,550987972.000000,,59279039203.000000,60702772724.000000,,,6144179019.000000,151695468.000000,7327811561.000000,13623686048.000000,74326458772.000000,,,1909306944.000000,,,,16209867.000000,,16209867.000000,1500448662.000000,,392648415.000000,392648415.000000,,1909306944.000000,1585761217.000000,,,,480960225.000000,480960225.000000,1104800992.000000,1585761217.000000,3495068161.000000,,212000000000.000000,4172656525.000000,-150953618590.000000,,,-150953618590.000000,,5612352676.000000,,70831390611.000000,74326458772.000000,2120000000.000000
12M 2018,,,1032382837.000000,,,305323800.000000,,,305323800.000000,,,,,,,,63107227962.000000,64444934599.000000,,1249748968.000000,4449473960.000000,142256751.000000,7332184486.000000,13173664165.000000,77618598764.000000,,,771995843.000000,,,,1495843.000000,,1495843.000000,770500000.000000,,,,,771995843.000000,1202130665.000000,,,,,,1202130665.000000,1202130665.000000,1974126508.000000,,212000000000.000000,4172656525.000000,-147085287276.000000,,,-147085287276.000000,,5557803007.000000,999300000.000000,75644472256.000000,77618598764.000000,424000000.000000
12M 2019,,,1162417943.000000,,,315632400.000000,,,315632400.000000,,,,,,,,3021834367.000000,4499884710.000000,,859731368.000000,5029153077.000000,132609596.000000,7336601344.000000,13358095385.000000,17857980095.000000,,,777595712.000000,,,,7595712.000000,,7595712.000000,770000000.000000,,,,,777595712.000000,1443291742.000000,,,,,,1443291742.000000,1443291742.000000,2220887454.000000,,212000000000.000000,4172656525.000000,-202357673686.000000,,,-202357673686.000000,,5569484802.000000,-3747375000.000000,15637092641.000000,17857980095.000000,2120000000.000000
12M 2020,,,1191852646.000000,,,,,,,,,,,,,,2664520139.000000,3856372785.000000,,,4402147932.000000,,7340513314.000000,11742661246.000000,15599034031.000000,,,757247500.000000,,,,50000.000000,,50000.000000,757197500.000000,,,,,757247500.000000,1060399349.000000,,,,,,1060399349.000000,1060399349.000000,1817646849.000000,,212000000000.000000,4172656525.000000,-203791877605.000000,,,-203791877605.000000,,5147983262.000000,-3747375000.000000,13781387182.000000,15599034031.000000,2120000000.000000
12M 2021,,,1249059705.000000,,,344456640.000000,344456640.000000,,344456640.000000,,,,,,,,2611335882.000000,4204852227.000000,,,3762631120.000000,148166682.000000,7342748700.000000,11253546502.000000,15458398729.000000,,,788404980.000000,,,,50604980.000000,,50604980.000000,737800000.000000,,,,,788404980.000000,1173484918.000000,,,,,,1173484918.000000,1173484918.000000,1961889898.000000,,212000000000.000000,4172656525.000000,-203923402753.000000,,,-203923402753.000000,,4994630059.000000,-3747375000.000000,13496508831.000000,15458398729.000000,2120000000.000000
12M 2022,,,1268295316.000000,,,325791600.000000,325791600.000000,,325791600.000000,,,,,,,,2671901408.000000,4265988324.000000,,,3256936992.000000,121738456.000000,7344997535.000000,10723672983.000000,14989661307.000000,,,707661668.000000,,,,33778668.000000,,33778668.000000,673883000.000000,,,,,707661668.000000,1053356619.000000,,,,,,1053356619.000000,1053356619.000000,1761018287.000000,,212000000000.000000,4172656525.000000,-204081430698.000000,,,-204081430698.000000,,4884792193.000000,-3747375000.000000,13228643020.000000,14989661307.000000,2120000000.000000
12M 2023,,,972701674.000000,,,328879200.000000,328879200.000000,,328879200.000000,,,,,,,,2805468761.000000,4107049635.000000,,,2753125228.000000,157668853.000000,7347259900.000000,10258053981.000000,14365103616.000000,,,622520646.000000,,,,17252646.000000,,17252646.000000,605268000.000000,,,,,622520646.000000,1216676605.000000,,,,,,1216676605.000000,1216676605.000000,1839197251.000000,,212000000000.000000,4172656525.000000,-204540699928.000000,,,-204540699928.000000,,4641324768.000000,-3747375000.000000,12525906365.000000,14365103616.000000,2120000000.000000
12M 2024,,,922588391.000000,,,341229600.000000,341229600.000000,,341229600.000000,,,,,,,,2772499870.000000,4036317861.000000,,,2120681952.000000,177024551.000000,7349535881.000000,9647242384.000000,13683560245.000000,,,488536045.000000,,,,9072545.000000,,9072545.000000,479463500.000000,,,,,488536045.000000,1304657049.000000,,,,,,1304657049.000000,1304657049.000000,1793193094.000000,,212000000000.000000,4172656525.000000,-204979968348.000000,,,-204979968348.000000,,4445053974.000000,-3747375000.000000,11890367151.000000,13683560245.000000,2120000000.000000
