Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2015,,,,,,,,,,,,,-0.01,-0.01,2.15
12M 2016,,,,,,,,,-86.01,,-0.24,-0.42,-0.51,-0.51,377.79
12M 2017,-2.23,,,,-164.01,-70.58,,,-7.88,-3.63,-0.29,-0.27,-0.41,-0.35,31.79
12M 2018,16.59,,,,22.01,22.53,,,1.25,0.67,0.09,0.05,0.1,0.05,83.48
12M 2019,-2.16,,,,-168.77,22.86,,,-11.06,0.71,-1.1,0.08,-14.08,0.97,5.79
12M 2020,67.49,,,,5.41,,,,0.18,0.83,0.05,0.23,0.28,1.2,5.09
12M 2021,23.59,,,,15.47,10.94,,,0.65,0.99,0.17,0.25,0.78,1.12,5.33
12M 2022,43.18,,,,8.45,24.06,,,0.81,1.18,0.19,0.26,0.8,1.1,6.03
12M 2023,44.95,,,,8.12,7.99,,,0.88,1.42,0.18,0.28,0.76,1.15,6.6
12M 2024,44.24,,,,8.25,11.66,,,1.13,1.8,0.2,0.29,0.78,1.12,8.26
