Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,123.31,0.00,123.31,,,,,
12M 2011,1.79,156.05,1.79,156.05,,,,,
12M 2012,1.72,165.80,1.72,165.80,,,,,
12M 2013,1.40,176.95,1.40,176.95,,,,,
12M 2014,1.10,201.59,1.10,201.59,,,,,
12M 2015,0.84,213.17,0.84,213.17,,,,,
12M 2016,1.12,220.34,1.12,220.34,,,,,
12M 2017,0.96,225.25,0.96,225.25,,,,,
12M 2018,2.78,99.67,2.78,99.67,,,,,
12M 2019,1.33,97.47,1.33,97.47,,,,,
12M 2020,1.52,83.07,1.52,83.07,,,,,
12M 2021,2.14,96.18,2.14,96.18,,,,,
12M 2022,1.53,102.85,1.53,102.85,,,,,
12M 2023,1.06,94.12,1.06,94.12,,,,,
12M 2024,1.36,87.54,1.36,87.54,,,,,
