Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2014,2.28,171.19,2.28,171.19,57 B,"3,076 B","3,133 B","3,098 B",(14 B)
12M 2015,2.91,304.23,2.91,304.23,224 B,"2,364 B","2,587 B","2,575 B",(234 B)
12M 2016,2.48,233.72,2.48,233.72,350 B,"2,368 B","2,718 B","2,594 B",(191 B)
12M 2017,8.56,57.94,8.56,57.94,546 B,"2,157 B","2,703 B","2,696 B",(836 B)
12M 2018,3.07,41.01,3.07,41.01,107 B,,107 B,100 B,(198 B)
12M 2019,5.22,22.98,5.22,22.98,103 B,,103 B,103 B,(225 B)
12M 2020,12.59,9.53,12.59,9.53,104 B,,104 B,104 B,(225 B)
12M 2021,-66.30,-1.81,-66.30,-1.81,106 B,,106 B,105 B,(242 B)
12M 2022,-6.80,-17.64,-6.80,-17.64,116 B,,116 B,116 B,(221 B)
12M 2023,-5.52,-21.72,-5.52,-21.72,114 B,,114 B,113 B,(220 B)
12M 2024,-4.10,-29.27,-4.10,-29.27,120 B,,120 B,119 B,(229 B)
