Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.70,990.96,0.70,990.96,616 B,76 B,692 B,605 B,544 B
12M 2009,2.84,1110.10,2.84,1110.10,47 B,23 B,70 B,(203 B),611 B
12M 2010,5.07,1410.37,5.07,1410.37,23 B,,23 B,(201 B),840 B
12M 2011,4.44,2015.83,4.44,2015.83,317 B,1 B,318 B,166 B,"1,310 B"
12M 2012,3.25,2509.72,3.25,2508.04,"1,112 B",,"1,112 B","1,004 B","1,668 B"
12M 2013,1.02,3159.67,1.02,3155.32,439 B,,439 B,339 B,"2,051 B"
12M 2014,1.03,3393.59,1.03,3387.23,511 B,1 B,512 B,389 B,"2,293 B"
12M 2015,0.33,3756.11,0.33,3748.20,4 B,7 B,11 B,(730 B),"2,587 B"
12M 2016,1.34,2276.24,1.34,2270.77,19 B,25 B,43 B,(199 B),"1,385 B"
12M 2017,1.23,2424.18,1.24,2420.88,24 B,17 B,41 B,(743 B),"1,560 B"
12M 2018,0.98,2918.42,0.98,2916.46,579 B,13 B,593 B,(68 B),"1,996 B"
12M 2019,1.18,2951.10,1.18,2949.20,14 B,11 B,25 B,(180 B),"2,040 B"
12M 2020,1.12,2927.11,1.12,2925.88,12 B,4 B,16 B,(491 B),"2,031 B"
12M 2021,1.69,2714.58,1.70,2712.85,59 B,9 B,68 B,(166 B),"1,827 B"
12M 2022,1.71,3076.84,1.72,3074.56,"1,616 B",14 B,"1,630 B","1,214 B","1,864 B"
12M 2023,1.63,3293.37,1.63,3291.49,"1,604 B",19 B,"1,623 B","1,355 B","1,972 B"
