Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.52,0.58,0.83,2.36,0.0,0.0,0.0,0.35,1.36
12M 2009,1.57,0.72,0.08,2.19,0.0,0.0,-0.22,0.03,1.19
12M 2010,1.8,0.9,0.02,1.92,0.0,0.0,-0.17,0.01,0.92
12M 2011,1.65,0.6,0.19,2.21,0.0,0.0,0.1,0.08,1.21
12M 2012,1.82,0.65,0.53,2.0,0.0,0.0,0.48,0.26,1.0
12M 2013,1.93,0.73,0.17,1.85,0.0,0.0,0.13,0.09,0.85
12M 2014,2.29,0.89,0.18,1.65,0.0,0.0,0.14,0.11,0.65
12M 2015,5.34,2.68,0.0,1.23,0.0,0.0,-0.23,0.0,0.23
12M 2016,2.18,1.07,0.02,1.68,0.0,0.0,-0.1,0.01,0.68
12M 2017,1.93,1.07,0.02,1.89,0.0,0.0,-0.36,0.01,0.89
12M 2018,1.83,0.85,0.24,2.05,0.0,0.0,-0.03,0.12,1.05
12M 2019,2.89,1.14,0.01,1.49,0.0,0.0,-0.07,0.01,0.49
12M 2020,3.04,1.51,0.01,1.47,0.0,0.0,-0.2,0.0,0.47
12M 2021,1.96,0.96,0.03,1.91,0.0,0.0,-0.07,0.02,0.91
12M 2022,1.42,0.65,0.63,2.8,0.0,0.0,0.47,0.23,1.8
12M 2023,1.59,0.65,0.59,2.28,0.0,0.0,0.49,0.26,1.28
