Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.60,344.58,1.60,344.58,351 B,601 B,953 B,722 B,(128 B)
12M 2009,2.16,278.09,2.16,278.09,125 B,447 B,572 B,522 B,(120 B)
12M 2010,3.17,126.37,3.17,126.37,17 B,407 B,424 B,26 B,(77 B)
12M 2011,3.62,81.48,3.62,81.48,37 B,430 B,467 B,240 B,(301 B)
12M 2012,3.69,77.18,3.69,77.18,53 B,"2,229 B","2,283 B","2,192 B",(98 B)
12M 2013,7.12,47.07,7.12,47.07,108 B,"1,274 B","1,382 B","1,189 B",(40 B)
12M 2014,25.87,28.41,25.87,28.41,94 B,"1,170 B","1,264 B","1,085 B",94 B
12M 2015,21.51,34.87,21.51,34.87,160 B,"1,138 B","1,298 B",996 B,(34 B)
12M 2016,19.57,39.34,19.57,39.34,194 B,"1,307 B","1,501 B","1,189 B",50 B
12M 2017,14.36,50.83,14.36,50.83,260 B,"1,369 B","1,629 B","1,385 B",(9 B)
12M 2018,8.97,78.01,8.97,78.01,344 B,"1,376 B","1,720 B","1,380 B",(98 B)
12M 2019,7.81,92.79,7.81,92.79,376 B,"1,278 B","1,654 B","1,382 B",(175 B)
12M 2020,4.72,102.93,4.72,102.93,488 B,"1,198 B","1,686 B","1,377 B",(400 B)
12M 2021,4.60,83.50,4.60,83.50,303 B,"1,511 B","1,814 B","1,541 B",(123 B)
12M 2022,2.93,124.78,2.93,124.78,212 B,"1,365 B","1,577 B","1,165 B",63 B
12M 2023,2.68,140.31,2.68,140.31,227 B,"1,758 B","1,985 B","1,327 B",602 B
