Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Bunga,Pembayaran Pajak Penghasilan Badan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi,Uang Muka Investasi,Perolehan Aset Tetap,Utang Pihak Berelasi,Uang Muka Pengedokan,Uang Muka Pembelian Kapal,Uang Muka Pembelian Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Aktiva Tidak Lancar Lainnya,Kenaikan Aktiva Lancar Lainnya,Pembelian Saham Entitas Anak,Penurunan Utang Lancar Lainnya,Kepentingan Non Pengendali,Penurunan Atas Provisi Hukum,Penerimaan Pendapatan Bunga,Kenaikan Yang Dibatasi Penggunaannya,Akuisisi Entitas Anak Dari Kepentingan Non Pengendali,Penerimaan Dari Penjualan Investasi Anak,Penurunan Dana Yang Dikuasai Oleh Pihak Berelasi,Pengembalian Uang Muka Untuk Pembelian Aset Tetap,Penurunan Dana Pihak Ketiga/Pengembalian Deposit Jaminan,Beda Nilai Tukar,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pelunasan Obligasi,Pembayaran Dividen,Pembayaran Hutang Investasi,Pembayaran Hutang Pembelian Kapal,Pembayaran Biaya Pinjaman,Pembayaran Pinjaman Pihak Ketiga,Penerimaan Pinjaman Pihak Ketiga,Penurunan Neto Akun Pihak Berelasi,Pembayaran Dari Pinjaman Pihak Berelasi,Penerimaan Dari Pinjaman Pihak Berelasi,Penambahan Hutang Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Dari Kepentingan Non Pengendali,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Untuk Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Pendek,Saham Treasury,Pembayaran Dividen Oleh Entitas Anak,Penerimaan Dari Penawaran Saham Perdana Anak Perusahaan,Penurunan (Kenaikan) Dana Yang Dibatasi Penggunaannya,Penambahan (Pengurangan) Akun Pihak Yang Mempunyai Hubungan Istimewa,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Milik Entitas Anak Yang Sebelumnya Dikonsolidasikan,Entitas Anak Yang Dikonsolidasi,Entitas Anak Yang Dilikuidasi,Kas Dan Setara Kas Akhir Periode
12M 2008,360295021000.000000,1014942476000.000000,-552767354000.000000,-87242601000.000000,-14637500000.000000,,360295021000.000000,-98988610000.000000,,,-132791886000.000000,,,,,25444674000.000000,-42139616000.000000,,,,,,10610002000.000000,6200992000.000000,,,33687224000.000000,,,,,-98988610000.000000,-276607641000.000000,-17160000000.000000,-1170226000.000000,-111122661000.000000,-61948941000.000000,,,,,,,,-41970853000.000000,,,,,,,,,,,-43234960000.000000,-276607641000.000000,,-15301230000.000000,246051569000.000000,,,,230750339000.000000
12M 2009,62205502000.000000,920778363000.000000,-786207562000.000000,-59154525000.000000,-13210774000.000000,,62205502000.000000,68246041000.000000,,,-35374665000.000000,,,,,,-18461407000.000000,,,,,,11112576000.000000,90664655000.000000,,,20304882000.000000,,,,,68246041000.000000,-311012891000.000000,-154440000000.000000,,-117495942000.000000,-87047710000.000000,,,,,,,,-17638373000.000000,,,,,10000000000.000000,,,,,,55609134000.000000,-311012891000.000000,,-180561348000.000000,230750339000.000000,,,,50188991000.000000
12M 2010,-74287870000.000000,506460909000.000000,-554573261000.000000,-13833996000.000000,-12341522000.000000,,-74287870000.000000,6595473000.000000,,,-88259667000.000000,,,,,1594728000.000000,,,,,,,1351742000.000000,-4316197000.000000,,,75421792000.000000,20803075000.000000,,,,6595473000.000000,415505261000.000000,,,,,,,,,,,,-2053678000.000000,,,-4630557000.000000,429754000000.000000,-10000000000.000000,,,,,,2435496000.000000,415505261000.000000,,347812864000.000000,50188991000.000000,,,,398001855000.000000
12M 2011,-53728636000.000000,506385768000.000000,-505519556000.000000,-46813119000.000000,-7781729000.000000,,-53728636000.000000,-158655058000.000000,,,-189932317000.000000,,,,,33155278000.000000,,,,,,,4539672000.000000,-6417691000.000000,,,,,,,,-158655058000.000000,41445891000.000000,,,,,,,,,,,,-269855000.000000,,,-17081929000.000000,56200000000.000000,,,,,,,2597675000.000000,41445891000.000000,,-170937803000.000000,398001855000.000000,,,,227064052000.000000
12M 2012,-9073866000.000000,440886409000.000000,-387673165000.000000,-54654917000.000000,-7632193000.000000,,-9073866000.000000,-128624628000.000000,,,-186468020000.000000,,,,,55303655000.000000,,,,,,,2701615000.000000,-161878000.000000,,,,,,,,-128624628000.000000,851436000.000000,,,,,,,,,,5000000000.000000,,-482400000.000000,,,-36149595000.000000,33652500000.000000,,,,,,,-1169069000.000000,851436000.000000,299916000.000000,-136547142000.000000,227064052000.000000,-157257000.000000,,,90359653000.000000
12M 2013,13176922.000000,73783338.000000,-54508768.000000,-4901067.000000,-1196581.000000,,13176922.000000,-15902824.000000,,,-22295600.000000,,,,,6765706.000000,,,,,,,370219.000000,-743149.000000,,,,,,,,-15902824.000000,9428236.000000,,-200000.000000,,,,,,-1397081.000000,-475964.000000,,,-77773.000000,-28978.000000,,-7055176.000000,18663208.000000,,,,,,,,9428236.000000,-237188.000000,6465146.000000,9344328.000000,,,,15809474.000000
12M 2014,11288091.000000,69719435.000000,-52337816.000000,-5002566.000000,-1090962.000000,,11288091.000000,-7443083.000000,,-1668831.000000,-6265963.000000,,,,-6290.000000,405262.000000,,,,,,,92739.000000,,,,,,,,,-7443083.000000,-4451954.000000,,-212500.000000,,,,,,695332.000000,,,,-55745.000000,-38898.000000,,-8183434.000000,1972000.000000,,,,,,1371291.000000,,-4451954.000000,-24793.000000,-631739.000000,15809474.000000,-834059.000000,,,14343676.000000
12M 2015,19116897.000000,56802785.000000,-33230627.000000,-3617371.000000,-837890.000000,,19116897.000000,-2993862.000000,6143797.000000,-6577973.000000,-2637530.000000,,,,,,,,,,,,77844.000000,,,,,,,,,-2993862.000000,-8504976.000000,,-160000.000000,,,,,,-118773.000000,,,,-39711.000000,-13169.000000,,-7520988.000000,,,,,,,-652335.000000,,-8504976.000000,-71715.000000,7546344.000000,14343676.000000,,,,21890020.000000
12M 2016,-5246000.000000,64829883.000000,-64616847.000000,-4121298.000000,-1337738.000000,,-5246000.000000,-18983330.000000,,,-19066419.000000,,,,,,,,-600.000000,,,,83689.000000,,,,,,,,,-18983330.000000,25288223.000000,,-6295500.000000,,,-781510.000000,-323737.000000,,4673292.000000,,,,-31160.000000,-14698.000000,11760000.000000,-27993096.000000,45336285.000000,,,,,,-1041653.000000,,25288223.000000,192310.000000,1251203.000000,21890020.000000,,346090.000000,-316894.000000,23170419.000000
12M 2017,23376520.000000,70363085.000000,-40379825.000000,-5129424.000000,-1477316.000000,,23376520.000000,-31987163.000000,,,-22247524.000000,,,-9864564.000000,,,,,,,,,124925.000000,,,,,,,,,-31987163.000000,3503027.000000,,-3923111.000000,,,-782916.000000,-555994.000000,,-109678.000000,,,,-60871.000000,-22152.000000,29525.000000,-15778621.000000,24758779.000000,,,,,,-51934.000000,,3503027.000000,-27015.000000,-5134631.000000,23170419.000000,,,-2630.000000,18033158.000000
12M 2018,44545694.000000,82407109.000000,-30320634.000000,-5904863.000000,-1635918.000000,,44545694.000000,-33571634.000000,,,-33067044.000000,,,-660000.000000,,,,,,,,,155410.000000,,,,,,,,,-33571634.000000,-5018724.000000,,-1461649.000000,,,-580320.000000,-460034.000000,,,,,,-95149.000000,-13778.000000,,-20981262.000000,18564493.000000,,898958.000000,,,,-889983.000000,,-5018724.000000,-528437.000000,5426899.000000,18033158.000000,,29191.000000,-400.000000,23488848.000000
12M 2019,26934763.000000,88870676.000000,-54981559.000000,-4780999.000000,-2173355.000000,,26934763.000000,-9711726.000000,,,-12752338.000000,,-196151.000000,,,2944015.000000,,,,,,,292748.000000,,,,,,,,,-9711726.000000,-1564539.000000,,-1444561.000000,,,-304807.000000,-235235.000000,19442397.000000,,,,,-59210.000000,-32038.000000,,-22708645.000000,1106463.000000,,2491066.000000,,,,180031.000000,,-1564539.000000,-524697.000000,-3956494.000000,23488848.000000,,,,19532354.000000
12M 2020,36753611.000000,86401316.000000,-43590726.000000,-3946383.000000,-2110596.000000,,36753611.000000,-13750385.000000,,,-14335376.000000,,-1024546.000000,,-41518.000000,1282051.000000,,,,,,,369004.000000,,,,,,,,,-13750385.000000,-20988654.000000,,,,,-109232.000000,,462747.000000,,,,,-2173813.000000,-16951.000000,,-20736448.000000,1320642.000000,,-1475112.000000,,,,1739513.000000,,-20988654.000000,381377.000000,2395949.000000,19532354.000000,,,,21928303.000000
12M 2021,10327673.000000,81362944.000000,-69381363.000000,,-1653908.000000,,10327673.000000,-8716487.000000,,,-11462739.000000,,,,,2499233.000000,,,,,,,247019.000000,,,,,,,,,-8716487.000000,-4578634.000000,,,,,-5079940.000000,,-462745.000000,,,,,-10690310.000000,,,-11357830.000000,8737704.000000,,-22009.000000,,,15662244.000000,-1365748.000000,,-4578634.000000,151665.000000,-2815783.000000,21928303.000000,,,,19112520.000000
12M 2022,39832489.000000,114979718.000000,-73150568.000000,,-1996661.000000,,39832489.000000,-4443396.000000,1915025.000000,,-6321206.000000,,-255548.000000,,,82563.000000,,,,,,,135770.000000,,,,,,,,,-4443396.000000,-26790807.000000,,-2825160.000000,,,-3423547.000000,,,,,,,-16243065.000000,,,-11926995.000000,4916125.000000,,3539403.000000,570399.000000,,,-1397967.000000,,-26790807.000000,505773.000000,9104059.000000,19112521.000000,-1781929.000000,,,26434651.000000
12M 2023,17376917.000000,101401448.000000,-82126633.000000,,-1897898.000000,,17376917.000000,-15326418.000000,,,-8997904.000000,,-798672.000000,-9760293.000000,-1628944.000000,3300000.000000,,,,,,,766962.000000,,-1207567.000000,3000000.000000,,,,,,-15326418.000000,13259053.000000,,-1365120.000000,,,-2513893.000000,,,,,,,-8674366.000000,,,-12654205.000000,20538416.000000,-3763351.000000,2350605.000000,177428.000000,,16608994.000000,2554545.000000,,13259053.000000,870145.000000,16179697.000000,26435071.000000,,,,42614768.000000
