Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,360 B,(133 B),228 B,48.81
12M 2009,62 B,(35 B),27 B,5.76
12M 2010,(74 B),(88 B),(163 B),-34.87
12M 2011,(54 B),(190 B),(244 B),-52.27
12M 2012,(9 B),(186 B),(196 B),-41.95
12M 2013,161 B,(272 B),(111 B),-23.32
12M 2014,140 B,(78 B),62 B,8.80
12M 2015,264 B,(36 B),227 B,32.01
12M 2016,(70 B),(256 B),(327 B),-46.00
12M 2017,317 B,(301 B),15 B,2.15
12M 2018,645 B,(479 B),166 B,23.41
12M 2019,374 B,(177 B),197 B,27.76
12M 2020,518 B,(202 B),316 B,44.53
12M 2021,147 B,(164 B),(16 B),-2.28
12M 2022,621 B,(99 B),523 B,73.58
12M 2023,268 B,(139 B),129 B,18.22
