Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Bank Jangka Pendek,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Ketiga,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,4223114925.000000,,2414981599.000000,,2414981599.000000,2414981599.000000,205901690.000000,205901690.000000,,205901690.000000,2139899455.000000,199294820.000000,9183192489.000000,,186259227812.000000,,,186259227812.000000,195442420301.000000,,,11901874378.000000,,136589947.000000,3918115082.000000,4054705029.000000,1246555448.000000,1080181146.000000,1010595895.000000,,2473002750.000000,838722167.000000,435766952.000000,3747491869.000000,,762344991.000000,11901874378.000000,75161714468.000000,,69156747027.000000,674365994.000000,2812840078.000000,72643953099.000000,,449841369.000000,,,2067920000.000000,75161714468.000000,87063588846.000000,,121220000000.000000,978370336.000000,-13819538881.000000,,,,108378831455.000000,195442420301.000000,1212200000.000000
12M 2009,,,1310459269.000000,,2246083296.000000,,2246083296.000000,2246083296.000000,1215869013.000000,515869013.000000,700000000.000000,1215869013.000000,909996307.000000,202212820.000000,5884620705.000000,,177638867645.000000,,,177638867645.000000,183523488350.000000,,,18075714363.000000,,,3627446733.000000,3627446733.000000,1467780747.000000,984105740.000000,267672973.000000,,9904466698.000000,336988474.000000,411246904.000000,10652702076.000000,,1076006094.000000,18075714363.000000,55604790482.000000,,51617404080.000000,259127984.000000,1056095422.000000,52932627486.000000,,306742996.000000,,,2365420000.000000,55604790482.000000,73680504845.000000,,121336138800.000000,978370336.000000,-12471525631.000000,,,,109842983505.000000,183523488350.000000,1213361388.000000
12M 2010,,,14115241886.000000,,3288181375.000000,,,3288181375.000000,24392843.000000,,,24392843.000000,406328819.000000,81161064.000000,17915305987.000000,,169080484443.000000,,,169080484443.000000,186995790430.000000,,,18342282135.000000,2495301395.000000,,,2495301395.000000,964803927.000000,,250344722.000000,,13681305030.000000,373149136.000000,,14054454166.000000,,577377925.000000,18342282135.000000,56062445720.000000,,45019853881.000000,,8002123071.000000,53021976952.000000,,249476768.000000,,,2790992000.000000,56062445720.000000,74404727855.000000,,121336138800.000000,978370336.000000,-9723446561.000000,,,,112591062575.000000,186995790430.000000,1213361388.000000
12M 2011,,,5463044954.000000,,7696335150.000000,,,7696335150.000000,5713800.000000,5713800.000000,,5713800.000000,415555815.000000,107669685.000000,13688319404.000000,,162504624636.000000,,,162504624636.000000,176192944040.000000,,,11216408886.000000,1616637900.000000,,,1616637900.000000,941324286.000000,,509759978.000000,,6528960000.000000,396066203.000000,91809826.000000,7016836029.000000,,1131850693.000000,11216408886.000000,51571938333.000000,,38876449298.000000,110411202.000000,9741489766.000000,48728350266.000000,,80024067.000000,,,2763564000.000000,51571938333.000000,62788347219.000000,,121336138800.000000,978370336.000000,-8909912315.000000,,,,113404596821.000000,176192944040.000000,1213361388.000000
12M 2012,,,17975683911.000000,,8084328165.000000,,,8084328165.000000,7021416.000000,,,7021416.000000,486612602.000000,84331482.000000,26637977576.000000,,241287438757.000000,424586813.000000,,241712025570.000000,268350003146.000000,,,21812192431.000000,1219696871.000000,,,1219696871.000000,957857500.000000,,677572780.000000,,12571000000.000000,,101485986.000000,12672485986.000000,,6284579294.000000,21812192431.000000,43957111117.000000,,28925031741.000000,8925216.000000,11562944160.000000,40496901117.000000,,,,,3460210000.000000,43957111117.000000,65769303548.000000,,224471856800.000000,2124540029.000000,-24103398954.000000,,-58115006.000000,145816729.000000,202580699598.000000,268350003146.000000,2244718568.000000
12M 2013,,,9368068362.000000,,9438554998.000000,,9438554998.000000,9438554998.000000,384200.000000,,,384200.000000,465107528.000000,106323851.000000,19378438939.000000,,240907129416.000000,136827651.000000,,241043957067.000000,260422396006.000000,,,23255503152.000000,1741943437.000000,,,1741943437.000000,1064755205.000000,,493668063.000000,,6999999996.000000,,146902007.000000,7146902003.000000,,12808234444.000000,23255503152.000000,30279584460.000000,,25846671514.000000,172686946.000000,,26019358460.000000,,,,,4260226000.000000,30279584460.000000,53535087612.000000,,226655048800.000000,2670338029.000000,-22522227503.000000,,-61667660.000000,145816729.000000,206887308395.000000,260422396007.000000,2266550488.000000
12M 2014,,,9008009931.000000,,13292941157.000000,,13292941157.000000,13292941157.000000,300000.000000,,,300000.000000,404504903.000000,353231258.000000,23058987249.000000,,237418885274.000000,303164348.000000,,237722049622.000000,260781036871.000000,,,29966095729.000000,3139231519.000000,,,3139231519.000000,1113610648.000000,,398655058.000000,,7499999994.000000,,144886655.000000,7644886649.000000,,17669711855.000000,29966095729.000000,23168618482.000000,,18346671520.000000,10022962.000000,,18356694482.000000,,,,,4811924000.000000,23168618482.000000,53134714211.000000,,226655048800.000000,2670338029.000000,-21824508004.000000,,-372897.000000,145816729.000000,207646322657.000000,260781036868.000000,2266550488.000000
12M 2015,,,4835923429.000000,,19601985499.000000,,19601985499.000000,19601985499.000000,,,,,300506722.000000,160883430.000000,24899299080.000000,,232575199750.000000,362510583.000000,,232937710333.000000,257837009413.000000,,,33939865552.000000,3211320963.000000,,,3211320963.000000,1122106829.000000,,281430743.000000,,7999999992.000000,,108262754.000000,8108262746.000000,,21216744271.000000,33939865552.000000,16071877129.000000,,10346671527.000000,216683602.000000,,10563355129.000000,,,,,5508522000.000000,16071877129.000000,50011742681.000000,,226655048800.000000,2670338029.000000,-21645544427.000000,,-392399.000000,145816729.000000,207825266732.000000,257837009413.000000,2266550488.000000
12M 2016,,,3416110674.000000,,26812776891.000000,,26812776891.000000,26812776891.000000,,,,,408337772.000000,237472358.000000,30874697695.000000,,234289266074.000000,867892210.000000,,235157158284.000000,266031855979.000000,,,31810335213.000000,1970863489.000000,,,1970863489.000000,866239715.000000,,1089917026.000000,,10053650461.000000,,98095522.000000,10151745983.000000,,17731569000.000000,31810335213.000000,25189182388.000000,,17875095308.000000,118588080.000000,,17993683388.000000,,,,742464000.000000,6453035000.000000,25189182388.000000,56999517601.000000,,226655048800.000000,3741313029.000000,-21509423760.000000,,-416421.000000,145816729.000000,209032338377.000000,266031855978.000000,2266550488.000000
12M 2017,,,969534996.000000,,34379056211.000000,,34379056211.000000,34379056211.000000,,,,,348727586.000000,919663276.000000,36616982069.000000,,244742804568.000000,1200090015.000000,,245942894583.000000,282559876652.000000,,,35928483895.000000,1568346557.000000,,,1568346557.000000,3195153206.000000,,1544675005.000000,,9459594580.000000,,108970782.000000,9568565362.000000,,20051743765.000000,35928483895.000000,37546879718.000000,,29582397420.000000,9617298.000000,,29592014718.000000,,,,540402000.000000,7414463000.000000,37546879718.000000,73475363613.000000,,226655048800.000000,3741313029.000000,-21457221475.000000,,-444045.000000,145816729.000000,209084513038.000000,282559876651.000000,2266550488.000000
