Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,-1444974.29,0.00,-1444974.29,2 B,110 B,112 B,106 B,(91 B)
12M 2011,0.00,63.78,0.00,63.78,29 B,,250 B,247 B,(192 B)
12M 2012,0.00,90.44,0.00,90.44,44 B,,461 B,448 B,(96 B)
12M 2013,1.61,105.95,1.61,105.95,110 B,307 B,417 B,402 B,(172 B)
12M 2014,1.41,106.42,1.41,106.42,120 B,189 B,309 B,278 B,(306 B)
12M 2015,1.25,106.74,1.25,106.74,57 B,198 B,255 B,248 B,(292 B)
12M 2016,1.18,107.18,1.18,107.18,55 B,385 B,440 B,431 B,77 B
12M 2017,0.87,108.84,0.87,108.84,38 B,398 B,435 B,429 B,70 B
12M 2018,0.96,106.08,0.96,106.08,1 B,581 B,583 B,572 B,148 B
12M 2019,1.50,103.85,1.50,103.85,1 B,,780 B,771 B,(80 B)
12M 2020,0.55,91.59,0.55,91.59,719 B,10 B,784 B,775 B,(113 B)
12M 2021,0.60,83.59,0.60,83.59,722 B,68 B,790 B,784 B,(123 B)
12M 2022,0.60,83.46,0.60,83.46,4 B,9 B,13 B,13 B,(33 B)
12M 2023,0.48,103.12,0.48,103.12,4 B,12 B,16 B,15 B,(58 B)
