Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,6.67,,2.28,,0.76,,0.45,-2.75,-2.75,0.62
12M 2009,55.56,192.8,78.19,170.17,6.57,6.23,1.89,1.94,0.65,0.67,0.41,0.42,-7.63,-7.63,0.83
12M 2010,54.11,199.34,64.44,189.01,6.75,4.53,1.83,1.79,,0.65,0.37,0.36,-3.74,-3.74,0.77
12M 2011,54.99,175.32,71.19,159.12,6.64,5.89,2.08,2.02,0.65,0.65,0.37,0.37,9.56,9.56,1.17
12M 2012,50.82,135.09,78.05,107.86,7.18,5.46,2.7,2.48,0.76,0.77,0.4,0.4,-5.64,-5.64,0.86
12M 2013,49.67,152.17,81.92,119.92,7.35,6.98,2.4,2.28,0.61,0.59,0.34,0.33,-0.93,-1.0,0.53
12M 2014,50.59,223.81,97.69,176.71,7.22,8.3,1.63,1.51,0.31,0.28,0.2,0.19,1.47,1.47,2.01
12M 2015,57.37,231.66,89.09,199.94,6.36,5.0,1.58,1.7,0.21,0.19,0.15,0.14,6.57,6.57,1.14
12M 2016,64.42,261.79,114.18,212.03,5.67,5.85,1.39,1.51,0.2,0.21,0.16,0.17,-0.79,-0.79,0.45
12M 2017,63.19,192.19,108.98,146.4,5.78,6.35,1.9,2.33,0.23,0.24,0.19,0.2,-1.12,-1.12,0.44
12M 2018,42.74,126.29,110.49,58.54,8.54,7.5,2.89,2.77,0.35,0.37,0.28,0.28,-1.35,-1.35,0.42
12M 2019,49.95,107.26,155.26,1.95,7.31,7.37,3.4,3.55,0.29,0.3,0.23,0.24,-0.92,-0.92,0.25
12M 2020,97.79,108.5,240.85,-34.56,3.73,3.3,3.36,3.71,0.18,0.18,0.14,0.14,-0.38,-0.38,0.21
12M 2021,101.18,135.27,330.67,-94.22,3.61,3.89,2.7,2.69,0.4,0.41,0.22,0.23,-0.79,-0.79,0.51
12M 2022,12.58,41.85,96.37,-41.94,29.02,15.64,8.72,5.71,4.83,5.01,1.35,1.08,-4.68,-4.68,0.32
12M 2023,13.87,70.73,103.78,-19.18,26.31,26.6,5.16,3.6,4.76,4.83,0.79,0.73,-3.17,-3.17,0.39
12M 2024,15.14,170.2,157.68,27.66,24.11,14.52,2.14,1.88,4.12,4.2,0.5,0.47,-6.6,-6.6,0.75
