Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Dari Pendapatan Lain-Lain,Pembayaran Pajak Penghasilan,Penerimaan Pengembalian Pajak,Penerimaan Bunga,Pembayaran Bunga Pinjaman,Penerimaan Penjualan Persediaan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Penjualan Pesawat,Perolehan Aset Pertambangan Dan Aset Eksplorasi Dan Evaluasi,Pembayaran Uang Jaminan Pembelian Pesawat,Pengembalian Uang Muka Pembelian Pesawat,Pengembalian Uang Jaminan Dan Performance Bond,Pembayaran Uang Jaminan Dan Performance Bond,Deposit Penjualan Pesawat,Pembangunan Pelabuhan,Hasil Penjualan Aset Tetap,Setoran Modal,Pengembalian Uang Setoran Modal,Pengembalian Investasi,Investasi,Aset Keuangan Lancar Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Wesel Bayar,Pembayaran Wesel Bayar,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Pembayaran Bunga Pinjaman,Perolehan Modal Ditempatkan,Penerimaan Dari Penerbitan Saham,Penerimaan Utang Bank,Pembeayaran Utang Bank,Penerimaan Obligasi,Pembayaran Obligasi,Pelunasan Piutang Lain,Penerimaan Piutang Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Berelasi,Penerimaan Utang Pihak Lain,Pembayaran Utang Pihak Lain,Penerimaan Uang Muka Setoran Modal,Penerimaan Setoran Modal Saham,Pelunasan Hutang Sewa Pembiayaan,Pembayaran Biaya Administrasi Bank,Penerimaan Uang Jaminan Pelanggan,Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,46466500000.000000,279384336000.000000,,-133750742000.000000,-56559655000.000000,-190310397000.000000,,-9814993000.000000,,40190000.000000,-32832636000.000000,,46466500000.000000,-101054110000.000000,-107880994000.000000,,,,,,,-7688816000.000000,,,14515700000.000000,,,,,,,-101054110000.000000,59189846000.000000,,,,-40231469000.000000,,,,104323590000.000000,,,,,,,,,,,-140010000.000000,-4762265000.000000,,,59189846000.000000,4602236000.000000,4237536000.000000,,8839772000.000000
12M 2009,-29359106000.000000,259633568000.000000,,-196930383000.000000,-38034685000.000000,-234965068000.000000,,-2175822000.000000,,57068000.000000,-51908852000.000000,,-29359106000.000000,5516060000.000000,-63548000.000000,-9216833000.000000,,,,,10355991000.000000,,,,4440450000.000000,,,,,,,5516060000.000000,34319933000.000000,15800000000.000000,-32080000000.000000,16738562000.000000,,,,,,,,,,,,9337165000.000000,,,32200000000.000000,-579272000.000000,-6609105000.000000,,-487417000.000000,34319933000.000000,10476887000.000000,8839770000.000000,,19316657000.000000
12M 2010,7137252000.000000,218635963000.000000,,-149645100000.000000,-40146618000.000000,-189791718000.000000,,-3340876000.000000,,33031000.000000,-18399148000.000000,,7137252000.000000,-22592478000.000000,-692902000.000000,-21611158000.000000,,,,,,-463918000.000000,,,175500000.000000,,,,,,,-22592478000.000000,30317744000.000000,60560607000.000000,,,-43870812000.000000,,,,14587800000.000000,,,,,,,,,,,-800968000.000000,-158883000.000000,,,30317744000.000000,14862518000.000000,19316657000.000000,,34179175000.000000
12M 2011,45066119000.000000,232866625000.000000,,-124843995000.000000,-41138388000.000000,-165982383000.000000,,-8554561000.000000,,53698000.000000,-13317260000.000000,,45066119000.000000,-43303860000.000000,-41549029000.000000,,,,,,,-1754831000.000000,,,,,,,,,,-43303860000.000000,-10632762000.000000,65297096000.000000,-5000000000.000000,,-70200504000.000000,,,,,,,,,,,,,,,-420617000.000000,-308737000.000000,,,-10632762000.000000,-8870503000.000000,34179175000.000000,,25308672000.000000
12M 2012,68329454000.000000,280863624000.000000,,-153527249000.000000,-55788989000.000000,-209316238000.000000,16972323000.000000,-6707959000.000000,,61318000.000000,-13543614000.000000,,68329454000.000000,-29206267000.000000,-29436673000.000000,,,,,,1327760000.000000,,,-97454000.000000,,-999900000.000000,,,,,,-29206267000.000000,4027636000.000000,80168056000.000000,-6850000000.000000,,-67517053000.000000,,999900000.000000,,,,,,,,,,,,,-2462516000.000000,-310751000.000000,,,4027636000.000000,43150823000.000000,25308672000.000000,4464541000.000000,72924036000.000000
12M 2013,2819318.000000,28997180.000000,,-19742064.000000,-4308407.000000,-24050471.000000,988985.000000,-451310.000000,,46707.000000,-2711773.000000,,2819318.000000,-41437722.000000,-29650309.000000,,,,-2275000.000000,,,-866531.000000,,,10641.000000,-8656523.000000,,,,,,-41437722.000000,36646299.000000,47259841.000000,-7394775.000000,,-6373447.000000,,,,,,,,,,,2275000.000000,,,,1021327.000000,-141647.000000,,,36646299.000000,-1972105.000000,7541265.000000,,5569160.000000
12M 2014,-3338258.000000,24879940.000000,,-20023001.000000,-4180433.000000,-24203434.000000,,-341143.000000,,15390.000000,-3689011.000000,,-3338258.000000,-21545739.000000,-15256254.000000,,4823151.000000,,,2275000.000000,,-168923.000000,,-5688832.000000,26388.000000,,,,-7556269.000000,,,-21545739.000000,20103974.000000,,-9695784.000000,19000000.000000,-4279262.000000,,,,,,,,10188031.000000,,,,-7330390.000000,10333119.000000,,2349684.000000,-461424.000000,,,20103974.000000,-4780023.000000,5569159.000000,,789136.000000
12M 2015,-1845117.000000,16972554.000000,,-11681552.000000,-3319380.000000,-15000932.000000,,-265712.000000,,4466.000000,-3555493.000000,,-1845117.000000,8872065.000000,-1652473.000000,,,,,,651000.000000,,,,5357964.000000,,,4515574.000000,,,,8872065.000000,-7574234.000000,,,,-10100883.000000,,,,,,,,,,,4619411.000000,,,,-1588390.000000,-504372.000000,,,-7574234.000000,-547286.000000,789136.000000,,241850.000000
12M 2016,218660.000000,16806835.000000,,-10958973.000000,-2919090.000000,-13878063.000000,,-258129.000000,,3431.000000,-2455414.000000,,218660.000000,2934085.000000,-109038.000000,,,,,,,-8736.000000,,,11164.000000,,,3040695.000000,,,,2934085.000000,-3216452.000000,,,,-5489950.000000,,,,,,,,,,,4246159.000000,,,,-1163549.000000,-809112.000000,,,-3216452.000000,-63707.000000,241850.000000,,178143.000000
12M 2017,5316735.000000,21606633.000000,,-10828582.000000,-2919880.000000,-13748462.000000,,-270258.000000,,5588.000000,-2276766.000000,,5316735.000000,105684.000000,-84299.000000,,,,,,195057.000000,-5074.000000,,,,,,,,,,105684.000000,-5270281.000000,,2542206.000000,,-5000642.000000,,,,,,,,,,,-32016.000000,,,,-2472828.000000,-307001.000000,,,-5270281.000000,152138.000000,178143.000000,,330281.000000
