Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,292909455000.000000,-226097472000.000000,66811983000.000000,-89206651000.000000,,,-89206651000.000000,-22394668000.000000,-68868341000.000000,-41291447000.000000,40190000.000000,,-32832636000.000000,5215552000.000000,-68868341000.000000,-91263009000.000000,31483063000.000000,-59779946000.000000,,,-59779946000.000000,-59779946000.000000,,-59779946000.000000,,,,
12M 2009,239365322000.000000,-179965896000.000000,59399426000.000000,-72405557000.000000,,,-72405557000.000000,-13006131000.000000,-29354463000.000000,40650868000.000000,41276000.000000,,-60191438000.000000,-9855169000.000000,-29354463000.000000,-42360594000.000000,7586970000.000000,-34773624000.000000,,,-34773624000.000000,-34773624000.000000,,-34773624000.000000,,,,
12M 2010,214645008000.000000,-172263497000.000000,42381511000.000000,-71250828000.000000,,,-71250828000.000000,-28869317000.000000,-17792769000.000000,9732815000.000000,35031000.000000,,-28298500000.000000,737885000.000000,-17792769000.000000,-46662086000.000000,7038456000.000000,-39623630000.000000,,,-39623630000.000000,-39623630000.000000,,-39623630000.000000,,,,
12M 2011,221832586000.000000,-165304326000.000000,56528260000.000000,73367261000.000000,,,73367261000.000000,129895521000.000000,-21657963000.000000,-680931000.000000,53636000.000000,,-23573415000.000000,2542747000.000000,-21657963000.000000,108237558000.000000,4951320000.000000,113188878000.000000,,113188878000.000000,113188878000.000000,113188878000.000000,,113188878000.000000,113188878000.000000,113188878000.000000,,113188878000.000000
12M 2012,269279243000.000000,-187557017000.000000,81722226000.000000,-93959051000.000000,,,-93959051000.000000,-12236825000.000000,-28333625000.000000,-9742993000.000000,67529000.000000,,-26674642000.000000,8016481000.000000,-28333625000.000000,-40570450000.000000,7751490000.000000,-32818960000.000000,,-32818960000.000000,-32818960000.000000,-32818942000.000000,-18000.000000,-32818960000.000000,-32818960000.000000,-32818942000.000000,-18000.000000,-32818960000.000000
12M 2013,28253787.000000,-20461597.000000,7792190.000000,-8138105.000000,,,-8138105.000000,-345915.000000,-2684259.000000,,36066.000000,,-2711773.000000,-8552.000000,-2684259.000000,-3030174.000000,648627.000000,-2381547.000000,2195447.000000,-186100.000000,-2381547.000000,-2381544.000000,-3.000000,-2381547.000000,-186099.000000,-186099.000000,,-186099.000000
12M 2014,23570709.000000,-20153065.000000,3417644.000000,-8592538.000000,,,-8592538.000000,-5174894.000000,2201831.000000,,15390.000000,,,2186441.000000,2201831.000000,-2973063.000000,738947.000000,-2234116.000000,-1149491.000000,-3383607.000000,-2234116.000000,-2234115.000000,-1.000000,-2234116.000000,-3383607.000000,-3383607.000000,,-3383607.000000
12M 2015,17171194.000000,-18218763.000000,-1047569.000000,-9489382.000000,,,-9489382.000000,-10536951.000000,-2196393.000000,,4466.000000,,,-2200859.000000,-2196393.000000,-12733344.000000,1642926.000000,-11090418.000000,720660.000000,-10369758.000000,-11090418.000000,-11090417.000000,-1.000000,-11090418.000000,-10369758.000000,-10369757.000000,-1.000000,-10369758.000000
12M 2016,16275140.000000,-13242767.000000,3032373.000000,-6420681.000000,,,-6420681.000000,-3388308.000000,-8908977.000000,,3431.000000,,,-8912408.000000,-8908977.000000,-12297285.000000,1303580.000000,-10993705.000000,-3210767.000000,-14204472.000000,-10993705.000000,-10993705.000000,,-10993705.000000,-14204472.000000,-14204472.000000,,-14204472.000000
12M 2017,16103374.000000,-14228778.000000,1874596.000000,-6307404.000000,,,-6307404.000000,-4432808.000000,-4424693.000000,,5588.000000,,,-4430281.000000,-4424693.000000,-8857501.000000,2091398.000000,-6766103.000000,-816497.000000,-7582600.000000,-6766103.000000,-6766102.000000,-1.000000,-6766103.000000,-7582600.000000,-7582599.000000,-1.000000,-7582600.000000
