Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,42944342695.000000,-16359294744.000000,26585047951.000000,-15837712785.000000,,-15837712785.000000,-15837712785.000000,10747335166.000000,65743221960.000000,1192016798.000000,,-1478682242.000000,,1326973886.000000,,,64702913518.000000,65743221960.000000,76490557126.000000,371311090.000000,76861868216.000000,5078724516.000000,81940592732.000000,,81940592732.000000,81940592732.000000,81940592732.000000,,81940592732.000000,81940592732.000000,81940592732.000000,,81940592732.000000
12M 2012,413690453778.000000,-68126659208.000000,345563794570.000000,-38869335120.000000,,-38869335120.000000,-38869335120.000000,306694459450.000000,294259224809.000000,-546527936.000000,,-19313746269.000000,,,,,314119499014.000000,294259224809.000000,600953684259.000000,-33781613221.000000,567172071038.000000,6874266282.000000,574046337320.000000,,574046337320.000000,574046337320.000000,574046337320.000000,,574046337320.000000,574046337320.000000,574046337320.000000,,574046337320.000000
12M 2013,448295643503.000000,-90107742331.000000,358187901172.000000,-60905032471.000000,,-60905032471.000000,-60905032471.000000,297282868701.000000,525528838847.000000,2139741160.000000,,-25052738790.000000,,,,,548441836477.000000,525528838847.000000,822811707548.000000,-28746898488.000000,794064809060.000000,,794064809060.000000,194483811.000000,794259292871.000000,794064809060.000000,794064809060.000000,,794064809060.000000,794259292871.000000,794259292871.000000,,794259292871.000000
12M 2014,481904523691.000000,-106697801947.000000,375206721744.000000,-79724293758.000000,,-79724293758.000000,-79724293758.000000,295482427986.000000,-51497940690.000000,139428439.000000,,2199448001.000000,,,,,-53836817130.000000,-51497940690.000000,243984487296.000000,-12594859640.000000,231389627656.000000,,231389627656.000000,,231389627656.000000,231389627656.000000,231389627656.000000,,231389627656.000000,231389627656.000000,231389627656.000000,,231389627656.000000
12M 2015,506428729921.000000,-121454853561.000000,384973876360.000000,-103722973334.000000,,-103722973334.000000,-103722973334.000000,281250903026.000000,129617532443.000000,,54318863417.000000,-77997476290.000000,,,,,153296145316.000000,129617532443.000000,410868435469.000000,-95973496447.000000,314894939022.000000,,314894939022.000000,1094137610.000000,315989076632.000000,314894939022.000000,314894939022.000000,,314894939022.000000,315989076632.000000,315989076632.000000,,315989076632.000000
12M 2016,703132723832.000000,-174516616978.000000,528616106854.000000,-126702685834.000000,,-126702685834.000000,-126702685834.000000,401913421020.000000,207901064377.000000,,16680514779.000000,-121494686731.000000,,,,,312715236329.000000,207901064377.000000,609814485397.000000,-164963519391.000000,444850966006.000000,,444850966006.000000,7590719077.000000,452441685083.000000,444850966006.000000,444850966006.000000,,444850966006.000000,452441685083.000000,452441685083.000000,,452441685083.000000
12M 2017,761760612195.000000,-333937841543.000000,427822770652.000000,-150638093079.000000,,-150638093079.000000,-150638093079.000000,277184677573.000000,-129029012812.000000,,9494042867.000000,-137205502922.000000,,,,,-1317552757.000000,-129029012812.000000,148155664761.000000,113970371750.000000,262126036511.000000,,262126036511.000000,616973357067.000000,879099393578.000000,262126036511.000000,262126036511.000000,,262126036511.000000,879099393578.000000,879099393578.000000,,879099393578.000000
12M 2018,897612636308.000000,-406766397197.000000,490846239111.000000,-153007062236.000000,,-153007062236.000000,-153007062236.000000,337839176875.000000,-183168384057.000000,,7939881073.000000,-198367075354.000000,,,,,7258810224.000000,-183168384057.000000,154670792818.000000,-8663961632.000000,146006831186.000000,,146006831186.000000,770750158015.000000,916756989201.000000,146006831186.000000,146006831186.000000,,146006831186.000000,916756989201.000000,916756989201.000000,,916756989201.000000
12M 2019,1087963086355.000000,-539141827323.000000,548821259032.000000,-170930067640.000000,,-170930067640.000000,-170930067640.000000,377891191392.000000,-245889652978.000000,,9039026206.000000,-231683666926.000000,,,,-26382966832.000000,3137954574.000000,-245889652978.000000,132001538414.000000,-3170390779.000000,128831147635.000000,,128831147635.000000,452507339226.000000,581338486861.000000,128831147635.000000,128831147635.000000,,128831147635.000000,581338486861.000000,581338486861.000000,,581338486861.000000
12M 2020,1122276247134.000000,-566680887698.000000,555595359436.000000,-177263065242.000000,,-177263065242.000000,-177263065242.000000,378332294194.000000,-286137879886.000000,,11416797307.000000,-366069282337.000000,,,,-48519947723.000000,117034552867.000000,-286137879886.000000,92194414308.000000,-24990246564.000000,67204167744.000000,,67204167744.000000,132472305484.000000,199676473228.000000,67204167744.000000,67204167744.000000,,67204167744.000000,199676473228.000000,199676473228.000000,,199676473228.000000
