Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Trust Receipts,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Telah Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,370994000000.000000,5000000.000000,1090104000000.000000,382272000000.000000,707832000000.000000,1090104000000.000000,58003000000.000000,9328000000.000000,48675000000.000000,58003000000.000000,692412000000.000000,106969000000.000000,2318487000000.000000,,15817000000.000000,1541170000000.000000,1986000000.000000,16275000000.000000,123391000000.000000,1698639000000.000000,4017126000000.000000,,,1618648000000.000000,113618000000.000000,,,492748000000.000000,97987000000.000000,590735000000.000000,,90548000000.000000,96112000000.000000,186660000000.000000,62797000000.000000,,,,,,,664838000000.000000,1618648000000.000000,339343000000.000000,,,,,,,60892000000.000000,278451000000.000000,339343000000.000000,1957991000000.000000,,,1892464000000.000000,,,,,,166671000000.000000,,2059135000000.000000,4017126000000.000000,466476178.000000
12M 2008,,,502993000000.000000,12800000000.000000,1579951000000.000000,469239000000.000000,1110712000000.000000,1579951000000.000000,28122000000.000000,16294000000.000000,11828000000.000000,28122000000.000000,1392062000000.000000,131159000000.000000,3647087000000.000000,,21648000000.000000,2176607000000.000000,2598148000000.000000,23329000000.000000,1738897000000.000000,6558629000000.000000,10205716000000.000000,,,6475624000000.000000,262379000000.000000,,,1080343000000.000000,160741000000.000000,1241084000000.000000,,101742000000.000000,161495000000.000000,263237000000.000000,87789000000.000000,,,30202000000.000000,2367000000.000000,,32569000000.000000,4588566000000.000000,6475624000000.000000,1205161000000.000000,,55738000000.000000,7103000000.000000,,,62841000000.000000,721415000000.000000,420905000000.000000,1205161000000.000000,7680785000000.000000,,,2244666000000.000000,,,,,,280265000000.000000,,2524931000000.000000,10205716000000.000000,466476178.000000
12M 2009,,,695832000000.000000,9283000000.000000,1447952000000.000000,383804000000.000000,1064148000000.000000,1447952000000.000000,28473000000.000000,16545000000.000000,11928000000.000000,28473000000.000000,1310739000000.000000,308338000000.000000,3800617000000.000000,,68442000000.000000,2180441000000.000000,1504164000000.000000,2464910000000.000000,205319000000.000000,6423276000000.000000,10223893000000.000000,,,7378449000000.000000,1360000000000.000000,,,777178000000.000000,129750000000.000000,906928000000.000000,,98031000000.000000,96109000000.000000,194140000000.000000,244494000000.000000,,,18638000000.000000,4050000000.000000,,22688000000.000000,4650199000000.000000,7378449000000.000000,1220704000000.000000,,31200000000.000000,10433000000.000000,,,41633000000.000000,637571000000.000000,541500000000.000000,1220704000000.000000,8599153000000.000000,,466476000000.000000,,785140000000.000000,,,,785140000000.000000,345544000000.000000,27580000000.000000,1624740000000.000000,10223893000000.000000,466476178.000000
12M 2010,,,3407687000000.000000,19360000000.000000,1954099000000.000000,488044000000.000000,1466055000000.000000,1954099000000.000000,72150000000.000000,34625000000.000000,37525000000.000000,72150000000.000000,1422466000000.000000,142073000000.000000,7017835000000.000000,,96790000000.000000,2304588000000.000000,1424030000000.000000,2331671000000.000000,186399000000.000000,6343478000000.000000,13361313000000.000000,,,2701200000000.000000,405362000000.000000,94863000000.000000,,807382000000.000000,326670000000.000000,1134052000000.000000,,102907000000.000000,73434000000.000000,176341000000.000000,257411000000.000000,,,8500000000.000000,2839000000.000000,,11339000000.000000,621832000000.000000,2701200000000.000000,1297932000000.000000,,4958000000.000000,9819000000.000000,,,14777000000.000000,598820000000.000000,684335000000.000000,1297932000000.000000,3999132000000.000000,,583095000000.000000,5969721000000.000000,2344832000000.000000,,,,2344832000000.000000,442635000000.000000,21898000000.000000,9362181000000.000000,13361313000000.000000,5830954000.000000
12M 2011,,,4420644000000.000000,17280000000.000000,2260329000000.000000,638191000000.000000,1622138000000.000000,2260329000000.000000,118073000000.000000,64845000000.000000,53228000000.000000,118073000000.000000,1629883000000.000000,134102000000.000000,8580311000000.000000,,119168000000.000000,2590036000000.000000,1424030000000.000000,2198433000000.000000,310879000000.000000,6642546000000.000000,15222857000000.000000,,,2988540000000.000000,417851000000.000000,210744000000.000000,,966691000000.000000,307376000000.000000,1274067000000.000000,,97056000000.000000,58265000000.000000,155321000000.000000,226251000000.000000,,,,6259000000.000000,,6259000000.000000,698047000000.000000,2988540000000.000000,1524544000000.000000,,111932000000.000000,33575000000.000000,,,145507000000.000000,563433000000.000000,815604000000.000000,1524544000000.000000,4513084000000.000000,,583095000000.000000,5969721000000.000000,3643786000000.000000,3638786000000.000000,5000000000.000000,,3643786000000.000000,492935000000.000000,20236000000.000000,10709773000000.000000,15222857000000.000000,5830954000.000000
12M 2012,,,5484318000000.000000,21280000000.000000,2228423000000.000000,642371000000.000000,1586052000000.000000,2228423000000.000000,130911000000.000000,75163000000.000000,55748000000.000000,130911000000.000000,1812887000000.000000,210621000000.000000,9888440000000.000000,,162100000000.000000,3839756000000.000000,1424030000000.000000,2065195000000.000000,373959000000.000000,7865040000000.000000,17753480000000.000000,,,3579487000000.000000,400396000000.000000,182229000000.000000,,1193345000000.000000,391835000000.000000,1585180000000.000000,,269630000000.000000,73560000000.000000,343190000000.000000,846929000000.000000,85766000000.000000,,31411000000.000000,8334000000.000000,,39745000000.000000,96052000000.000000,3579487000000.000000,2187195000000.000000,,602833000000.000000,37780000000.000000,,,640613000000.000000,530291000000.000000,1016291000000.000000,2187195000000.000000,5766682000000.000000,,583095000000.000000,5985469000000.000000,4837947000000.000000,4827947000000.000000,,10000000000.000000,4837947000000.000000,572186000000.000000,8101000000.000000,11986798000000.000000,17753480000000.000000,5830954000.000000
12M 2013,,,5526173000000.000000,72000000000.000000,2454553000000.000000,738533000000.000000,1716020000000.000000,2454553000000.000000,94862000000.000000,41134000000.000000,53728000000.000000,94862000000.000000,2868722000000.000000,305405000000.000000,11321715000000.000000,,231593000000.000000,4844407000000.000000,1424030000000.000000,1931957000000.000000,1513768000000.000000,9945755000000.000000,21267470000000.000000,,,4696583000000.000000,557484000000.000000,421896000000.000000,,1628821000000.000000,508281000000.000000,2137102000000.000000,,289802000000.000000,103698000000.000000,393500000000.000000,848674000000.000000,61339000000.000000,,146259000000.000000,11111000000.000000,,157370000000.000000,119218000000.000000,4696583000000.000000,3305156000000.000000,,1346781000000.000000,36511000000.000000,,,1383292000000.000000,498504000000.000000,1423360000000.000000,3305156000000.000000,8001739000000.000000,,583095000000.000000,5985469000000.000000,5978662000000.000000,5963662000000.000000,,15000000000.000000,5978662000000.000000,678949000000.000000,39556000000.000000,13265731000000.000000,21267470000000.000000,5830954000.000000
12M 2014,,,7342986000000.000000,59520000000.000000,2695540000000.000000,977421000000.000000,1718119000000.000000,2695540000000.000000,206662000000.000000,85715000000.000000,120947000000.000000,206662000000.000000,2821618000000.000000,477201000000.000000,13603527000000.000000,,350167000000.000000,5838843000000.000000,1424030000000.000000,2761473000000.000000,932171000000.000000,11306684000000.000000,24910211000000.000000,,,6230997000000.000000,804684000000.000000,743544000000.000000,,1497284000000.000000,795112000000.000000,2292396000000.000000,,424632000000.000000,96256000000.000000,520888000000.000000,1312020000000.000000,131117000000.000000,,256678000000.000000,11349000000.000000,,268027000000.000000,158321000000.000000,6230997000000.000000,3639267000000.000000,,1563768000000.000000,25914000000.000000,,,1589682000000.000000,482742000000.000000,1566843000000.000000,3639267000000.000000,9870264000000.000000,,583095000000.000000,5985469000000.000000,7475019000000.000000,7455019000000.000000,,20000000000.000000,7475019000000.000000,962239000000.000000,34125000000.000000,15039947000000.000000,24910211000000.000000,5830954000.000000
12M 2015,,,7657510000000.000000,99400000000.000000,3197834000000.000000,1010473000000.000000,2187361000000.000000,3197834000000.000000,165863000000.000000,44283000000.000000,121580000000.000000,165863000000.000000,2546835000000.000000,294058000000.000000,13961500000000.000000,,587639000000.000000,6555660000000.000000,1424030000000.000000,2628235000000.000000,1403560000000.000000,12599124000000.000000,26560624000000.000000,,,6002344000000.000000,719035000000.000000,153693000000.000000,,1569862000000.000000,620830000000.000000,2190692000000.000000,,289712000000.000000,100549000000.000000,390261000000.000000,1577730000000.000000,235593000000.000000,,521805000000.000000,42942000000.000000,,564747000000.000000,170593000000.000000,6002344000000.000000,4171369000000.000000,,1416104000000.000000,15466000000.000000,,,1431570000000.000000,443119000000.000000,2296680000000.000000,4171369000000.000000,10173713000000.000000,,583095000000.000000,5985469000000.000000,8850067000000.000000,8825067000000.000000,,25000000000.000000,8850067000000.000000,932048000000.000000,36232000000.000000,16386911000000.000000,26560624000000.000000,5830954000.000000
12M 2016,,,8371980000000.000000,,3721206000000.000000,984573000000.000000,2736633000000.000000,3721206000000.000000,172719000000.000000,28355000000.000000,144364000000.000000,172719000000.000000,3109916000000.000000,195541000000.000000,15571362000000.000000,,663119000000.000000,7114288000000.000000,1424030000000.000000,2329997000000.000000,1799152000000.000000,13330586000000.000000,28901948000000.000000,,,6469785000000.000000,375000000000.000000,188196000000.000000,,1902886000000.000000,789463000000.000000,2692349000000.000000,,279584000000.000000,111181000000.000000,390765000000.000000,1731828000000.000000,288397000000.000000,,594613000000.000000,10460000000.000000,,605073000000.000000,198177000000.000000,6469785000000.000000,3931340000000.000000,,872033000000.000000,4603000000.000000,,,876636000000.000000,412144000000.000000,2642560000000.000000,3931340000000.000000,10401125000000.000000,,583095000000.000000,5985469000000.000000,10979473000000.000000,10949473000000.000000,,30000000000.000000,10979473000000.000000,936865000000.000000,15921000000.000000,18500823000000.000000,28901948000000.000000,11661908000.000000
12M 2017,,,8796690000000.000000,148400000000.000000,3871252000000.000000,1096176000000.000000,2775076000000.000000,3871252000000.000000,255187000000.000000,43803000000.000000,211384000000.000000,255187000000.000000,3261635000000.000000,246167000000.000000,16579331000000.000000,,612900000000.000000,8120254000000.000000,1424030000000.000000,1830140000000.000000,3052859000000.000000,15040183000000.000000,31619514000000.000000,,,6827588000000.000000,672886000000.000000,476358000000.000000,,2098222000000.000000,806011000000.000000,2904233000000.000000,,468624000000.000000,146486000000.000000,615110000000.000000,1472210000000.000000,212476000000.000000,,248611000000.000000,2264000000.000000,,250875000000.000000,223440000000.000000,6827588000000.000000,4467596000000.000000,,954545000000.000000,2377000000.000000,,,956922000000.000000,385520000000.000000,3125154000000.000000,4467596000000.000000,11295184000000.000000,,583095000000.000000,5985469000000.000000,12799244000000.000000,12764244000000.000000,,35000000000.000000,12799244000000.000000,760662000000.000000,195860000000.000000,20324330000000.000000,31619514000000.000000,11661908000.000000
12M 2018,,,4726822000000.000000,563840000000.000000,4128191000000.000000,1117009000000.000000,3011182000000.000000,4128191000000.000000,143165000000.000000,75901000000.000000,67264000000.000000,143165000000.000000,4001277000000.000000,558273000000.000000,14121568000000.000000,,562770000000.000000,10741622000000.000000,1775839000000.000000,2136679000000.000000,5028675000000.000000,20245585000000.000000,34367153000000.000000,,,7235398000000.000000,862238000000.000000,283657000000.000000,,2545715000000.000000,410474000000.000000,2956189000000.000000,,625406000000.000000,124288000000.000000,749694000000.000000,1701628000000.000000,204886000000.000000,,245011000000.000000,2541000000.000000,,247552000000.000000,229554000000.000000,7235398000000.000000,4424605000000.000000,,667099000000.000000,,,184640000000.000000,851739000000.000000,379900000000.000000,3192966000000.000000,4424605000000.000000,11660003000000.000000,,583095000000.000000,5985469000000.000000,15029629000000.000000,14989629000000.000000,,40000000000.000000,15029629000000.000000,1088227000000.000000,20730000000.000000,22707150000000.000000,34367153000000.000000,11661908000.000000
12M 2019,,,8359164000000.000000,,4049290000000.000000,1065882000000.000000,2983408000000.000000,4049290000000.000000,82660000000.000000,22150000000.000000,60510000000.000000,82660000000.000000,3840690000000.000000,293121000000.000000,16624925000000.000000,,533188000000.000000,11342412000000.000000,1775839000000.000000,2011090000000.000000,6421860000000.000000,22084389000000.000000,38709314000000.000000,,,6556359000000.000000,458108000000.000000,,,2228036000000.000000,407397000000.000000,2635433000000.000000,,549466000000.000000,72755000000.000000,622221000000.000000,1841517000000.000000,545825000000.000000,,196001000000.000000,,,196001000000.000000,257254000000.000000,6556359000000.000000,5481851000000.000000,,1694785000000.000000,,,7290000000.000000,1702075000000.000000,364894000000.000000,3414882000000.000000,5481851000000.000000,12038210000000.000000,,583095000000.000000,5985469000000.000000,18495204000000.000000,18450204000000.000000,,45000000000.000000,18495204000000.000000,1370266000000.000000,237070000000.000000,26671104000000.000000,38709314000000.000000,11661908000.000000
12M 2020,,,9535418000000.000000,,5273416000000.000000,2380015000000.000000,2893401000000.000000,5273416000000.000000,473339000000.000000,59349000000.000000,413990000000.000000,473339000000.000000,4586940000000.000000,847110000000.000000,20716223000000.000000,,478140000000.000000,13351296000000.000000,54006155000000.000000,1858998000000.000000,13177513000000.000000,82872102000000.000000,103588325000000.000000,,,9176164000000.000000,512501000000.000000,,,2702915000000.000000,342196000000.000000,3045111000000.000000,,691158000000.000000,170310000000.000000,861468000000.000000,2259852000000.000000,1796428000000.000000,,212742000000.000000,,91259000000.000000,304001000000.000000,396803000000.000000,9176164000000.000000,44094108000000.000000,,30772817000000.000000,,,135047000000.000000,30907864000000.000000,269843000000.000000,12916401000000.000000,44094108000000.000000,53270272000000.000000,,583095000000.000000,5985469000000.000000,22576202000000.000000,22526202000000.000000,,50000000000.000000,22576202000000.000000,20887762000000.000000,285525000000.000000,50318053000000.000000,103588325000000.000000,11661908000.000000
12M 2021,,,20377977000000.000000,284220000000.000000,6400930000000.000000,3066583000000.000000,3334347000000.000000,6400930000000.000000,433351000000.000000,47505000000.000000,385846000000.000000,433351000000.000000,5857217000000.000000,643942000000.000000,33997637000000.000000,,427117000000.000000,14175833000000.000000,54006155000000.000000,1725760000000.000000,13734126000000.000000,84068991000000.000000,118066628000000.000000,,,18896133000000.000000,515000000000.000000,,,3301072000000.000000,284863000000.000000,3585935000000.000000,,785032000000.000000,180815000000.000000,965847000000.000000,2583651000000.000000,1198249000000.000000,,322524000000.000000,,69541000000.000000,392065000000.000000,9655386000000.000000,18896133000000.000000,44446632000000.000000,,1779157000000.000000,,38951532000000.000000,114706000000.000000,40845395000000.000000,320460000000.000000,3280777000000.000000,44446632000000.000000,63342765000000.000000,,583095000000.000000,5985469000000.000000,26917455000000.000000,26862455000000.000000,,55000000000.000000,26917455000000.000000,20841960000000.000000,395884000000.000000,54723863000000.000000,118066628000000.000000,11661908000.000000
12M 2022,,,15741068000000.000000,156420000000.000000,6875504000000.000000,3507566000000.000000,3367938000000.000000,6875504000000.000000,352660000000.000000,120459000000.000000,232201000000.000000,352660000000.000000,7132321000000.000000,812392000000.000000,31070365000000.000000,,271766000000.000000,14520941000000.000000,54006155000000.000000,1592522000000.000000,13843787000000.000000,84235171000000.000000,115305536000000.000000,,,10033935000000.000000,825000000000.000000,,,3362607000000.000000,340372000000.000000,3702979000000.000000,,740017000000.000000,282105000000.000000,1022122000000.000000,2498512000000.000000,1054050000000.000000,,487311000000.000000,,80407000000.000000,567718000000.000000,363554000000.000000,10033935000000.000000,47798594000000.000000,,1548641000000.000000,,42967686000000.000000,97006000000.000000,44613333000000.000000,326258000000.000000,2859003000000.000000,47798594000000.000000,57832529000000.000000,,583095000000.000000,5985469000000.000000,29342631000000.000000,29282631000000.000000,,60000000000.000000,29342631000000.000000,20954496000000.000000,607316000000.000000,57473007000000.000000,115305536000000.000000,11661908000.000000
12M 2023,,,19353416000000.000000,2334020000000.000000,7198158000000.000000,3836684000000.000000,3361474000000.000000,7198158000000.000000,326250000000.000000,112627000000.000000,213623000000.000000,326250000000.000000,6329482000000.000000,1232139000000.000000,36773465000000.000000,,319549000000.000000,14710911000000.000000,54006155000000.000000,1446078000000.000000,12010918000000.000000,82493611000000.000000,119267076000000.000000,,,10464225000000.000000,112500000000.000000,,,3486037000000.000000,287932000000.000000,3773969000000.000000,,704761000000.000000,472879000000.000000,1177640000000.000000,2956038000000.000000,1553474000000.000000,,455907000000.000000,,114265000000.000000,570172000000.000000,320432000000.000000,10464225000000.000000,46698818000000.000000,,1059350000000.000000,,42125127000000.000000,123183000000.000000,43307660000000.000000,329284000000.000000,3061874000000.000000,46698818000000.000000,57163043000000.000000,,583095000000.000000,5985469000000.000000,34111051000000.000000,34046051000000.000000,,65000000000.000000,34111051000000.000000,21353864000000.000000,70554000000.000000,62104033000000.000000,119267076000000.000000,11661908000.000000
12M 2024,,,25292640000000.000000,2417250000000.000000,8411723000000.000000,4410229000000.000000,4001494000000.000000,8411723000000.000000,380024000000.000000,164021000000.000000,216003000000.000000,380024000000.000000,7059605000000.000000,1106307000000.000000,44667549000000.000000,,269713000000.000000,15266426000000.000000,54006155000000.000000,1312840000000.000000,10518222000000.000000,81373356000000.000000,126040905000000.000000,,,10924773000000.000000,185303000000.000000,,,3710084000000.000000,391345000000.000000,4101429000000.000000,,750083000000.000000,315752000000.000000,1065835000000.000000,3244707000000.000000,1401567000000.000000,,351952000000.000000,,76713000000.000000,428665000000.000000,497267000000.000000,10924773000000.000000,48072247000000.000000,,662989000000.000000,,44211216000000.000000,136479000000.000000,45010684000000.000000,331571000000.000000,2729992000000.000000,48072247000000.000000,58997020000000.000000,,583095000000.000000,5985469000000.000000,38960520000000.000000,38890520000000.000000,,70000000000.000000,38960520000000.000000,21826509000000.000000,-311708000000.000000,67043885000000.000000,126040905000000.000000,11661908000.000000
