Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengembalian Kepada Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Kepada Pemasok,Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Tagihan Pajak,Pembayaran Bunga,Penerimaan Bunga Dan Jasa Giro,Laba/(Rugi Atas Penjualan Aktiva Tetap,Kegiatan Operasional Lainnya / Pembayaran(Penerimaan) Lain-Lain,Penerimaan Restitusi Pajak,Kas Dari Hasil Aktivitas Operasi,Laba (Rugi) Usaha,Laba (Rugi) Bersih Setelah Pajak Tangguhan,Biaya Penyusutan Dan Amortisasi,Total Laba (Rugi) Usaha,Penurunan (Kenaikan ) Piutang Usaha,Penurunan (Kenaikan ) Persediaan,Penurunan Kenaikan ) Piutang Lain-Lain,Penurunan (Kenaikan ) Pajak Dibayar Dimuka,Penurunan (Kenaikan ) Pajak Tangguhan,Penurunan (Kenaikan ) Beban Ditangguhkan,Kenaikan (Penurunan) Hutang Usaha,Kenaikan (Penurunan)Hutang Lain-Lain,Kenaikan ( Penurunan ) Hutang Biaya M.h.d,Kenaikan (Penurunan) Yang Masih Harus Dibayar,Kenaikan (Penurunan) Uang Muka Pelanggan,Kenaikan (Penurunan) Hutang Pajak,Adjustment,Total Kas Dari Hasil Aktivitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Hak Atas Tanah,Kenaikan Aset Hak Guna,Pengurangan Hak Atas Tanah,Investasi Saham Pada Entitas Asosiasi,Investasi Tersedia Untuk Dijual,Penerimaan Kas Dibatasi Penggunaanya,Perolehan Proyek Dalam Penyelesaian,Penurunan Proyek Dalam Penyelesaian,Pembayaran Uang Muka Komitmen Kerjasama,Aset Tersedia Untuk Dijual,Aset Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pokok Utang Bank,Dana Yang Dibatasi Penggunaannya,Penurunan (Kenaikan) Piutang Pihak Ketiga,Penurunan (Kenaikan) Piutang Pihak Berelasi,Kenaikan (Penurunan) Utang Pihak Berelasi,Penunuranan Utang Lain-Lain - Pihak Berelasi,Kenaikan (Penurunan) Utang Pihak Ketiga,Kenaikan (Penurunan) Utang Tidak Lancar,Kenaikan (Penurunan) Pinjaman Bank,Kenaikan (Penurunan) Modal Saham,Penerimaan Pinjaman Dari Pihak Berelasi,Kenaikan (Penurunan) Sewa Pembiayaaan,Biaya Emisi Saham,Tambahan Modal Disetor,Pembayaran Dividen,Pembayaran Dividen Oleh Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-154433585.000000,3786767937.000000,,-3453942177.000000,,,-3453942177.000000,-488364350.000000,,,1105005.000000,,,,,,,,,,,,,,,,,,,,,,,-154433585.000000,-29523617.000000,816066583.000000,-845590200.000000,,,,,,,,,,,,,-29523617.000000,-31450196.000000,,,,,-31450196.000000,,,,,,,,,,,,,-31450196.000000,,-215407398.000000,423859483.000000,208452085.000000
12M 2009,-82007938.000000,3456838348.000000,,-3340585517.000000,,,-3340585517.000000,-200079614.000000,,,1818845.000000,,,,,,,,,,,,,,,,,,,,,,,-82007938.000000,362940550.000000,663862500.000000,-300921950.000000,,,,,,,,,,,,,362940550.000000,-303951216.000000,,,,,-130402318.000000,,,,,,,-173548898.000000,,,,,,-303951216.000000,,-23018604.000000,208452085.000000,185433481.000000
12M 2010,857613093.000000,4427234606.000000,,-4080987614.000000,,,-4080987614.000000,-39913900.000000,,,551280001.000000,,,,,,,,,,,,,,,,,,,,,,,857613093.000000,-579015915.000000,185000000.000000,-698015915.000000,-66000000.000000,,,,,,,,,,,,-579015915.000000,-358311272.000000,,,,,-358311272.000000,,,,,,,,,,,,,-358311272.000000,,-79714094.000000,185433481.000000,105719387.000000
12M 2011,-2519691419.000000,90130760355.000000,,-87887456935.000000,,,-87887456935.000000,,,-455956485.000000,,,-4307038354.000000,,,,,,,,,,,,,,,,,,,,,-2519691419.000000,-1478870229.000000,975667771.000000,-2454538000.000000,,,,,,,,,,,,,-1478870229.000000,7982120895.000000,,,,-284144779.000000,4861390485.000000,,,,3404875189.000000,,,,,,,,,7982120895.000000,,3983559247.000000,3505375041.000000,7488934288.000000
12M 2012,9570663645.000000,118273381600.000000,,-106655887388.000000,,,-106655887388.000000,,3280848347.000000,-2097993606.000000,,,-3229685308.000000,,,,,,,,,,,,,,,,,,,,,9570663645.000000,-1155344605.000000,330502545.000000,-660847150.000000,,,,-825000000.000000,,,,,,,,,-1155344605.000000,-8529375647.000000,,,,158145089.000000,-314412526.000000,,,,-8373108210.000000,,,,,,,,,-8529375647.000000,,-114056607.000000,7488934288.000000,7374877681.000000
12M 2013,4070906322.000000,88874807643.000000,,,-44485956866.000000,-28370458917.000000,-72856415783.000000,-5609589476.000000,1470053586.000000,-1235178903.000000,5193609042.000000,,-11766379787.000000,,,,,,,,,,,,,,,,,,,,,4070906322.000000,-464017501.000000,627554321.000000,-901571822.000000,,,,,-190000000.000000,,,,,,,,-464017501.000000,-6520714763.000000,,,230485167.000000,-605693118.000000,-2466991873.000000,,1496893677.000000,,-2226607151.000000,,,,-2669592740.000000,15294062.000000,,-294502787.000000,,-6520714763.000000,,-2913825942.000000,7374877681.000000,4461051739.000000
12M 2014,12194687511.000000,173791628227.000000,,,-89604274219.000000,-54943392756.000000,-144547666975.000000,-7956058364.000000,1592687577.000000,-1997911592.000000,5855883658.000000,,-14543875020.000000,,,,,,,,,,,,,,,,,,,,,12194687511.000000,-30577014418.000000,81818181.000000,-2591670598.000000,,,,,,,,,,,-28067162001.000000,,-30577014418.000000,101550532292.000000,,,460172.000000,-2000000000.000000,-4783254572.000000,,-2129999996.000000,,5302544740.000000,,,,-3104468052.000000,108893250000.000000,,-628000000.000000,,101550532292.000000,,83168205385.000000,4701253469.000000,87869458854.000000
12M 2015,34952493721.000000,254496006904.000000,,,-196647917346.000000,-17048837078.000000,-213696754424.000000,-11590296300.000000,,-1615628133.000000,6010931152.000000,,,1348234522.000000,,,,,,,,,,,,,,,,,,,,34952493721.000000,-61704856578.000000,378776135.000000,-1583632713.000000,,,,-500000000.000000,,,,,-60000000000.000000,,,,-61704856578.000000,-21503585243.000000,-14220219480.000000,,,-4035599063.000000,-1987051836.000000,,,,,,,,,,,-1260714864.000000,,-21503585243.000000,,-48255948100.000000,87869458854.000000,39613510754.000000
12M 2016,-43951952401.000000,193772382091.000000,,,-173653761915.000000,-49996547940.000000,-223650309855.000000,-8387651053.000000,,-8952764370.000000,3266390786.000000,,,,,,,,,,,,,,,,,,,,,,,-43951952401.000000,-30620728937.000000,63431404.000000,-684160341.000000,,,,,,,,,-30000000000.000000,,,,-30620728937.000000,51547739252.000000,-18892156863.000000,,,-11841851404.000000,6691152870.000000,,,,78000000000.000000,,,,,,,-2409405351.000000,,51547739252.000000,,-23024942086.000000,43085414725.000000,20060472639.000000
12M 2017,19670433200.000000,141534444282.000000,,,-74458560686.000000,-37279192195.000000,-111737752881.000000,-5098032255.000000,,-6257315534.000000,1229089588.000000,,,,,,,,,,,,,,,,,,,,,,,19670433200.000000,-1620926544.000000,303275839.000000,-1924202383.000000,,,,,,,,,,,,,-1620926544.000000,-22215156039.000000,-28529411764.000000,,,6909879725.000000,-595624000.000000,,,,,,,,,,,,,-22215156039.000000,,-4165649383.000000,20060472639.000000,15894823256.000000
