Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(0 B),(1 B),(1 B),-4.00
12M 2009,(0 B),(0 B),(0 B),-1.53
12M 2010,1 B,(1 B),0 B,0.37
12M 2011,(3 B),(2 B),(5 B),-6.85
12M 2012,10 B,(1 B),9 B,12.26
12M 2013,4 B,(1 B),3 B,2.91
12M 2014,12 B,(3 B),10 B,8.81
12M 2015,35 B,(2 B),33 B,30.62
12M 2016,(44 B),(1 B),(45 B),-40.96
12M 2017,20 B,(2 B),18 B,16.28
12M 2018,5 B,(3 B),2 B,1.93
12M 2019,20 B,(5 B),16 B,14.31
12M 2020,(1 B),(2 B),(2 B),-2.24
12M 2021,10 B,(0 B),9 B,8.64
12M 2022,(16 B),(4 B),(20 B),-18.44
12M 2023,2 B,(3 B),(1 B),-2.80
12M 2024,17 B,(5 B),12 B,10.91
