Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2014,148 B,,148 B,12526276.34
12M 2015,97 B,(175 B),(78 B),-38.97
12M 2016,113 B,(250 B),(138 B),-68.79
12M 2017,222 B,(336 B),(114 B),-56.80
12M 2018,191 B,(258 B),(67 B),-33.56
12M 2019,69 B,(121 B),(51 B),-25.53
12M 2020,(20 B),(35 B),(54 B),-27.09
12M 2021,7 B,(18 B),(11 B),-5.40
12M 2022,(3 B),(70 B),(73 B),-36.57
12M 2023,36 B,(31 B),5 B,2.33
12M 2024,145 B,(29 B),117 B,58.33
