Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Penerimaan Restitusi Pajak,Pembayaran Surat Ketetapan Pajak Kurang Pajak,Pembayaran Beban Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Pelepasan Investasi Jangka Pendek,Penempatan Investasi Jangka Pendek,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Perolehan Aktivitas Investasi Lainnya,Perolehan Proyek Dalam Penyelesaian,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tak Berwujud,Penambahan Aset Tidak Berwujud,Kerugian Penghapusan Aset Tetap,Penempatan Deposito Berjangka,Penerimaan Bunga,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Sewa Pembiayaan,Pembelian Saham Kembali,Pembayaran Dividen Perusahaan,Pembayaran Dividen Entitas Anak Kepada Kepentingan Non Pengendali,Pembayaran Porsi Pokok Liabilitas Sewa,Pembayaran Bunga Liabilitas Sewa,Penerimaan (Pembayaran) Untuk Aktivitas Pendanaan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,41018481569.000000,468731561768.000000,-415443372631.000000,,,-415443372631.000000,5034001783.000000,-11310525142.000000,-4575872715.000000,5550032551.000000,,-6967344045.000000,,41018481569.000000,-5295850708.000000,509909091.000000,23152728355.000000,-24146050000.000000,-4812438154.000000,,,,,,,,,,,-5295850708.000000,-32949620579.000000,64820717047.000000,-90020717047.000000,-1569941226.000000,,-5238479353.000000,-941200000.000000,,,,-32949620579.000000,,2773010282.000000,33325906372.000000,197252591.000000,,36296169245.000000
12M 2009,29394540274.000000,488133700544.000000,-447917434411.000000,,,-447917434411.000000,5952631765.000000,-7156397480.000000,-1512601536.000000,105303011.000000,,-8210661619.000000,,29394540274.000000,38217768592.000000,764284470.000000,72166612580.000000,-30049520110.000000,-4663608348.000000,,,,,,,,,,,38217768592.000000,-28387255195.000000,26000000000.000000,-40756517432.000000,-350847667.000000,-5972262925.000000,-2982723432.000000,-4324903739.000000,,,,-28387255195.000000,,39225053671.000000,36296169245.000000,-289354682.000000,,75231868234.000000
12M 2010,84926087634.000000,554886802548.000000,-444969658366.000000,,,-444969658366.000000,5866097919.000000,-17159800639.000000,-653375684.000000,2170846453.000000,,-15214824597.000000,,84926087634.000000,26669678226.000000,23210545454.000000,10000000000.000000,,-6540867228.000000,,,,,,,,,,,26669678226.000000,-21781199089.000000,46805835392.000000,-46457582462.000000,-225253153.000000,-1215290983.000000,-2904849877.000000,-17784058006.000000,,,,-21781199089.000000,,89814566771.000000,75231868234.000000,-19494061.000000,,165026940944.000000
12M 2011,26838860043.000000,499081319501.000000,-425513369804.000000,,,-425513369804.000000,6436360250.000000,-25009355990.000000,-1014435351.000000,,,-27141658563.000000,,26838860043.000000,-5109576126.000000,133336364.000000,,,-3831824782.000000,,,,-1411087708.000000,,,,,,,-5109576126.000000,-49153796546.000000,19010795551.000000,-10359048481.000000,,,-48435607389.000000,-9369936227.000000,,,,-49153796546.000000,,-27424512629.000000,165026940944.000000,251837659.000000,,137854265974.000000
12M 2012,32191725185.000000,539792265866.000000,-464061670815.000000,,,-464061670815.000000,4177031598.000000,-21663875375.000000,-999622202.000000,1282000863.000000,,-26334404750.000000,,32191725185.000000,-24402150252.000000,168161364.000000,,,-23335556627.000000,,,,-1234754989.000000,,,,,,,-24402150252.000000,-95834122826.000000,13449954990.000000,-17032113958.000000,,,-91546184457.000000,-705779401.000000,,,,-95834122826.000000,,-88044547893.000000,137854265974.000000,370644746.000000,,50180362827.000000
12M 2013,31571765591.000000,691392967022.000000,-608862763700.000000,,,-608862763700.000000,1198481062.000000,-19777728355.000000,-1193957849.000000,1448469304.000000,,-32633701893.000000,,31571765591.000000,-13114620187.000000,92545454.000000,,,-12280964441.000000,,,,-926201200.000000,,,,,,,-13114620187.000000,-52085991118.000000,38751017389.000000,-39651530978.000000,,,-38757163920.000000,-12428313609.000000,,,,-52085991118.000000,,-33628845714.000000,50180362827.000000,11853632.000000,,16563370745.000000
12M 2014,25762820842.000000,789489009635.000000,-700270489837.000000,,,-700270489837.000000,570579196.000000,-16346060988.000000,-1423465842.000000,3504527992.000000,,-49761279314.000000,,25762820842.000000,-5160572253.000000,562823273.000000,,,-5704915526.000000,,,,-18480000.000000,,,,,,,-5160572253.000000,-19585830943.000000,23210899668.000000,-25341031839.000000,-298953389.000000,,-9688367980.000000,-7468377403.000000,,,,-19585830943.000000,,1016417646.000000,16563370745.000000,79435364.000000,,17659223755.000000
12M 2015,80061208533.000000,699091143572.000000,,-517647358143.000000,-69402914841.000000,-587050272984.000000,1614941185.000000,-20729430704.000000,-1276300109.000000,2883586659.000000,-1021292061.000000,-13451167025.000000,,80061208533.000000,-30510096187.000000,396445452.000000,,,-30684601639.000000,,,,-221940000.000000,,,,,,,-30510096187.000000,-2922457306.000000,5382434794.000000,-7769630066.000000,-535262034.000000,,,,,,,-2922457306.000000,,46628655040.000000,17659223755.000000,-12008100.000000,,64275870695.000000
12M 2016,63688738725.000000,783764139231.000000,,-597502939847.000000,-85274811266.000000,-682777751113.000000,3234107895.000000,-20320848027.000000,-780144091.000000,,-293034801.000000,-19137730369.000000,,63688738725.000000,-13358424595.000000,661698545.000000,,,-14020123140.000000,,,,,,,,,,,-13358424595.000000,-10536519693.000000,,,,,-4844546490.000000,-5691973203.000000,,,,-10536519693.000000,,39793794437.000000,64275870695.000000,-409276219.000000,,103660388913.000000
12M 2017,88100059088.000000,766624611414.000000,,-557269678662.000000,-69695366134.000000,-626965044796.000000,4372989641.000000,-33389113795.000000,-841638218.000000,,-2217058.000000,-21699528100.000000,,88100059088.000000,-45236088687.000000,136459000.000000,,,-25718580587.000000,,,,-19653967100.000000,,,,,,,-45236088687.000000,-3875637192.000000,,,,,-3875637192.000000,,,,,-3875637192.000000,,38988333209.000000,103689388913.000000,69846331.000000,,142747568453.000000
