Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,38.18,38.18,1.04
12M 2014,52.67,156.34,54.3,154.71,6.93,8.02,2.33,2.27,0.76,0.75,0.52,0.52,-7.74,-7.74,0.84
12M 2015,99.41,280.2,76.44,303.17,3.67,4.56,1.3,1.4,0.48,0.51,0.31,0.33,-4.16,-4.16,0.81
12M 2016,92.8,210.85,72.04,231.61,3.93,3.8,1.73,1.61,0.36,0.36,0.26,0.25,-0.55,-0.55,0.2
12M 2017,156.79,124.44,227.75,53.48,2.33,3.8,2.93,4.28,0.08,0.11,0.05,0.06,-0.06,-0.06,0.03
12M 2018,42.25,222.02,1563.92,-1299.65,8.64,13.52,1.64,2.67,0.02,0.02,0.01,0.01,-0.11,-0.11,0.47
12M 2019,15.4,303.15,394.39,-75.84,23.7,11.33,1.2,0.85,0.1,0.1,0.06,0.07,-2.73,-2.73,0.79
12M 2020,48.69,288.76,241.65,95.8,7.5,7.02,1.26,1.09,0.11,0.11,0.07,0.07,-1.12,-1.12,0.48
12M 2021,33.87,119.02,156.37,-3.48,10.78,9.18,3.07,3.72,0.23,0.24,0.15,0.15,-7.84,-7.84,0.87
12M 2022,26.5,68.74,146.29,-51.05,13.78,13.33,5.31,5.99,0.29,0.29,0.19,0.19,-0.86,-0.86,0.35
12M 2023,25.8,79.31,181.18,-76.07,14.15,10.44,4.6,4.23,0.27,0.27,0.17,0.17,-1.58,-1.58,0.47
12M 2024,20.11,90.71,231.93,-121.11,18.15,9.96,4.02,5.51,0.24,0.24,0.15,0.15,-1.03,-1.03,0.38
