Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(12 B),(17 B),(29 B),-37.08
12M 2014,(16 B),6 B,(10 B),-12.13
12M 2015,(16 B),(0 B),(16 B),0.00
12M 2016,13 B,,13 B,16.01
12M 2017,(22 B),(0 B),(22 B),-27.96
12M 2018,(70 B),(240 B),,-25.62
12M 2019,(55 B),(1 B),(100 B),0.00
12M 2020,(18 B),(31 B),(49 B),-3.65
12M 2021,27 B,(18 B),8 B,0.63
12M 2022,25 B,(19 B),6 B,0.46
12M 2023,26 B,(5 B),21 B,1.92
12M 2024,27 B,(2 B),(2 B),1.87
