Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,,,,0.00
12M 2009,41 B,(22 B),19 B,6.10
12M 2010,24 B,(6 B),18 B,5.85
12M 2011,29 B,(5 B),25 B,8.00
12M 2012,(41 B),(7 B),(48 B),-15.48
12M 2013,(142 B),(37 B),(178 B),-57.51
12M 2014,149 B,(56 B),93 B,29.90
12M 2015,134 B,(23 B),111 B,35.92
12M 2016,(318 B),(60 B),(378 B),-121.83
12M 2017,147 B,(95 B),52 B,16.88
12M 2018,(70 B),(47 B),(117 B),-37.80
12M 2019,21 B,(3 B),18 B,5.87
12M 2020,47 B,(14 B),33 B,10.57
12M 2021,93 B,(21 B),71 B,23.07
12M 2022,(113 B),(13 B),(126 B),-40.67
12M 2023,(194 B),(5 B),(199 B),-64.17
12M 2024,(22 B),(0 B),(22 B),-7.01
