Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,3.10 B,,0.00,0.00,,0.00%,0.00%,0.00%,
12M 2009,3.10 B,0.69,120.29,0.23,,0.29%,0.71%,26.15%,1.30
12M 2010,3.10 B,4.05,19.75,0.24,,1.71%,4.03%,15.91%,2.28
12M 2011,3.10 B,11.91,13.69,0.42,,3.31%,6.06%,18.14%,75.72
12M 2012,3.10 B,13.68,24.12,0.88,,3.57%,6.52%,11.30%,3.98
12M 2013,3.10 B,-17.50,-8.74,0.35,,-4.19%,-9.18%,-4.48%,-1.05
12M 2014,3.10 B,0.38,934.21,0.80,,0.09%,0.20%,7.29%,1.19
12M 2015,3.10 B,2.12,79.25,0.32,,0.43%,1.11%,8.23%,1.35
12M 2016,3.10 B,-5.60,-835.71,8.66,,-1.26%,-3.02%,4.90%,0.64
12M 2017,3.10 B,-14.93,-395.18,11.21,,-3.03%,-8.79%,-0.65%,-0.08
12M 2018,3.10 B,-10.56,-615.53,12.65,58.32 B,-2.27%,-6.59%,4.14%,0.51
12M 2019,3.10 B,2.57,338.52,1.98,69.47 B,0.58%,1.58%,6.42%,1.23
12M 2020,3.10 B,0.01,403000.00,7.28,81.60 B,0.00%,0.01%,6.39%,1.44
12M 2021,3.10 B,-12.13,-183.84,2.38,76.41 B,-1.87%,-7.39%,5.64%,1.20
12M 2022,3.10 B,-138.25,-8.32,3.12,(447.42 B),-27.93%,-496.14%,-63.29%,-12.59
12M 2023,3.10 B,-232.63,-2.49,3.43,(575.82 B),-94.89%,89.66%,-1557.41%,-9.98
12M 2024,3.10 B,-107.93,-1.17,1.86,(234.35 B),-54.11%,29.24%,37.30%,-8.31
