Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan Dan Direksi,Penerimaan (Pembayaran) Pinjaman Karyawan,Pembayaran Kas Untuk Beban Pabrik Dan Beban Usaha,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Dari Asuransi,Pembayaran Uang Muka,Penerimaan Restitusi Dari Pajak,Penerimaan Piutang Hubungan Istimewa,Pembayaran Kewajiban Lain-Lain,Pembayaran Utang Hubungan Istimewa,"Penerimaan Pajak Penghasilan 21, 23 & Ppn",Pembayaran Pajak,Pembayaran Pajak Penghasilan Badan & Pph 22,Pembayaran Pajak Pertambahan Nilai - Net Masukan,Total Pembayaran Pajak,Pembayaran Beban Bunga,Pembayaran Beban Bunga Sewa Guna Usaha,Pembayaran Beban Bank (Impor),Total Pembayaran Beban Bunga,Penerimaan Pendapatan Lain-Lain,Penerimaan (Pembayaran) Beban Operasional Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penghapusan Aset Tetap,Perolehan Aset Tetap,Pencairan Dana Yang Dibatasi Penggunaannya,Penjualan Aset Tetap,Pembayaran Untuk Uang Muka,Penerimaan (Pembayaran) Jaminan,Kenaikan (Penurunan) Beban Yang Ditangguhkan,Selisih Kurs,Penerimaan (Pembayaran) Deposito Jangka Pendek,Penerimaan Bunga Deposito Dan Jasa Giro,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Hubungan Istimewa,Penerimaan (Pembayaran) Pinjaman Jangka Panjang,Tambahan Setoran Modal Entitas Anak,Pembayaran Dividen,Pembayaran Pajak Dividen,Penerimaan Hutang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan Pembiayaan Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,12864211735.000000,73286645751.000000,,-43878710537.000000,,-14000000.000000,-10186912367.000000,-54079622904.000000,,,-2334291526.000000,,,,,,-574468993.000000,-3167899886.000000,-3742368879.000000,,-52786963.000000,-213363744.000000,-266150707.000000,,,,12864211735.000000,-23190994685.000000,,-931825000.000000,,,-205970950.000000,-268500000.000000,,,-23652411200.000000,1867712465.000000,-23190994685.000000,-1782726037.000000,49400282.000000,,,-1612301262.000000,,,-219825057.000000,,,-1782726037.000000,-12109508987.000000,,18377810323.000000,6268301336.000000
12M 2010,3407599706.000000,56708593507.000000,,-26193848268.000000,,32645000.000000,-26037226891.000000,-52198430159.000000,52830753.000000,,,3279465.000000,-12798770.000000,-88605892.000000,265963795.000000,,-935050993.000000,-1060281449.000000,-1995332442.000000,,-57950676.000000,-195441007.000000,-253391683.000000,925491132.000000,,,3407599706.000000,540347862.000000,,-195911300.000000,,,-28634050.000000,31600000.000000,-46033752.000000,,-353592962.000000,1132919926.000000,540347862.000000,-152002557.000000,,,,4622464.000000,,,-156625021.000000,,,-152002557.000000,3795945011.000000,,6268301336.000000,10064246347.000000
12M 2011,-6233946398.000000,57358839790.000000,,-42241012802.000000,-4594202405.000000,-10689000.000000,-13272211581.000000,-60118115788.000000,,-3535282478.000000,574468993.000000,,,,,-386897922.000000,,,-386897922.000000,,-57950676.000000,-85572668.000000,-143523344.000000,16564351.000000,,,-6233946398.000000,1471499139.000000,,-491839646.000000,,,,,,,,1963338785.000000,1471499139.000000,-477333324.000000,,,,,,,-477333324.000000,,,-477333324.000000,-5239780583.000000,39098103.000000,63515190379.000000,58314507899.000000
12M 2012,3340907066.000000,63202848190.000000,,-49169691720.000000,-4622288354.000000,-27054800.000000,-5951005047.000000,-59770039921.000000,,-434767790.000000,285883128.000000,,,,,-75306269.000000,,,-75306269.000000,,-40990842.000000,-123076030.000000,-164066872.000000,296356600.000000,,,3340907066.000000,-6912788906.000000,,-19542637567.000000,7029834581.000000,3356248000.000000,,,,,,2243766080.000000,-6912788906.000000,579876222.000000,,,,,,632084553.000000,-52208331.000000,,,579876222.000000,-2992005618.000000,-277926669.000000,58314507899.000000,55044575612.000000
12M 2013,10276272891.000000,99744333378.000000,,-67775569166.000000,-6714447983.000000,41192401.000000,-13232260785.000000,-87681085533.000000,,-1785761130.000000,255050632.000000,,,,,-80442329.000000,,,-80442329.000000,,-61591141.000000,-114230986.000000,-175822127.000000,,,,10276272891.000000,-16064713943.000000,13125000.000000,-19783237973.000000,2841488892.000000,,,,,,,863910138.000000,-16064713943.000000,227109141.000000,,,,,,580859979.000000,-353750838.000000,,,227109141.000000,-5561331911.000000,11081501920.000000,55044575611.000000,60564745620.000000
12M 2014,-7581339094.000000,108521862385.000000,,-99463793902.000000,-8601939553.000000,-59591365.000000,-5753382714.000000,-113878707534.000000,,-1638143314.000000,43443492.000000,,,,,-389341903.000000,,,-389341903.000000,,-75635154.000000,-164817066.000000,-240452220.000000,,,,-7581339094.000000,-8507936779.000000,,-11833471741.000000,,2454895455.000000,,,,,,870639507.000000,-8507936779.000000,-353639546.000000,,,,,,203723909.000000,-557363455.000000,,,-353639546.000000,-16442915419.000000,-808648425.000000,60564745621.000000,43313181777.000000
12M 2015,25782575358.000000,127928765334.000000,,-86591437782.000000,-10376268701.000000,,,-96967706483.000000,,,,,,,,-1926211802.000000,,,-1926211802.000000,,-66176048.000000,-3186095643.000000,-3252271691.000000,,,,25782575358.000000,-7766823861.000000,,-3703620113.000000,-4873622088.000000,,,,,,,810418340.000000,-7766823861.000000,50670048.000000,,,,,,710100000.000000,-659429952.000000,,,50670048.000000,18066421545.000000,192018754.000000,43313181777.000000,61571622076.000000
12M 2016,-8289910044.000000,155739645428.000000,,-145972629774.000000,-9016733261.000000,,,-154989363035.000000,,-3676323756.000000,,,,,,-3003783211.000000,,,-3003783211.000000,-356730905.000000,,,-356730905.000000,,-2003354565.000000,,-8289910044.000000,-10193023340.000000,,-2619338745.000000,-8665237597.000000,376000000.000000,,,,,,715553002.000000,-10193023340.000000,-860548588.000000,,,,-1798233459.000000,,1923500000.000000,-985815129.000000,,,-860548588.000000,-19343481972.000000,-504852453.000000,61571622076.000000,41723287651.000000
12M 2017,12507667355.000000,247555950222.000000,,-213319374702.000000,-13008141282.000000,,,-226327515984.000000,,-2212135661.000000,,,,,,-5929554922.000000,,,-5929554922.000000,-769538305.000000,,,-769538305.000000,,190462005.000000,,12507667355.000000,-7891943880.000000,,-8751515700.000000,74876691.000000,146437756.000000,,,,,,638257373.000000,-7891943880.000000,1707062282.000000,,,1700000000.000000,,,956623765.000000,-949561483.000000,,,1707062282.000000,6322785757.000000,109918212.000000,41723287651.000000,48155991620.000000
12M 2018,12092574806.000000,357045652931.000000,,-317971291087.000000,-19955173043.000000,,,-337926464130.000000,,-944057734.000000,,,,,,-7900976627.000000,,,-7900976627.000000,-801060336.000000,,,-801060336.000000,,2619480702.000000,,12092574806.000000,-9574809651.000000,,-8804733505.000000,-1387249204.000000,,,,,,,617173058.000000,-9574809651.000000,-1517016044.000000,,,,-1097641282.000000,,648398985.000000,-1067773747.000000,,,-1517016044.000000,1000749111.000000,367428888.000000,48155991620.000000,49524169619.000000
