Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,69796215762.000000,-53840775932.000000,15955439830.000000,-12050562367.000000,-3381114096.000000,-8669448271.000000,,-12050562367.000000,3904877463.000000,-13427267052.000000,1867712465.000000,-13874754766.000000,-213363744.000000,-1206861007.000000,-13427267052.000000,-9522389589.000000,842341705.000000,,842341705.000000,842341705.000000,-8680047884.000000,,,-8680047884.000000,-8680047884.000000,,-8680047884.000000,,,,
12M 2010,48454309815.000000,-41870245530.000000,6584064285.000000,-24350747729.000000,-3160237733.000000,-21190509996.000000,,-24350747729.000000,-17766683444.000000,-3758447221.000000,1132919926.000000,-5621417272.000000,-195441007.000000,925491132.000000,-3758447221.000000,-21525130665.000000,966449464.000000,,966449464.000000,966449464.000000,-20558681201.000000,,,-20558681201.000000,-20558681201.000000,,-20558681201.000000,,,,
12M 2011,50278008437.000000,-45233491659.000000,5044516778.000000,-17470285341.000000,-3034677656.000000,-14435607685.000000,,-17470285341.000000,-12425768563.000000,-5186848616.000000,1963338785.000000,-3158764394.000000,-143523344.000000,-3847899663.000000,-5186848616.000000,-17612617179.000000,442855752.000000,,442855752.000000,442855752.000000,-17169761427.000000,,-17169761427.000000,-17169761427.000000,-17169761427.000000,,-17169761427.000000,-17169761427.000000,-17169761427.000000,,-17169761427.000000
12M 2012,64628362916.000000,-55841016923.000000,8787345993.000000,-6650573558.000000,-2827055761.000000,-6740103803.000000,2916586006.000000,-6650573558.000000,2136772435.000000,2441580303.000000,2605647175.000000,,-164066872.000000,,2441580303.000000,4578352738.000000,-134511874.000000,,-134511874.000000,-134511874.000000,4443840864.000000,,4443840864.000000,4443840864.000000,4443840864.000000,,4443840864.000000,4443840864.000000,4443840864.000000,,4443840864.000000
12M 2013,81244267131.000000,-63381341326.000000,17862925805.000000,-8182881219.000000,-3206463049.000000,-8378821090.000000,3402402920.000000,-8182881219.000000,9680044586.000000,1010770794.000000,1186592921.000000,,-175822127.000000,,1010770794.000000,10690815380.000000,-359007284.000000,,-359007284.000000,-359007284.000000,10331808096.000000,,10331808096.000000,10331808096.000000,10331808096.000000,,10331808096.000000,10331808096.000000,10331808096.000000,,10331808096.000000
12M 2014,110023088698.000000,-86309154555.000000,23713934143.000000,-13115644084.000000,-4787415931.000000,-12817457213.000000,4489229060.000000,-13115644084.000000,10598290059.000000,760470660.000000,1000922880.000000,,-240452220.000000,,760470660.000000,11358760719.000000,-330539707.000000,,-330539707.000000,-330539707.000000,11028221012.000000,,11028221012.000000,11028221012.000000,11028221012.000000,,11028221012.000000,11028221012.000000,11028221012.000000,,11028221012.000000
12M 2015,136668408270.000000,-103276421100.000000,33391987170.000000,-14732585553.000000,-7921096235.000000,-14558142953.000000,7746653635.000000,-14732585553.000000,18659401617.000000,561240249.000000,810418340.000000,,-249178091.000000,,561240249.000000,19220641866.000000,-2259981843.000000,-1014049500.000000,-1245932343.000000,-2259981843.000000,16960660023.000000,663254373.000000,17623914396.000000,16960660023.000000,16960660023.000000,,16960660023.000000,17623914396.000000,17623914396.000000,,17623914396.000000
12M 2016,176067561639.000000,-133771586731.000000,42295974908.000000,-29360368910.000000,-12053064364.000000,-15044730399.000000,-2262574147.000000,-29360368910.000000,12935605998.000000,359142097.000000,715553002.000000,,-356410905.000000,,359142097.000000,13294748095.000000,-3305911836.000000,-2856349500.000000,-449562336.000000,-3305911836.000000,9988836259.000000,80596673055.000000,90585509314.000000,9988836259.000000,9988836259.000000,,9988836259.000000,90585509314.000000,90585509314.000000,,90585509314.000000
12M 2017,269706737385.000000,-209449833745.000000,60256903640.000000,-38048155362.000000,-16564384105.000000,-21175896825.000000,-307874432.000000,-38048155362.000000,22208748278.000000,-131280933.000000,638257372.000000,,-769538305.000000,,-131280933.000000,22077467345.000000,-5523195214.000000,-5699379500.000000,176184286.000000,-5523195214.000000,16554272131.000000,7179090262.000000,23733362393.000000,16554272131.000000,16577757960.000000,-23485829.000000,16554272131.000000,23733362393.000000,23756848222.000000,-23485829.000000,23733362393.000000
12M 2018,367961600950.000000,-300962145338.000000,66999455612.000000,-44775151062.000000,-18354213134.000000,-29113167416.000000,2692229488.000000,-44775151062.000000,22224304550.000000,-183887278.000000,617173058.000000,,-801060336.000000,,-183887278.000000,22040417272.000000,-5364743569.000000,-6182892000.000000,818148431.000000,-5364743569.000000,16675673703.000000,35995806776.000000,52671480479.000000,16675673703.000000,16682636281.000000,-6962578.000000,16675673703.000000,52671480479.000000,52678443057.000000,-6962578.000000,52671480479.000000
12M 2019,381433524206.000000,-317303154075.000000,64130370131.000000,-46580398484.000000,-17076638470.000000,-28678046202.000000,-825713812.000000,-46580398484.000000,17549971647.000000,487091125.000000,1142230762.000000,,-655139637.000000,,487091125.000000,18037062772.000000,-4225326149.000000,-5121591000.000000,896264851.000000,-4225326149.000000,13811736623.000000,6357634552.000000,20169371175.000000,13811736623.000000,13812970941.000000,-1234318.000000,13811736623.000000,20169371175.000000,20170605493.000000,-1234318.000000,20169371175.000000
