Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Pajak Tangguhan,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,166107000.000000,,63566000.000000,,63566000.000000,63566000.000000,7609000.000000,,,7609000.000000,147015000.000000,100314000.000000,484611000.000000,,,1336122000.000000,22453000.000000,1358575000.000000,1843186000.000000,,,101706000.000000,,5527000.000000,38972000.000000,44499000.000000,35276000.000000,5740000.000000,,5740000.000000,,6017000.000000,10174000.000000,,101706000.000000,220596000.000000,,1708000.000000,179569000.000000,,39319000.000000,220596000.000000,322302000.000000,,136413000.000000,277760000.000000,1079836000.000000,5342000.000000,1074494000.000000,1079836000.000000,,26875000.000000,1520884000.000000,1843186000.000000,9936338720.000000
12M 2009,,,261050000.000000,,97752000.000000,,97752000.000000,97752000.000000,8310000.000000,,,8310000.000000,117649000.000000,144475000.000000,629236000.000000,,,1379103000.000000,29661000.000000,1408764000.000000,2038000000.000000,,,86962000.000000,,4307000.000000,28597000.000000,32904000.000000,29969000.000000,8712000.000000,,8712000.000000,,1708000.000000,13669000.000000,,86962000.000000,369732000.000000,150000000.000000,,182762000.000000,,36970000.000000,369732000.000000,456694000.000000,,136413000.000000,277760000.000000,1142789000.000000,5342000.000000,1137447000.000000,1142789000.000000,,24344000.000000,1581306000.000000,2038000000.000000,9936338720.000000
12M 2010,,,404129000.000000,,124061000.000000,,124061000.000000,124061000.000000,10893000.000000,,,10893000.000000,101986000.000000,71837000.000000,712906000.000000,,,1464508000.000000,12821000.000000,1477329000.000000,2190235000.000000,,,158097000.000000,,8556000.000000,32864000.000000,41420000.000000,43069000.000000,49416000.000000,,49416000.000000,,,24192000.000000,,158097000.000000,352298000.000000,140561000.000000,,171931000.000000,,39806000.000000,352298000.000000,510395000.000000,,136413000.000000,277760000.000000,1248813000.000000,5342000.000000,1243471000.000000,1248813000.000000,,16854000.000000,1679840000.000000,2190235000.000000,9936338720.000000
12M 2011,,,399155000.000000,,66013000.000000,,66013000.000000,66013000.000000,9328000.000000,,,9328000.000000,163271000.000000,142755000.000000,780522000.000000,,,1579351000.000000,61489000.000000,1640840000.000000,2421362000.000000,,,178818000.000000,,6427000.000000,77724000.000000,84151000.000000,36006000.000000,6487000.000000,,6487000.000000,37500000.000000,,14674000.000000,,178818000.000000,473375000.000000,254653000.000000,,167191000.000000,,51531000.000000,473375000.000000,652193000.000000,,136413000.000000,277760000.000000,1342355000.000000,5342000.000000,1337013000.000000,1342355000.000000,,12641000.000000,1769169000.000000,2421362000.000000,9936338720.000000
12M 2012,,,172239000.000000,,112640000.000000,,112640000.000000,112640000.000000,,,,,152849000.000000,127162000.000000,564890000.000000,,,1624571000.000000,143619000.000000,1768190000.000000,2333080000.000000,,,165665000.000000,,10888000.000000,68171000.000000,79059000.000000,31614000.000000,4654000.000000,,4654000.000000,35643000.000000,,1422000.000000,13273000.000000,165665000.000000,445981000.000000,219991000.000000,,162005000.000000,,63985000.000000,445981000.000000,611646000.000000,,136413000.000000,277760000.000000,1307261000.000000,12925000.000000,1294336000.000000,1307261000.000000,,,1721434000.000000,2333080000.000000,9936338720.000000
12M 2013,,,200020000.000000,,65902000.000000,,65902000.000000,65902000.000000,,,,,150996000.000000,140577000.000000,557495000.000000,,,1651762000.000000,71862000.000000,1723624000.000000,2281119000.000000,,,168900000.000000,,11211000.000000,64304000.000000,75515000.000000,29972000.000000,6905000.000000,,6905000.000000,35863000.000000,,3220000.000000,17425000.000000,168900000.000000,397953000.000000,183252000.000000,,157302000.000000,,57399000.000000,397953000.000000,566853000.000000,,136413000.000000,277760000.000000,1300093000.000000,47713000.000000,1252380000.000000,1300093000.000000,,,1714266000.000000,2281119000.000000,9936338720.000000
12M 2014,,,302256000.000000,,92706000.000000,,92706000.000000,92706000.000000,,,,,139287000.000000,87185000.000000,621434000.000000,,,1608523000.000000,104233000.000000,1712756000.000000,2334190000.000000,,,208390000.000000,,6147000.000000,68067000.000000,74214000.000000,32030000.000000,41845000.000000,,41845000.000000,35979000.000000,,3066000.000000,21256000.000000,208390000.000000,340447000.000000,146617000.000000,,133644000.000000,,60186000.000000,340447000.000000,548837000.000000,,136413000.000000,277760000.000000,1371180000.000000,45534000.000000,1325646000.000000,1371180000.000000,,,1785353000.000000,2334190000.000000,9936338720.000000
12M 2015,,,194754000.000000,90154000.000000,78200000.000000,,78200000.000000,78200000.000000,,,,,104066000.000000,132787000.000000,599961000.000000,,,1603302000.000000,85898000.000000,1689200000.000000,2289161000.000000,,,148499000.000000,,8712000.000000,76924000.000000,85636000.000000,16802000.000000,1806000.000000,,1806000.000000,36219000.000000,,2260000.000000,5776000.000000,148499000.000000,306705000.000000,109858000.000000,,124780000.000000,,72067000.000000,306705000.000000,455204000.000000,,136413000.000000,277760000.000000,1419784000.000000,27283000.000000,1392501000.000000,1419784000.000000,,,1833957000.000000,2289161000.000000,9936338720.000000
12M 2016,,,185560000.000000,,146616000.000000,,146616000.000000,146616000.000000,,,,,129796000.000000,137182000.000000,599154000.000000,,,1532653000.000000,93685000.000000,1626338000.000000,2225492000.000000,,,131989000.000000,,6537000.000000,57737000.000000,64274000.000000,16542000.000000,1490000.000000,,1490000.000000,36462000.000000,,1248000.000000,11973000.000000,131989000.000000,258914000.000000,73095000.000000,,115964000.000000,,69855000.000000,258914000.000000,390903000.000000,,136413000.000000,277760000.000000,1420416000.000000,27283000.000000,1393133000.000000,1420416000.000000,,,1834589000.000000,2225492000.000000,9936338720.000000
12M 2017,,,221699000.000000,,165577000.000000,,165577000.000000,165577000.000000,,,,,117726000.000000,92054000.000000,597056000.000000,,,1493789000.000000,93714000.000000,1587503000.000000,2184559000.000000,,,129300000.000000,,2913000.000000,58027000.000000,60940000.000000,14722000.000000,1538000.000000,,1538000.000000,36743000.000000,,1638000.000000,13719000.000000,129300000.000000,235892000.000000,36295000.000000,,105392000.000000,,94205000.000000,235892000.000000,365192000.000000,,136413000.000000,277760000.000000,1405194000.000000,27283000.000000,1377911000.000000,1405194000.000000,,,1819367000.000000,2184559000.000000,9936338720.000000
12M 2018,,,301153000.000000,,124248000.000000,,124248000.000000,124248000.000000,,,,,131779000.000000,73818000.000000,630998000.000000,,,1434510000.000000,136944000.000000,1571454000.000000,2202452000.000000,,,175340000.000000,,1620000.000000,89561000.000000,91181000.000000,25599000.000000,2900000.000000,,2900000.000000,36519000.000000,,1276000.000000,17865000.000000,175340000.000000,143385000.000000,,,90674000.000000,,52711000.000000,143385000.000000,318725000.000000,,136413000.000000,277760000.000000,1469554000.000000,27283000.000000,1442271000.000000,1469554000.000000,,,1883727000.000000,2202452000.000000,9936338720.000000
12M 2019,,,249035000.000000,,107295000.000000,,107295000.000000,107295000.000000,,,,,147961000.000000,84022000.000000,588313000.000000,,,1467462000.000000,166913000.000000,1634375000.000000,2222688000.000000,,,136552000.000000,,2071000.000000,95337000.000000,97408000.000000,16327000.000000,,1774000.000000,1774000.000000,,,3753000.000000,17290000.000000,136552000.000000,144443000.000000,,,80490000.000000,,63953000.000000,144443000.000000,280995000.000000,,136413000.000000,277760000.000000,1527520000.000000,27283000.000000,1500237000.000000,1527520000.000000,,,1941693000.000000,2222688000.000000,9936338720.000000
12M 2020,,,388682000.000000,,60040000.000000,,60040000.000000,60040000.000000,,,,,144487000.000000,102763000.000000,695972000.000000,,,1479146000.000000,139540000.000000,1618686000.000000,2314658000.000000,,,160710000.000000,,140000.000000,112955000.000000,113095000.000000,22105000.000000,,1793000.000000,1793000.000000,,,2398000.000000,21319000.000000,160710000.000000,133560000.000000,,,50171000.000000,,83389000.000000,133560000.000000,294270000.000000,,136413000.000000,277760000.000000,1606205000.000000,27283000.000000,1578922000.000000,1606205000.000000,10000.000000,,2020388000.000000,2314658000.000000,9936338720.000000
12M 2021,,,508327000.000000,,101987000.000000,,101987000.000000,101987000.000000,,,,,162023000.000000,64239000.000000,836576000.000000,,,1518963000.000000,117289000.000000,1636252000.000000,2472828000.000000,,,168430000.000000,,135000.000000,122109000.000000,122244000.000000,19842000.000000,,1973000.000000,1973000.000000,,,1266000.000000,23105000.000000,168430000.000000,149937000.000000,,,42810000.000000,,107127000.000000,149937000.000000,318367000.000000,,136413000.000000,277760000.000000,1740278000.000000,27283000.000000,1712995000.000000,1740278000.000000,10000.000000,,2154461000.000000,2472828000.000000,9936338720.000000
12M 2022,,,634042000.000000,,141377000.000000,,141377000.000000,141377000.000000,,,,,155753000.000000,58630000.000000,989802000.000000,,,1549857000.000000,118457000.000000,1668314000.000000,2658116000.000000,,,175039000.000000,,298000.000000,115296000.000000,115594000.000000,27772000.000000,,2407000.000000,2407000.000000,,,739000.000000,28527000.000000,175039000.000000,128297000.000000,,,24891000.000000,,103406000.000000,128297000.000000,303336000.000000,,136413000.000000,277760000.000000,1940597000.000000,27283000.000000,1913314000.000000,1940597000.000000,10000.000000,,2354780000.000000,2658116000.000000,9936338720.000000
12M 2023,,,698795000.000000,,101813000.000000,,101813000.000000,101813000.000000,,,,,155946000.000000,76565000.000000,1033119000.000000,,12410000.000000,1695531000.000000,184939000.000000,1892880000.000000,2925999000.000000,,,216727000.000000,,312000.000000,140515000.000000,140827000.000000,33843000.000000,,2821000.000000,2821000.000000,,,2091000.000000,37145000.000000,216727000.000000,144735000.000000,,,19603000.000000,4877000.000000,120255000.000000,144735000.000000,361462000.000000,,136413000.000000,277760000.000000,2150364000.000000,27283000.000000,2123081000.000000,2150364000.000000,,,2564537000.000000,2925999000.000000,9936338720.000000
12M 2024,,,674690000.000000,,84402000.000000,,84402000.000000,84402000.000000,,,,,148550000.000000,97132000.000000,1004774000.000000,,,1975092000.000000,196662000.000000,2171754000.000000,3176528000.000000,,,263471000.000000,,239000.000000,170486000.000000,170725000.000000,56061000.000000,,4287000.000000,4287000.000000,,,1732000.000000,30666000.000000,263471000.000000,180281000.000000,,,5660000.000000,6220000.000000,168401000.000000,180281000.000000,443752000.000000,,144698000.000000,380882000.000000,2207196000.000000,27283000.000000,2179913000.000000,2207196000.000000,,,2732776000.000000,3176528000.000000,10539784534.000000
