Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba Dari Ventura Bersama,Keuntungan Atas Penjualan Entitas Anak,Keuntungan Atas Penjualan Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,553813876.000000,-509675405.000000,44138471.000000,-35975735.000000,-28749990.000000,-7225745.000000,-35975735.000000,8162736.000000,-8099497.000000,,-9242208.000000,329087.000000,2735852.000000,,,,-1922228.000000,-8099497.000000,63239.000000,7344922.000000,7408161.000000,,7408161.000000,,,,,7408161.000000,7408161.000000,,7408161.000000,,,,
12M 2009,489948089.000000,-458704762.000000,31243327.000000,-27135532.000000,-20507135.000000,-6628397.000000,-27135532.000000,4107795.000000,-2186959.000000,,-6386335.000000,1780723.000000,1481361.000000,,,,937292.000000,-2186959.000000,1920836.000000,9440490.000000,11361326.000000,,11361326.000000,,,,,11361326.000000,11361326.000000,,11361326.000000,,,,
12M 2010,616937701.000000,-553856925.000000,63080776.000000,-36104326.000000,-27230494.000000,-8873832.000000,-36104326.000000,26976450.000000,3997316.000000,,-1967808.000000,4254682.000000,495858.000000,,,,1214584.000000,3997316.000000,30973766.000000,-5096856.000000,25876910.000000,48143.000000,25925053.000000,,,,,25925053.000000,25876910.000000,48143.000000,25925053.000000,,,,
12M 2011,780555374.000000,-738917468.000000,41637906.000000,-34563249.000000,-22965085.000000,-11598164.000000,-34563249.000000,7074657.000000,4817363.000000,,-2112148.000000,4124022.000000,967829.000000,,,,1837660.000000,4817363.000000,11892020.000000,-2474649.000000,9417371.000000,,9417371.000000,2579062.000000,2579062.000000,2579062.000000,11996433.000000,9417371.000000,10333133.000000,-915762.000000,9417371.000000,11996433.000000,12761750.000000,-765317.000000,11996433.000000
12M 2012,745017744.000000,-695225997.000000,49791747.000000,-36539607.000000,-25221487.000000,-11318120.000000,-36539607.000000,13252140.000000,-9607267.000000,-7500352.000000,-2065039.000000,-1197324.000000,828135.000000,,,,327313.000000,-9607267.000000,3644873.000000,-2681696.000000,963177.000000,,963177.000000,3622057.000000,3622057.000000,3622057.000000,4585234.000000,963177.000000,1380157.000000,-416980.000000,963177.000000,4585234.000000,5171765.000000,-586531.000000,4585234.000000
12M 2013,758439121.000000,-694428420.000000,64010701.000000,-40402268.000000,-26203043.000000,-14199225.000000,-40402268.000000,23608433.000000,-19486891.000000,-11664639.000000,-2619773.000000,-6164877.000000,478805.000000,,,,483593.000000,-19486891.000000,4121542.000000,-2486430.000000,1635112.000000,,1635112.000000,2452947.000000,2452947.000000,2452947.000000,4088059.000000,1635112.000000,1190722.000000,444390.000000,1635112.000000,4088059.000000,3643669.000000,444390.000000,4088059.000000
12M 2014,726082150.000000,-650841539.000000,75240611.000000,-46479252.000000,-34132477.000000,-12346775.000000,-46479252.000000,28761359.000000,-20923022.000000,-18327184.000000,-4490044.000000,-14066.000000,634270.000000,,,,1274002.000000,-20923022.000000,7838337.000000,-3799697.000000,4038640.000000,,4038640.000000,2723206.000000,2723206.000000,2723206.000000,6761846.000000,4038640.000000,3300700.000000,737940.000000,4038640.000000,6761846.000000,6023906.000000,737940.000000,6761846.000000
12M 2015,682041230.000000,-620019405.000000,62021825.000000,-50303763.000000,-28106815.000000,-22196948.000000,-50303763.000000,11718062.000000,-22732549.000000,-9604319.000000,-5536215.000000,-8129770.000000,368907.000000,,,,168848.000000,-22732549.000000,-11014487.000000,21122620.000000,10108133.000000,,10108133.000000,3218293.000000,3218293.000000,3218293.000000,13326426.000000,10108133.000000,9837770.000000,270363.000000,10108133.000000,13326426.000000,13056063.000000,270363.000000,13326426.000000
12M 2016,691758965.000000,-626717582.000000,65041383.000000,-43267539.000000,-27547518.000000,-15720021.000000,-43267539.000000,21773844.000000,-15410996.000000,-8408288.000000,-10226947.000000,728702.000000,154116.000000,,,,2341421.000000,-15410996.000000,6362848.000000,-4906106.000000,1456742.000000,,1456742.000000,1001163.000000,1001163.000000,1001163.000000,2457905.000000,1456742.000000,1320005.000000,136737.000000,1456742.000000,2457905.000000,2321168.000000,136737.000000,2457905.000000
12M 2017,777925055.000000,-688982414.000000,88942641.000000,-47851568.000000,-32426928.000000,-15424640.000000,-47851568.000000,41091073.000000,-29211178.000000,-17407620.000000,-10170530.000000,-3619626.000000,228854.000000,,,,1757744.000000,-29211178.000000,11879895.000000,-9620794.000000,2259101.000000,,2259101.000000,-904363.000000,-904363.000000,-904363.000000,1354738.000000,2259101.000000,2032907.000000,226194.000000,2259101.000000,1354738.000000,1128544.000000,226194.000000,1354738.000000
12M 2018,839454360.000000,-748987313.000000,90467047.000000,-42470723.000000,-28404008.000000,-14066715.000000,-42470723.000000,47996324.000000,23346819.000000,227850.000000,-7768431.000000,-3450658.000000,256529.000000,,,33231989.000000,849540.000000,23346819.000000,71343143.000000,-8975800.000000,62367343.000000,,62367343.000000,784873.000000,784873.000000,784873.000000,63152216.000000,62367343.000000,61784333.000000,583010.000000,62367343.000000,63152216.000000,62569206.000000,583010.000000,63152216.000000
