Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Others,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Liabilitas Keuangan Lainnya,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Keuangan Lainnya,Utang Pajak,Others,Total Utang Pajak,Utang Dari Pihak Berelasi,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,16057981500.000000,156492037319.000000,125755923.000000,156366281396.000000,156492037319.000000,419959338.000000,,419959338.000000,419959338.000000,474910030866.000000,35129267397.000000,683009276420.000000,,206098188593.000000,,12143951506.000000,16976313354.000000,235218453453.000000,,918227729873.000000,,,635364486692.000000,294843750000.000000,,294843750000.000000,,210116366870.000000,683705450.000000,210800072320.000000,,,,,4094131226.000000,,4094131226.000000,,70082817499.000000,,17027668332.000000,22611983873.000000,648940407.000000,40288592612.000000,15255123035.000000,635364486692.000000,174067781480.000000,773493563.000000,,1472222224.000000,158359931104.000000,943282092.000000,160775435420.000000,8303907327.000000,4214945170.000000,174067781480.000000,809432268172.000000,,37500000000.000000,1500000000.000000,49837365395.000000,,,49837365395.000000,120503776.000000,19837592530.000000,108795461701.000000,918227729873.000000,37500000.000000
12M 2009,,,33208570532.000000,89359617081.000000,82604946.000000,89277012135.000000,89359617081.000000,399224880.000000,22626881.000000,376597999.000000,399224880.000000,251898995584.000000,38345034463.000000,413211442540.000000,,183494257296.000000,,8336408383.000000,16098314890.000000,207928980569.000000,,621140423109.000000,,,324809651526.000000,212750000000.000000,,212750000000.000000,,24481304034.000000,471614780.000000,24952918814.000000,,,,,8560845803.000000,,8560845803.000000,,43592169290.000000,,883333332.000000,17549900840.000000,633788273.000000,19067022445.000000,15886695174.000000,324809651526.000000,130644372627.000000,,,588888892.000000,117072865476.000000,309493819.000000,117971248187.000000,7785281191.000000,4887843249.000000,130644372627.000000,455454024153.000000,,37500000000.000000,1500000000.000000,106728302650.000000,,,106728302650.000000,120503776.000000,19837592530.000000,165686398956.000000,621140423109.000000,37500000.000000
12M 2010,,,13540454338.000000,164028933203.000000,85725519.000000,163943207684.000000,164028933203.000000,1576710539.000000,13410743.000000,1563299796.000000,1576710539.000000,317944029510.000000,33396941565.000000,530487069155.000000,,184785568045.000000,,1458866195.000000,53877778208.000000,240122212448.000000,,770609281603.000000,,,412295791764.000000,255000000000.000000,,255000000000.000000,,43516584438.000000,764596127.000000,44281180565.000000,,,,,3672796581.000000,,3672796581.000000,15000000000.000000,9996249568.000000,,62123122063.000000,4760689908.000000,309493819.000000,67193305790.000000,17152259260.000000,412295791764.000000,130892735951.000000,,,96812702508.000000,20111789573.000000,,116924492081.000000,7883776421.000000,6084467449.000000,130892735951.000000,543188527715.000000,,37500000000.000000,1500000000.000000,188300250112.000000,,,188300250112.000000,120503776.000000,,227420753888.000000,770609281603.000000,37500000.000000
12M 2011,,,110489365559.000000,225910266042.000000,2912108867.000000,222998157175.000000,225910266042.000000,1058317121.000000,27316032.000000,1031001089.000000,1058317121.000000,427589790558.000000,28858869663.000000,793906608943.000000,,340926079186.000000,245302170.000000,,4637266455.000000,345808647811.000000,,1139715256754.000000,,,330238723110.000000,230000000000.000000,,230000000000.000000,,26466258382.000000,2506022468.000000,28972280850.000000,,,,,5066120773.000000,,5066120773.000000,,6682048425.000000,,52695111104.000000,5041695360.000000,,57736806464.000000,1781466598.000000,330238723110.000000,177227480414.000000,,,144129866974.000000,16257216800.000000,,160387083774.000000,9370705309.000000,7469691331.000000,177227480414.000000,507466203524.000000,,225000000000.000000,97522380722.000000,307449507422.000000,,307449507422.000000,307449507422.000000,2277165086.000000,,632249053230.000000,1139715256754.000000,225000000.000000
12M 2012,,,66142222074.000000,239653643789.000000,1188476702.000000,238465167087.000000,239653643789.000000,,,,,528533039343.000000,33291247828.000000,867620153034.000000,,756098496460.000000,21994964529.000000,,19065744192.000000,797159205181.000000,,1664779358215.000000,,,371743866089.000000,205000000000.000000,,205000000000.000000,,61043398646.000000,3327583226.000000,64370981872.000000,,,,,,6989899278.000000,6989899278.000000,,6654479417.000000,,70484810460.000000,15641392263.000000,,86126202723.000000,2602302799.000000,371743866089.000000,156462630297.000000,,,80248880136.000000,109221583.000000,,80358101719.000000,66009845574.000000,10094683004.000000,156462630297.000000,528206496386.000000,,315000000000.000000,7522380722.000000,404630672971.000000,,404630672971.000000,404630672971.000000,6480449787.000000,402939358349.000000,1136572861829.000000,1664779358215.000000,315000000.000000
12M 2013,,,321719045963.000000,309563107747.000000,288821049325.000000,20742058422.000000,309563107747.000000,140000000.000000,140000000.000000,,140000000.000000,383515708536.000000,71652916805.000000,1086590779051.000000,,1061634892140.000000,28369601617.000000,,19923091665.000000,1109927585422.000000,,2196518364473.000000,,,281799219289.000000,175000000000.000000,,175000000000.000000,,37288137561.000000,8042814418.000000,45330951979.000000,37033575.000000,,,37033575.000000,,6716155774.000000,6716155774.000000,,8327287769.000000,,42149389932.000000,60708770.000000,,42210098702.000000,4177691490.000000,281799219289.000000,161853530676.000000,,,52072052409.000000,48512813.000000,,52120565222.000000,98126270761.000000,11606694693.000000,161853530676.000000,443652749965.000000,,525000000000.000000,151981830048.000000,401692803553.000000,881165549.000000,400811638004.000000,401692803553.000000,9546601104.000000,664644379803.000000,1752865614508.000000,2196518364473.000000,525000000.000000
12M 2014,,,84727497525.000000,339238666166.000000,322645814625.000000,16592851541.000000,339238666166.000000,74675000.000000,74675000.000000,,74675000.000000,478330720924.000000,73582673006.000000,975954232621.000000,,1247324580729.000000,28074327876.000000,,31312937267.000000,1306711845872.000000,,2282666078493.000000,,,335123443360.000000,220847769838.000000,,220847769838.000000,,40249599061.000000,12940231519.000000,53189830580.000000,979694837.000000,,,979694837.000000,,8291036722.000000,8291036722.000000,5060000.000000,7973945569.000000,,40184643659.000000,48512813.000000,,40233156472.000000,3602949342.000000,335123443360.000000,119224083256.000000,,,12635660000.000000,,,12635660000.000000,91886465022.000000,14701958234.000000,119224083256.000000,454347526616.000000,,656249710000.000000,20732120048.000000,476903748244.000000,20000000000.000000,456903748244.000000,476903748244.000000,10570356282.000000,663862617303.000000,1828318551877.000000,2282666078493.000000,656249710.000000
12M 2015,,,83992495928.000000,311321676826.000000,295404445756.000000,15917231070.000000,311321676826.000000,90507862.000000,90507862.000000,,90507862.000000,538841439260.000000,58683104182.000000,992929224058.000000,,1447374645310.000000,62048570748.000000,6238940496.000000,45336965607.000000,1560999122161.000000,,2553928346219.000000,,,445006853182.000000,238500000000.000000,,238500000000.000000,,123196382973.000000,31365913947.000000,154562296920.000000,7797943722.000000,,,7797943722.000000,,4281784000.000000,4281784000.000000,,8629804901.000000,,13482535000.000000,,14117670102.000000,27600205102.000000,3634818537.000000,445006853182.000000,189882575049.000000,,,,,59699668880.000000,59699668880.000000,105013262044.000000,25169644125.000000,189882575049.000000,634889428231.000000,,656249710000.000000,20732120048.000000,445385650318.000000,20000000000.000000,425385650318.000000,445385650318.000000,12277141880.000000,784394295742.000000,1919038917988.000000,2553928346219.000000,656249710.000000
12M 2016,,,210911095192.000000,296007139375.000000,272872368439.000000,23134770936.000000,296007139375.000000,10383754925.000000,10383754925.000000,,10383754925.000000,424025407793.000000,40366706360.000000,981694103645.000000,,1361197258506.000000,63189703245.000000,16424026374.000000,54767410768.000000,1495578398893.000000,,2477272502538.000000,,,323699362103.000000,214519232555.000000,,214519232555.000000,,44945480696.000000,29561658646.000000,74507139342.000000,,788716762.000000,199462479.000000,988179241.000000,,4753322916.000000,4753322916.000000,,10395496352.000000,,,,15804334269.000000,15804334269.000000,2731657428.000000,323699362103.000000,85509262804.000000,,,,,43794776865.000000,43794776865.000000,10573951655.000000,31140534284.000000,85509262804.000000,409208624907.000000,,656249710000.000000,24965138576.000000,493491067744.000000,20500000000.000000,472991067744.000000,493491067744.000000,13062662101.000000,880295299210.000000,2068063877631.000000,2477272502538.000000,656249710.000000
12M 2017,,,280516388373.000000,350020278334.000000,331613321002.000000,18406957332.000000,350020278334.000000,261448000.000000,261448000.000000,,261448000.000000,358303759533.000000,55076111395.000000,1044177985635.000000,,1238823067843.000000,60522785687.000000,13638445975.000000,77455052709.000000,1390439352214.000000,,2434617337849.000000,,,203724817070.000000,35000000000.000000,,35000000000.000000,,63542095622.000000,56390852814.000000,119932948436.000000,,1514134560.000000,211504516.000000,1725639076.000000,,13744930377.000000,13744930377.000000,,11645019619.000000,,,,17581091029.000000,17581091029.000000,4095188533.000000,203724817070.000000,86073602249.000000,,,,,26189113877.000000,26189113877.000000,23007394074.000000,36877094298.000000,86073602249.000000,289798419319.000000,,656249710000.000000,24965138576.000000,574882051067.000000,21500000000.000000,553382051067.000000,574882051067.000000,10314067371.000000,878407951516.000000,2144818918530.000000,2434617337849.000000,656249710.000000
