Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.07,0.33,4.57,8.45,0.0,0.0,4.42,0.54,7.45
12M 2009,1.27,0.5,2.11,3.75,0.0,0.0,1.91,0.56,2.75
12M 2010,1.29,0.52,2.0,3.39,0.0,0.0,1.94,0.59,2.39
12M 2011,2.4,1.11,0.71,1.81,0.0,0.0,0.54,0.39,0.81
12M 2012,2.33,0.91,0.33,1.47,0.0,0.0,0.27,0.22,0.47
12M 2013,3.86,2.49,0.15,1.26,0.0,0.0,-0.03,0.1,0.25
12M 2014,2.91,1.48,0.15,1.26,0.0,0.0,0.1,0.12,0.25
12M 2015,2.23,1.02,0.17,1.34,0.0,0.0,0.13,0.02,0.33
12M 2016,3.03,1.72,0.13,1.21,0.0,0.0,0.03,0.11,0.2
12M 2017,5.13,3.37,0.04,1.14,0.0,0.0,-0.09,0.03,0.14
12M 2018,5.21,3.56,0.03,1.14,0.0,0.0,-0.08,0.02,0.13
12M 2019,5.83,3.33,0.02,1.11,0.0,0.0,-0.03,0.02,0.1
12M 2020,6.17,4.1,0.01,1.11,0.0,0.0,-0.11,0.01,0.1
12M 2021,2.94,1.52,0.12,1.28,0.0,0.0,0.09,0.09,0.25
12M 2022,2.53,1.3,0.17,1.36,0.0,0.0,0.14,0.13,0.32
12M 2023,2.62,1.07,0.12,1.33,0.0,0.0,0.1,0.09,0.29
12M 2024,3.43,1.45,0.06,1.27,0.0,0.0,0.04,0.05,0.22
