Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Pra Akuisisi,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,963198182833.000000,-712558096820.000000,250640086013.000000,-74921138257.000000,-31055454076.000000,-43865684181.000000,,-74921138257.000000,175718947756.000000,-128556311741.000000,-16373376594.000000,355025270.000000,-118227373834.000000,143787000.000000,5545626417.000000,-128556311741.000000,47162636015.000000,-15335420662.000000,,,-15335420662.000000,,,31827215353.000000,,,,,31827215353.000000,31827215353.000000,,31827215353.000000,,,,
12M 2009,720228798921.000000,-626376763638.000000,93852035283.000000,-68697182615.000000,-28366494088.000000,-40330688527.000000,,-68697182615.000000,25154852668.000000,54759029896.000000,-16583938990.000000,1055197739.000000,64209214169.000000,5375000.000000,6073181978.000000,54759029896.000000,79913882564.000000,-21147945309.000000,,,-21147945309.000000,,,58765937255.000000,,,,,58765937255.000000,58765937255.000000,,58765937255.000000,,,,
12M 2010,1027120388110.000000,-819312464411.000000,207807923699.000000,-88218700537.000000,-36347707375.000000,-51870993162.000000,,-88218700537.000000,119589223162.000000,-14578653062.000000,-21785740315.000000,1470304531.000000,6942073264.000000,207938638.000000,-1413229180.000000,-14578653062.000000,105010570100.000000,-33901215168.000000,,,-33901215168.000000,,,71109354932.000000,,,,,71109354932.000000,71109354932.000000,,71109354932.000000,,,,
12M 2011,1234986291420.000000,-963220608567.000000,271765682853.000000,-90917834717.000000,-49515959180.000000,-41401875537.000000,,-90917834717.000000,180847848136.000000,-20168309772.000000,-35328852256.000000,5286426598.000000,-2486298088.000000,-438931.000000,12360852905.000000,-20168309772.000000,160679538364.000000,-40264418124.000000,,,-40264418124.000000,,,120415120240.000000,,,,120415120240.000000,120415120240.000000,120218458930.000000,196661310.000000,120415120240.000000,120415120240.000000,120218458930.000000,196661310.000000,120415120240.000000
12M 2012,1476987701603.000000,-1182588583988.000000,294399117615.000000,-81527361740.000000,-57228763389.000000,-37033341389.000000,12734743038.000000,-81527361740.000000,212871755875.000000,-32073512014.000000,-33999515183.000000,1926003169.000000,,,,-32073512014.000000,180798243861.000000,-46729960606.000000,-44461531500.000000,-2268429106.000000,-46729960606.000000,,,134068283255.000000,406255525344.000000,406255525344.000000,406255525344.000000,540323808599.000000,134068283255.000000,133181165549.000000,887117706.000000,134068283255.000000,540323808599.000000,536120523898.000000,4203284701.000000,540323808599.000000
12M 2013,1702447098851.000000,-1377062385374.000000,325384713477.000000,-120958417680.000000,-65340679595.000000,-70216964467.000000,14599226382.000000,-120958417680.000000,204426295797.000000,-19846238064.000000,-30415644467.000000,10569406403.000000,,,,-19846238064.000000,184580057733.000000,-36971608720.000000,,,-36971608720.000000,,,147608449013.000000,263680857377.000000,263680857377.000000,263680857377.000000,411289306390.000000,147608449013.000000,146300062066.000000,1308386947.000000,147608449013.000000,411289306390.000000,408392152036.000000,2897154354.000000,411289306390.000000
12M 2014,1866977260105.000000,-1548363389709.000000,318613870396.000000,-136149275543.000000,-81254831309.000000,-72783377580.000000,17888933346.000000,-136149275543.000000,182464594853.000000,-14924412723.000000,-27430861802.000000,12506449079.000000,,,,-14924412723.000000,167540182130.000000,-39882832261.000000,,,-39882832261.000000,,,127657349869.000000,260587500.000000,260587500.000000,260587500.000000,127917937369.000000,127657349869.000000,126668594691.000000,988755178.000000,127657349869.000000,127917937369.000000,126929182191.000000,988755178.000000,127917937369.000000
12M 2015,1659505639261.000000,-1474993480568.000000,184512158693.000000,-142451791240.000000,-86492143265.000000,-61854793039.000000,5895145064.000000,-142451791240.000000,42060367453.000000,-37926160858.000000,-38388630931.000000,462470073.000000,,,,-37926160858.000000,4134206595.000000,-2200387443.000000,,,-2200387443.000000,,,1933819152.000000,130531361053.000000,130531361053.000000,130531361053.000000,132465180205.000000,1933819152.000000,943400340.000000,990418812.000000,1933819152.000000,132465180205.000000,130746173525.000000,1719006680.000000,132465180205.000000
12M 2016,1637036790119.000000,-1383084156148.000000,253952633971.000000,-163608042508.000000,-91443361052.000000,-73660487515.000000,1495806059.000000,-163608042508.000000,90344591463.000000,-30204475634.000000,-30735563856.000000,531088222.000000,,,,-30204475634.000000,60140115829.000000,-10583748495.000000,,,-10583748495.000000,,,49556367334.000000,95090927960.000000,95090927960.000000,95090927960.000000,144647295294.000000,49556367334.000000,49748399033.000000,-192031699.000000,49556367334.000000,144647295294.000000,144006420894.000000,640874400.000000,144647295294.000000
12M 2017,1967982902772.000000,-1586466831193.000000,381516071579.000000,-216809647890.000000,-103301120692.000000,-107425322745.000000,-6083204453.000000,-216809647890.000000,164706423689.000000,-4365569128.000000,-7782103244.000000,3416534116.000000,,,,-4365569128.000000,160340854561.000000,-46701314660.000000,,,-46701314660.000000,,,113639539901.000000,-1622013502.000000,,-1622013502.000000,112017526399.000000,113639539901.000000,114021471205.000000,-381931304.000000,113639539901.000000,112017526399.000000,112316121129.000000,-298594730.000000,112017526399.000000
12M 2018,2400062227790.000000,-2037197167462.000000,362865060328.000000,-214625089028.000000,-111889692784.000000,-129404706403.000000,26669310159.000000,-214625089028.000000,148239971300.000000,-257202529.000000,-4101092987.000000,3843890458.000000,,,,-257202529.000000,147982768771.000000,-37295885405.000000,,,-37295885405.000000,,,110686883366.000000,4351004957.000000,,4351004957.000000,115037888323.000000,110686883366.000000,111064893959.000000,-378010593.000000,110686883366.000000,115037888323.000000,115409043740.000000,-371155417.000000,115037888323.000000
12M 2019,2091491715532.000000,-1781348782838.000000,310142932694.000000,-180220887599.000000,-105038115567.000000,-110599276499.000000,35416504467.000000,-180220887599.000000,129922045095.000000,148826650.000000,-3247625157.000000,3396451807.000000,,,,148826650.000000,130070871745.000000,-28605311394.000000,,,-28605311394.000000,,,101465560351.000000,342214702856.000000,,342214702856.000000,443680263207.000000,101465560351.000000,100635879347.000000,829681004.000000,101465560351.000000,443680263207.000000,440917821776.000000,2762441431.000000,443680263207.000000
12M 2020,1626190564290.000000,-1364875178568.000000,261315385722.000000,-186701498688.000000,-97923559824.000000,-96522945522.000000,7745006658.000000,-186701498688.000000,74613887034.000000,702553433.000000,-674069588.000000,1376623021.000000,,,,702553433.000000,75316440467.000000,-16565431238.000000,,,-16565431238.000000,,,58751009229.000000,-1672853528.000000,,-1672853528.000000,57078155701.000000,58751009229.000000,58921397142.000000,-170387913.000000,58751009229.000000,57078155701.000000,57233089996.000000,-154934295.000000,57078155701.000000
12M 2021,2643817825127.000000,-2126563303210.000000,517254521917.000000,-301909736472.000000,-107804051098.000000,-203904223270.000000,9798537896.000000,-301909736472.000000,215344785445.000000,-1555568371.000000,-3461695814.000000,1906127443.000000,,,,-1555568371.000000,213789217074.000000,-55589488759.000000,,,-55589488759.000000,,,158199728315.000000,-2200413834.000000,,-2200413834.000000,155999314481.000000,158199728315.000000,158606750776.000000,-407022461.000000,158199728315.000000,155999314481.000000,156435287916.000000,-435973435.000000,155999314481.000000
12M 2022,3642215794469.000000,-3051242483390.000000,590973311079.000000,-271642500484.000000,-134345698866.000000,-232479492497.000000,95182690879.000000,-271642500484.000000,319330810595.000000,-22252486953.000000,-23382320755.000000,1129833802.000000,,,,-22252486953.000000,297078323642.000000,-68536060043.000000,,,-68536060043.000000,-3805871024.000000,,224736392575.000000,27040218960.000000,,27040218960.000000,251776611535.000000,224736392575.000000,210203987750.000000,14532404825.000000,224736392575.000000,251776611535.000000,226135870759.000000,25640740776.000000,251776611535.000000
12M 2023,3802563221254.000000,-3159822433524.000000,642740787730.000000,-363136827373.000000,-165945193157.000000,-208458101607.000000,11266467391.000000,-363136827373.000000,279603960357.000000,-26762537043.000000,-27575045839.000000,812508796.000000,,,,-26762537043.000000,252841423314.000000,-62320140660.000000,,,-62320140660.000000,,,190521282654.000000,387284139034.000000,,387284139034.000000,577805421688.000000,190521282654.000000,182929383432.000000,7591899222.000000,190521282654.000000,577805421688.000000,566600206245.000000,11205215443.000000,577805421688.000000
12M 2024,3165028322638.000000,-2737842737182.000000,427185585456.000000,-296971350256.000000,-161024390986.000000,-180095800688.000000,44148841418.000000,-296971350256.000000,130214235200.000000,-18974543234.000000,-20001712398.000000,1027169164.000000,,,,-18974543234.000000,111239691966.000000,-30308254618.000000,,,-30308254618.000000,,,80931437348.000000,14446926407.000000,,14446926407.000000,95378363755.000000,80931437348.000000,69599052255.000000,11332385093.000000,80931437348.000000,95378363755.000000,77195585299.000000,18182778456.000000,95378363755.000000
