Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,-35.06,-6.93,-35.06,-6.93,,12 B,12 B,12 B,3 B
12M 2009,1.08,99.75,1.08,99.75,14 B,,14 B,(17 B),17 B
12M 2010,1.22,104.83,1.22,104.83,,4 B,4 B,(17 B),25 B
12M 2011,1.35,97.34,1.35,97.34,,66 B,66 B,55 B,11 B
12M 2012,1.14,145.39,1.14,145.39,5 B,63 B,67 B,65 B,27 B
12M 2013,0.69,295.51,0.69,295.51,,,,(15 B),55 B
12M 2014,1.27,404.57,1.27,404.57,,,,(60 B),105 B
12M 2015,0.32,408.71,0.32,408.71,,,,(17 B),76 B
12M 2016,0.24,367.72,0.24,367.72,,,,(4 B),62 B
12M 2017,0.37,247.55,0.37,247.55,,,,(29 B),53 B
12M 2018,0.64,122.53,0.64,122.53,,,,(19 B),30 B
12M 2019,0.41,124.76,0.41,124.76,,,,(3 B),18 B
12M 2020,0.44,124.64,0.44,124.64,,,,(3 B),12 B
12M 2021,1.02,122.31,1.02,122.31,,,,(5 B),13 B
12M 2022,2.64,100.65,2.64,100.65,,,,(9 B),4 B
12M 2023,1.34,86.02,1.34,86.02,,,,(4 B),(1 B)
12M 2024,1.25,66.20,1.25,66.20,,,,(1 B),(8 B)
