Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.09,1001.24,1.15,948.52,5 B,"2,699 B","2,704 B",372 B,"3,141 B"
12M 2009,2.17,1023.96,2.47,902.11,251 B,"4,800 B","5,051 B","2,106 B","3,494 B"
12M 2010,4.52,1044.40,5.10,926.66,389 B,"4,465 B","4,854 B","2,744 B","3,606 B"
12M 2011,1.76,1236.17,2.45,888.02,"2,399 B","6,148 B","8,547 B","5,113 B","2,470 B"
12M 2012,0.96,1479.97,2.47,574.62,"3,527 B","6,509 B","10,036 B","6,648 B","1,577 B"
12M 2013,0.35,1685.46,0.90,656.54,"1,411 B","11,001 B","12,412 B","8,429 B","5,025 B"
12M 2014,0.31,1653.18,0.74,687.46,"1,877 B","10,716 B","12,593 B","8,454 B","5,408 B"
12M 2015,0.06,1726.35,0.13,828.46,"3,575 B","9,828 B","13,403 B","9,829 B","4,438 B"
12M 2016,0.46,1519.53,0.91,776.80,"1,643 B","9,177 B","10,820 B","7,536 B","4,762 B"
12M 2017,1.27,2404.12,-2.22,-1377.89,"1,522 B","17,687 B","19,209 B","10,781 B","9,406 B"
12M 2018,0.60,2636.55,-1.53,-1032.58,"1,209 B","19,943 B","21,152 B","12,275 B","11,431 B"
12M 2019,0.53,2269.63,-1.27,-939.41,"1,676 B","19,339 B","21,016 B","13,111 B","10,009 B"
12M 2020,0.93,1856.01,-1.63,-1060.83,"2,391 B","20,911 B","23,302 B","14,117 B","9,682 B"
12M 2021,0.74,2092.02,-4.54,-339.97,"2,016 B","18,744 B","20,760 B","8,375 B","13,652 B"
12M 2022,0.77,3559.05,2.12,1286.13,"1,753 B","15,144 B","16,896 B","(1,121 B)","12,846 B"
12M 2023,0.39,3653.20,0.89,1620.64,"6,501 B","9,921 B","16,421 B","9,486 B","7,744 B"
12M 2024,0.40,3738.34,0.93,1606.06,"2,155 B","14,590 B","16,746 B","9,394 B","10,995 B"
