Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total
12M 2008,2314448882000.0,2314448882000.0,2314448882000.0,-2027653601000.0,-2027653601000.0,
12M 2009,2486579636000.0,2486579636000.0,2486579636000.0,-1866726464000.0,-1866726464000.0,
12M 2010,3765466981000.0,3765466981000.0,3765466981000.0,-3153083746000.0,-3153083746000.0,
12M 2011,5209741000000.0,5209741000000.0,5209741000000.0,-4082200000000.0,-4082200000000.0,
12M 2012,749705785.0,749705785.0,749705785.0,-556462501.0,-556462501.0,
12M 2013,863394192.0,863394192.0,863394192.0,-670295971.0,-670295971.0,
12M 2014,1109508311.0,1109508311.0,1109508311.0,-948472697.0,-948472697.0,
12M 2015,1097296489.000000,,1097296489.000000,-1008966857.000000,,
12M 2016,775232931.000000,,775232931.000000,-686531106.000000,,
12M 2017,1098760230.000000,,1098760230.000000,-975843393.000000,,
12M 2018,2962860901.000000,,2962860901.000000,-2321645585.000000,,
12M 2019,2782676420.000000,,2782676420.000000,-2355974951.000000,,
12M 2020,2077212345.000000,,2077212345.000000,-1823333756.000000,,
12M 2021,3069161119.000000,,3069161119.000000,-2151039318.000000,,
12M 2022,4334910725.000000,,4334910725.000000,-2884098670.000000,,
12M 2023,3026839190.000000,,3026839190.000000,-2474863205.000000,,
12M 2024,2446679750.000000,,2446679750.000000,-2113986772.000000,,
